,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,236.0,Rajasthan,Swai Madhopur,Maize,2.5,911.0,918.0,915.0,2008,1
24,2008-02-01,8543.0,Rajasthan,Swai Madhopur,Maize,10.2,964.0,986.0,981.0,2008,2
53,2008-03-01,16984.0,Rajasthan,Swai Madhopur,Maize,2.7,1025.0,1025.0,1025.0,2008,3
94,2008-04-01,25412.0,Rajasthan,Swai Madhopur,Maize,28.9,1000.0,1071.0,1034.0,2008,4
119,2008-05-01,37035.0,Rajasthan,Swai Madhopur,Maize,12.6,945.0,1000.0,972.0,2008,5
169,2008-06-01,48791.0,Rajasthan,Swai Madhopur,Maize,5.9,964.0,1025.0,990.0,2008,6
191,2008-07-01,57349.0,Rajasthan,Swai Madhopur,Maize,12.5,970.0,990.0,985.0,2008,7
216,2008-08-01,65840.0,Rajasthan,Swai Madhopur,Maize,1.3,970.0,1020.0,1000.0,2008,8
234,2008-09-01,72170.0,Rajasthan,Swai Madhopur,Maize,7.5,950.0,959.0,955.0,2008,9
255,2008-10-01,79027.0,Rajasthan,Swai Madhopur,Maize,35.8,960.0,1002.0,994.0,2008,10
274,2008-11-01,85404.0,Rajasthan,Swai Madhopur,Maize,21.7,950.0,1012.0,990.0,2008,11
297,2008-12-01,92543.0,Rajasthan,Swai Madhopur,Maize,13.4,975.0,992.0,990.0,2008,12
314,2009-01-01,100024.0,Rajasthan,Swai Madhopur,Maize,8.0,1014.0,1066.0,1050.0,2009,1
339,2009-02-01,108318.0,Rajasthan,Swai Madhopur,Maize,4.7,1000.0,1100.0,1060.0,2009,2
360,2009-03-01,115208.0,Rajasthan,Swai Madhopur,Maize,7.1,1041.0,1051.0,1047.0,2009,3
375,2009-04-01,122763.0,Rajasthan,Swai Madhopur,Maize,71.5,1001.0,1101.0,1080.0,2009,4
393,2009-05-01,134201.0,Rajasthan,Swai Madhopur,Maize,28.0,990.0,999.0,995.0,2009,5
418,2009-06-01,142636.0,Rajasthan,Swai Madhopur,Maize,5.8,1030.0,1112.0,1085.0,2009,6
454,2009-07-01,149898.0,Rajasthan,Swai Madhopur,Maize,220.0,1070.0,1135.0,1102.0,2009,7
494,2009-08-01,157591.0,Rajasthan,Swai Madhopur,Maize,2.2,1040.0,1100.0,1080.0,2009,8
513,2009-09-01,165372.0,Rajasthan,Swai Madhopur,Maize,5.8,1075.0,1162.0,1125.0,2009,9
534,2009-10-01,174418.0,Rajasthan,Swai Madhopur,Maize,2.6,1090.0,1150.0,1129.0,2009,10
554,2009-11-01,183606.0,Rajasthan,Swai Madhopur,Maize,12.0,1036.0,1370.0,1320.0,2009,11
576,2009-12-01,193352.0,Rajasthan,Swai Madhopur,Maize,11.0,1260.0,1314.0,1300.0,2009,12
602,2010-01-01,202867.0,Rajasthan,Swai Madhopur,Maize,0.8,1275.0,1300.0,1290.0,2010,1
621,2010-02-01,211746.0,Rajasthan,Swai Madhopur,Maize,1.5,1275.0,1401.0,1325.0,2010,2
643,2010-03-01,220927.0,Rajasthan,Swai Madhopur,Maize,1.1,1061.0,1111.0,1102.0,2010,3
664,2010-04-01,230734.0,Rajasthan,Swai Madhopur,Maize,37.2,1036.0,1169.0,1131.0,2010,4
686,2010-05-01,244976.0,Rajasthan,Swai Madhopur,Maize,10.8,1050.0,1140.0,1121.0,2010,5
711,2010-06-01,256409.0,Rajasthan,Swai Madhopur,Maize,9.2,1070.0,1200.0,1150.0,2010,6
736,2010-07-01,266644.0,Rajasthan,Swai Madhopur,Maize,13.4,1090.0,1119.0,1108.0,2010,7
788,2010-08-01,276718.0,Rajasthan,Swai Madhopur,Maize,15.4,1100.0,1164.0,1136.0,2010,8
838,2010-09-01,286195.0,Rajasthan,Swai Madhopur,Maize,42.7,1090.0,1145.0,1120.0,2010,9
880,2010-10-01,295860.0,Rajasthan,Swai Madhopur,Maize,12.5,1075.0,1083.0,1080.0,2010,10
921,2010-11-01,305975.0,Rajasthan,Swai Madhopur,Maize,41.9,1080.0,1180.0,1130.0,2010,11
953,2010-12-01,314525.0,Rajasthan,Swai Madhopur,Maize,105.0,1150.0,1261.0,1206.0,2010,12
997,2011-01-01,324068.0,Rajasthan,Swai Madhopur,Maize,9.5,1117.0,1171.0,1150.0,2011,1
1040,2011-02-01,333897.0,Rajasthan,Swai Madhopur,Maize,27.5,1225.0,1293.0,1260.0,2011,2
1085,2011-03-01,343241.0,Rajasthan,Swai Madhopur,Maize,16.2,1197.0,1230.0,1216.0,2011,3
1116,2011-04-01,353472.0,Rajasthan,Swai Madhopur,Maize,5.3,1021.0,1053.0,1045.0,2011,4
1138,2011-05-01,366621.0,Rajasthan,Swai Madhopur,Maize,353.6,900.0,1094.0,1053.0,2011,5
1178,2011-06-01,378811.0,Rajasthan,Swai Madhopur,Maize,2681.0,1010.0,1060.0,1035.0,2011,6
1226,2011-07-01,389941.0,Rajasthan,Swai Madhopur,Maize,39.3,969.0,1005.0,995.0,2011,7
1276,2011-08-01,401136.0,Rajasthan,Swai Madhopur,Maize,78.6,1020.0,1090.0,1055.0,2011,8
1316,2011-09-01,411315.0,Rajasthan,Swai Madhopur,Maize,100.0,1010.0,0.0,1015.0,2011,9
1359,2011-10-01,421529.0,Rajasthan,Swai Madhopur,Maize,40.2,910.0,976.0,951.0,2011,10
1388,2011-11-01,430183.0,Rajasthan,Swai Madhopur,Maize,200.0,950.0,1061.0,1005.0,2011,11
1423,2011-12-01,440785.0,Rajasthan,Swai Madhopur,Maize,147.6,1015.0,1055.0,1035.0,2011,12
1475,2012-01-01,451403.0,Rajasthan,Swai Madhopur,Maize,38.6,1040.0,1120.0,1080.0,2012,1
1515,2012-02-01,460308.0,Rajasthan,Swai Madhopur,Maize,56.4,1075.0,1164.0,1120.0,2012,2
1554,2012-03-01,468490.0,Rajasthan,Swai Madhopur,Maize,60.5,1089.0,1143.0,1116.0,2012,3
1596,2012-04-01,478171.0,Rajasthan,Swai Madhopur,Maize,73.1,1125.0,1251.0,1187.0,2012,4
1621,2012-05-01,490072.0,Rajasthan,Swai Madhopur,Maize,134.8,1080.0,1135.0,1121.0,2012,5
1670,2012-06-01,504174.0,Rajasthan,Swai Madhopur,Maize,20.3,1143.0,1300.0,1223.0,2012,6
1718,2012-07-01,515548.0,Rajasthan,Swai Madhopur,Maize,210.0,1060.0,1240.0,1150.0,2012,7
1766,2012-08-01,526895.0,Rajasthan,Swai Madhopur,Maize,252.0,1376.0,1476.0,1425.0,2012,8
1808,2012-09-01,537345.0,Rajasthan,Swai Madhopur,Maize,241.0,1445.0,1511.0,1477.0,2012,9
1852,2012-10-01,548487.0,Rajasthan,Swai Madhopur,Maize,544.0,1360.0,1435.0,1398.0,2012,10
1899,2012-11-01,559345.0,Rajasthan,Swai Madhopur,Maize,412.0,1412.0,1541.0,1477.0,2012,11
1934,2012-12-01,568850.0,Rajasthan,Swai Madhopur,Maize,397.0,1470.0,1570.0,1520.0,2012,12
1979,2013-01-01,579007.0,Rajasthan,Swai Madhopur,Maize,227.0,1485.0,1649.0,1568.0,2013,1
2026,2013-02-01,588969.0,Rajasthan,Swai Madhopur,Maize,54.0,1520.0,1651.0,1600.0,2013,2
2063,2013-03-01,597551.0,Rajasthan,Swai Madhopur,Maize,84.0,1540.0,1585.0,1560.0,2013,3
2102,2013-04-01,606991.0,Rajasthan,Swai Madhopur,Maize,352.0,1300.0,1431.0,1370.0,2013,4
2131,2013-05-01,621013.0,Rajasthan,Swai Madhopur,Maize,95.2,1373.0,1489.0,1458.0,2013,5
2166,2013-06-01,633753.0,Rajasthan,Swai Madhopur,Maize,361.0,1330.0,1625.0,1480.0,2013,6
2236,2013-07-01,645089.0,Rajasthan,Swai Madhopur,Maize,47.0,1350.0,1466.0,1410.0,2013,7
2310,2013-08-01,656268.0,Rajasthan,Swai Madhopur,Maize,10.1,1410.0,1445.0,1430.0,2013,8
2367,2013-09-01,665677.0,Rajasthan,Swai Madhopur,Maize,37.8,1407.0,1502.0,1463.0,2013,9
2433,2013-10-01,675967.0,Rajasthan,Swai Madhopur,Maize,60.4,1415.0,1464.0,1440.0,2013,10
2505,2013-11-01,685969.0,Rajasthan,Swai Madhopur,Maize,21.6,1490.0,1580.0,1550.0,2013,11
2567,2013-12-01,694647.0,Rajasthan,Swai Madhopur,Maize,9.6,1540.0,1570.0,1555.0,2013,12
2612,2014-01-01,703053.0,Rajasthan,Swai Madhopur,Maize,20.8,1500.0,1656.0,1580.0,2014,1
2658,2014-02-01,712981.0,Rajasthan,Swai Madhopur,Maize,27.1,1500.0,1661.0,1580.0,2014,2
2714,2014-03-01,721658.0,Rajasthan,Swai Madhopur,Maize,3.5,1555.0,1620.0,1580.0,2014,3
2775,2014-04-01,732134.0,Rajasthan,Swai Madhopur,Maize,7.4,1411.0,1522.0,1490.0,2014,4
2827,2014-05-01,744316.0,Rajasthan,Swai Madhopur,Maize,42.3,1335.0,1410.0,1375.0,2014,5
2901,2014-06-01,758294.0,Rajasthan,Swai Madhopur,Maize,72.3,1334.0,1431.0,1390.0,2014,6
2969,2014-07-01,769464.0,Rajasthan,Swai Madhopur,Maize,50.7,1309.0,1415.0,1360.0,2014,7
3038,2014-08-01,780981.0,Rajasthan,Swai Madhopur,Maize,23.1,1420.0,1450.0,1435.0,2014,8
3101,2014-09-01,791459.0,Rajasthan,Swai Madhopur,Maize,38.0,1380.0,1438.0,1430.0,2014,9
3171,2014-10-01,802949.0,Rajasthan,Swai Madhopur,Maize,37.0,1400.0,1429.0,1415.0,2014,10
3229,2014-11-01,812596.0,Rajasthan,Swai Madhopur,Maize,55.1,1430.0,1455.0,1440.0,2014,11
3297,2014-12-01,823548.0,Rajasthan,Swai Madhopur,Maize,51.8,1430.0,1470.0,1450.0,2014,12
3375,2015-01-01,835381.0,Rajasthan,Swai Madhopur,Maize,19.5,1520.0,1550.0,1535.0,2015,1
3441,2015-02-01,846770.0,Rajasthan,Swai Madhopur,Maize,9.2,1525.0,1545.0,1535.0,2015,2
3509,2015-03-01,857123.0,Rajasthan,Swai Madhopur,Maize,14.4,1416.0,1437.0,1425.0,2015,3
3567,2015-04-01,868168.0,Rajasthan,Swai Madhopur,Maize,29.9,1300.0,1437.0,1430.0,2015,4
3631,2015-05-01,881327.0,Rajasthan,Swai Madhopur,Maize,37.3,1316.0,1510.0,1400.0,2015,5
3705,2015-06-01,895444.0,Rajasthan,Swai Madhopur,Maize,81.2,1250.0,1491.0,1416.0,2015,6
3770,2015-07-01,908287.0,Rajasthan,Swai Madhopur,Maize,59.1,1271.0,1454.0,1407.0,2015,7
3836,2015-08-01,920556.0,Rajasthan,Swai Madhopur,Maize,41.7,1360.0,1440.0,1400.0,2015,8
3902,2015-09-01,932005.0,Rajasthan,Swai Madhopur,Maize,25.0,1395.0,1432.0,1415.0,2015,9
3964,2015-10-01,943787.0,Rajasthan,Swai Madhopur,Maize,39.1,1530.0,1551.0,1540.0,2015,10
4030,2015-11-01,955633.0,Rajasthan,Swai Madhopur,Maize,10.2,1520.0,1560.0,1540.0,2015,11
4072,2015-12-01,965482.0,Rajasthan,Swai Madhopur,Maize,5.6,1530.0,1663.0,1600.0,2015,12
4141,2016-01-01,976955.0,Rajasthan,Swai Madhopur,Maize,8.8,1500.0,1666.0,1585.0,2016,1
4199,2016-02-01,987205.0,Rajasthan,Swai Madhopur,Maize,14.2,1575.0,1616.0,1599.0,2016,2
4245,2016-03-01,996642.0,Rajasthan,Swai Madhopur,Maize,14.9,1590.0,1635.0,1615.0,2016,3
4300,2016-04-01,1007579.0,Rajasthan,Swai Madhopur,Maize,74.9,1377.0,1515.0,1485.0,2016,4
4340,2016-05-01,1020590.0,Rajasthan,Swai Madhopur,Maize,5.6,1500.0,1560.0,1530.0,2016,5
4413,2016-06-01,1035530.0,Rajasthan,Swai Madhopur,Maize,35.6,1540.0,1680.0,1610.0,2016,6
4483,2016-07-01,1049115.0,Rajasthan,Swai Madhopur,Maize,17.1,1612.0,1680.0,1646.0,2016,7
4549,2016-08-01,1060225.0,Rajasthan,Swai Madhopur,Maize,3.2,1610.0,1673.0,1641.0,2016,8
4604,2016-09-01,1070813.0,Rajasthan,Swai Madhopur,Maize,14.2,1624.0,1660.0,1642.0,2016,9
4667,2016-10-01,1081615.0,Rajasthan,Swai Madhopur,Maize,21.5,1590.0,1635.0,1612.0,2016,10
4723,2016-11-01,1091902.0,Rajasthan,Swai Madhopur,Maize,21.0,1800.0,1973.0,1925.0,2016,11
4782,2016-12-01,1100609.0,Rajasthan,Swai Madhopur,Maize,8.0,1910.0,1980.0,1945.0,2016,12
4858,2017-01-01,1111912.0,Rajasthan,Swai Madhopur,Maize,7.8,1750.0,1820.0,1785.0,2017,1
4928,2017-02-01,1122579.0,Rajasthan,Swai Madhopur,Maize,17.0,1870.0,1906.0,1888.0,2017,2
4994,2017-03-01,1132885.0,Rajasthan,Swai Madhopur,Maize,28.5,1430.0,1625.0,1527.0,2017,3
5065,2017-04-01,1145532.0,Rajasthan,Swai Madhopur,Maize,107.3,1480.0,1554.0,1536.0,2017,4
5095,2017-05-01,1159934.0,Rajasthan,Swai Madhopur,Maize,22.7,1475.0,1521.0,1498.0,2017,5
5163,2017-06-01,1175153.0,Rajasthan,Swai Madhopur,Maize,65.1,1455.0,1529.0,1492.0,2017,6
5205,2017-07-01,,Rajasthan,Swai Madhopur,Maize,84.3166666666667,1266.5526315789473,1338.7631578947369,1314.2543859649122,2017,7
5206,2017-08-01,,Rajasthan,Swai Madhopur,Maize,84.3166666666667,1266.5526315789473,1338.7631578947369,1314.2543859649122,2017,8
5207,2017-09-01,,Rajasthan,Swai Madhopur,Maize,84.3166666666667,1266.5526315789473,1338.7631578947369,1314.2543859649122,2017,9
5208,2017-10-01,,Rajasthan,Swai Madhopur,Maize,84.3166666666667,1266.5526315789473,1338.7631578947369,1314.2543859649122,2017,10
5209,2017-11-01,,Rajasthan,Swai Madhopur,Maize,84.3166666666667,1266.5526315789473,1338.7631578947369,1314.2543859649122,2017,11
5210,2017-12-01,,Rajasthan,Swai Madhopur,Maize,84.3166666666667,1266.5526315789473,1338.7631578947369,1314.2543859649122,2017,12
