,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,237.0,Rajasthan,Tonk,Maize,2.1,825.0,990.0,975.0,2008,1
62,2008-02-01,8544.0,Rajasthan,Tonk,Maize,4.5,960.0,985.0,970.0,2008,2
129,2008-03-01,16986.0,Rajasthan,Tonk,Maize,21.3,980.0,1031.0,1000.0,2008,3
198,2008-04-01,25078.0,Rajasthan,Tonk,Maize,342.2,880.0,1035.0,950.0,2008,4
271,2008-05-01,37037.0,Rajasthan,Tonk,Maize,342.2,880.0,1035.0,950.0,2008,5
334,2008-06-01,48499.0,Rajasthan,Tonk,Maize,26.5,950.0,1111.0,1050.0,2008,6
386,2008-07-01,57716.0,Rajasthan,Tonk,Maize,1.7,950.0,1000.0,980.0,2008,7
419,2008-08-01,65841.0,Rajasthan,Tonk,Maize,1.1,900.0,950.0,940.0,2008,8
443,2008-09-01,72171.0,Rajasthan,Tonk,Maize,1.3,920.0,1015.0,995.0,2008,9
476,2008-10-01,79028.0,Rajasthan,Tonk,Maize,16.9,990.0,1025.0,1000.0,2008,10
489,2008-11-01,85764.0,Rajasthan,Tonk,Maize,32.4,970.0,1075.0,1000.0,2008,11
510,2008-12-01,92544.0,Rajasthan,Tonk,Maize,1.9,1027.0,1050.0,1035.0,2008,12
534,2009-01-01,100025.0,Rajasthan,Tonk,Maize,10.7,1052.0,1080.0,1052.0,2009,1
578,2009-02-01,107704.0,Rajasthan,Tonk,Maize,210.0,1090.0,1109.0,1100.0,2009,2
618,2009-03-01,114895.0,Rajasthan,Tonk,Maize,2.8,1000.0,1200.0,1100.0,2009,3
656,2009-04-01,122764.0,Rajasthan,Tonk,Maize,16.1,1040.0,1055.0,1050.0,2009,4
695,2009-05-01,134202.0,Rajasthan,Tonk,Maize,1.0,1000.0,1150.0,1100.0,2009,5
744,2009-06-01,142637.0,Rajasthan,Tonk,Maize,1.7,1000.0,1150.0,1100.0,2009,6
776,2009-07-01,149899.0,Rajasthan,Tonk,Maize,59.0,1023.0,1221.0,1085.0,2009,7
808,2009-08-01,157592.0,Rajasthan,Tonk,Maize,3.9,1000.0,1060.0,1040.0,2009,8
840,2009-09-01,165373.0,Rajasthan,Tonk,Maize,29.0,1060.0,1230.0,1180.0,2009,9
858,2009-10-01,174606.0,Rajasthan,Tonk,Maize,10.0,1100.0,1175.0,1100.0,2009,10
886,2009-11-01,183417.0,Rajasthan,Tonk,Maize,4.3,1350.0,1490.0,1400.0,2009,11
939,2009-12-01,193353.0,Rajasthan,Tonk,Maize,7.1,1250.0,1500.0,1375.0,2009,12
1015,2010-01-01,202868.0,Rajasthan,Tonk,Maize,3.2,1250.0,1400.0,1325.0,2010,1
1075,2010-02-01,211747.0,Rajasthan,Tonk,Maize,36.0,1246.0,1380.0,1380.0,2010,2
1115,2010-03-01,221270.0,Rajasthan,Tonk,Maize,3.4,1160.0,1350.0,1300.0,2010,3
1155,2010-04-01,230735.0,Rajasthan,Tonk,Maize,1.4,1400.0,1600.0,1500.0,2010,4
