,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Rajasthan,Udaipur,Maize,161.48224299065427,1398.9906542056074,1580.0,1512.3644859813085,2008,1
1,2008-02-01,,Rajasthan,Udaipur,Maize,161.48224299065427,1398.9906542056074,1580.0,1512.3644859813085,2008,2
2,2008-03-01,16989.0,Rajasthan,Udaipur,Maize,212.0,1025.0,1090.0,1075.0,2008,3
13,2008-04-01,,Rajasthan,Udaipur,Maize,161.48224299065427,1398.9906542056074,1580.0,1512.3644859813085,2008,4
14,2008-05-01,,Rajasthan,Udaipur,Maize,161.48224299065427,1398.9906542056074,1580.0,1512.3644859813085,2008,5
15,2008-06-01,,Rajasthan,Udaipur,Maize,161.48224299065427,1398.9906542056074,1580.0,1512.3644859813085,2008,6
16,2008-07-01,65583.0,Rajasthan,Udaipur,Maize,239.0,1100.0,1200.0,1155.0,2008,7
17,2008-08-01,,Rajasthan,Udaipur,Maize,161.48224299065427,1398.9906542056074,1580.0,1512.3644859813085,2008,8
18,2008-09-01,72457.0,Rajasthan,Udaipur,Maize,44.0,990.0,1180.0,1150.0,2008,9
41,2008-10-01,79029.0,Rajasthan,Udaipur,Maize,248.0,1080.0,1175.0,1135.0,2008,10
60,2008-11-01,85405.0,Rajasthan,Udaipur,Maize,29.0,957.0,1080.0,1015.0,2008,11
83,2008-12-01,92546.0,Rajasthan,Udaipur,Maize,352.0,965.0,1110.0,1075.0,2008,12
107,2009-01-01,100026.0,Rajasthan,Udaipur,Maize,106.0,1050.0,1170.0,1135.0,2009,1
130,2009-02-01,107706.0,Rajasthan,Udaipur,Maize,88.0,1050.0,1175.0,1125.0,2009,2
153,2009-03-01,115212.0,Rajasthan,Udaipur,Maize,333.0,1060.0,1180.0,1130.0,2009,3
177,2009-04-01,122766.0,Rajasthan,Udaipur,Maize,344.0,1040.0,1175.0,1110.0,2009,4
199,2009-05-01,134203.0,Rajasthan,Udaipur,Maize,2017.0,1025.0,1210.0,1170.0,2009,5
224,2009-06-01,142639.0,Rajasthan,Udaipur,Maize,898.0,1025.0,1300.0,1275.0,2009,6
250,2009-07-01,149900.0,Rajasthan,Udaipur,Maize,231.0,1045.0,1320.0,1285.0,2009,7
274,2009-08-01,157594.0,Rajasthan,Udaipur,Maize,12.1,1060.0,1315.0,1285.0,2009,8
295,2009-09-01,165374.0,Rajasthan,Udaipur,Maize,12.4,1105.0,1350.0,1300.0,2009,9
318,2009-10-01,174419.0,Rajasthan,Udaipur,Maize,1.8,1135.0,1350.0,1310.0,2009,10
344,2009-11-01,184005.0,Rajasthan,Udaipur,Maize,107.2,1300.0,1430.0,1400.0,2009,11
369,2009-12-01,193355.0,Rajasthan,Udaipur,Maize,11.5,1280.0,1550.0,1500.0,2009,12
390,2010-01-01,203232.0,Rajasthan,Udaipur,Maize,0.7,1490.0,1560.0,1525.0,2010,1
409,2010-02-01,211748.0,Rajasthan,Udaipur,Maize,101.5,1390.0,1500.0,1485.0,2010,2
427,2010-03-01,220928.0,Rajasthan,Udaipur,Maize,10.5,1210.0,1350.0,1275.0,2010,3
449,2010-04-01,230737.0,Rajasthan,Udaipur,Maize,40.1,1055.0,1210.0,1155.0,2010,4
474,2010-05-01,244978.0,Rajasthan,Udaipur,Maize,150.5,1100.0,1300.0,1225.0,2010,5
499,2010-06-01,256411.0,Rajasthan,Udaipur,Maize,72.3,1180.0,1380.0,1290.0,2010,6
524,2010-07-01,266647.0,Rajasthan,Udaipur,Maize,0.3,2050.0,2060.0,2050.0,2010,7
550,2010-08-01,276722.0,Rajasthan,Udaipur,Maize,1.9,1160.0,1320.0,1240.0,2010,8
573,2010-09-01,286198.0,Rajasthan,Udaipur,Maize,0.2,1145.0,1300.0,1225.0,2010,9
