,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,1
1,2008-02-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,2
2,2008-03-01,24592.0,Telangana,Adilabad,Maize,13.0,901.0,1050.0,1000.0,2008,3
3,2008-04-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,4
4,2008-05-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,5
5,2008-06-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,6
6,2008-07-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,7
7,2008-08-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,8
8,2008-09-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,9
9,2008-10-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,10
10,2008-11-01,85407.0,Telangana,Adilabad,Maize,3.5,900.0,1010.0,910.0,2008,11
11,2008-12-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2008,12
12,2009-01-01,107089.0,Telangana,Adilabad,Maize,10.0,1028.0,1110.0,1074.0,2009,1
13,2009-02-01,107709.0,Telangana,Adilabad,Maize,1.5,1040.0,1052.0,1045.0,2009,2
34,2009-03-01,115215.0,Telangana,Adilabad,Maize,0.5,1040.0,1100.0,1064.0,2009,3
55,2009-04-01,122768.0,Telangana,Adilabad,Maize,10.0,1010.0,1060.0,1035.0,2009,4
77,2009-05-01,134205.0,Telangana,Adilabad,Maize,2.5,1030.0,1160.0,1100.0,2009,5
99,2009-06-01,142641.0,Telangana,Adilabad,Maize,7.5,1076.0,1202.0,1150.0,2009,6
116,2009-07-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2009,7
117,2009-08-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2009,8
118,2009-09-01,,Telangana,Adilabad,Maize,19.21111111111111,1188.5,1264.9444444444443,1296.8333333333333,2009,9
