,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1757.0,Uttar Pradesh,Agra,Maize,65.0,960.0,1000.0,990.0,2008,1
41,2008-02-01,8549.0,Uttar Pradesh,Agra,Maize,100.0,1000.0,1030.0,1025.0,2008,2
85,2008-03-01,16992.0,Uttar Pradesh,Agra,Maize,840.0,1040.0,1070.0,1065.0,2008,3
115,2008-04-01,25083.0,Uttar Pradesh,Agra,Maize,940.0,1000.0,1040.0,1025.0,2008,4
167,2008-05-01,37043.0,Uttar Pradesh,Agra,Maize,1350.0,1000.0,1025.0,1005.0,2008,5
218,2008-06-01,48795.0,Uttar Pradesh,Agra,Maize,1350.0,1000.0,1020.0,1005.0,2008,6
268,2008-07-01,57352.0,Uttar Pradesh,Agra,Maize,1050.0,1045.0,1075.0,1060.0,2008,7
310,2008-08-01,69320.0,Uttar Pradesh,Agra,Maize,890.0,1015.0,1040.0,1030.0,2008,8
319,2008-09-01,72174.0,Uttar Pradesh,Agra,Maize,730.0,1065.0,1085.0,1075.0,2008,9
330,2008-10-01,79030.0,Uttar Pradesh,Agra,Maize,620.0,1015.0,1040.0,1025.0,2008,10
346,2008-11-01,85408.0,Uttar Pradesh,Agra,Maize,480.0,1025.0,1040.0,1035.0,2008,11
364,2008-12-01,92548.0,Uttar Pradesh,Agra,Maize,750.0,1030.0,1060.0,1050.0,2008,12
385,2009-01-01,100028.0,Uttar Pradesh,Agra,Maize,410.0,1000.0,1035.0,1030.0,2009,1
404,2009-02-01,109605.0,Uttar Pradesh,Agra,Maize,470.0,1125.0,1160.0,1150.0,2009,2
421,2009-03-01,115216.0,Uttar Pradesh,Agra,Maize,560.0,1125.0,1150.0,1140.0,2009,3
439,2009-04-01,124310.0,Uttar Pradesh,Agra,Maize,1350.0,1020.0,1080.0,1050.0,2009,4
461,2009-05-01,134206.0,Uttar Pradesh,Agra,Maize,1220.0,1050.0,1085.0,1083.0,2009,5
483,2009-06-01,142642.0,Uttar Pradesh,Agra,Maize,1470.0,1050.0,1090.0,1090.0,2009,6
505,2009-07-01,149901.0,Uttar Pradesh,Agra,Maize,810.0,1050.0,1085.0,1082.0,2009,7
529,2009-08-01,157595.0,Uttar Pradesh,Agra,Maize,810.0,1000.0,1065.0,1050.0,2009,8
564,2009-09-01,165375.0,Uttar Pradesh,Agra,Maize,840.0,1025.0,1080.0,1065.0,2009,9
585,2009-10-01,174421.0,Uttar Pradesh,Agra,Maize,820.0,1075.0,1125.0,1100.0,2009,10
590,2009-11-01,183610.0,Uttar Pradesh,Agra,Maize,680.0,1175.0,1225.0,1215.0,2009,11
611,2009-12-01,193356.0,Uttar Pradesh,Agra,Maize,830.0,1300.0,1345.0,1320.0,2009,12
623,2010-01-01,202872.0,Uttar Pradesh,Agra,Maize,770.0,1325.0,1350.0,1340.0,2010,1
644,2010-02-01,211749.0,Uttar Pradesh,Agra,Maize,9.0,1240.0,1275.0,1260.0,2010,2
816,2010-03-01,220930.0,Uttar Pradesh,Agra,Maize,720.0,1275.0,1310.0,1305.0,2010,3
1012,2010-04-01,230738.0,Uttar Pradesh,Agra,Maize,12.5,1060.0,1110.0,1100.0,2010,4
1194,2010-05-01,244979.0,Uttar Pradesh,Agra,Maize,19.5,1085.0,1110.0,1100.0,2010,5
