,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,512.0,Uttar Pradesh,Aligarh,Maize,300.0,950.0,985.0,965.0,2008,1
41,2008-02-01,8551.0,Uttar Pradesh,Aligarh,Maize,260.0,980.0,1015.0,995.0,2008,2
90,2008-03-01,16993.0,Uttar Pradesh,Aligarh,Maize,230.0,1040.0,1080.0,1065.0,2008,3
142,2008-04-01,25085.0,Uttar Pradesh,Aligarh,Maize,995.0,995.0,1025.0,1015.0,2008,4
198,2008-05-01,37045.0,Uttar Pradesh,Aligarh,Maize,700.0,995.0,1020.0,1010.0,2008,5
251,2008-06-01,48797.0,Uttar Pradesh,Aligarh,Maize,1400.0,1000.0,1025.0,1010.0,2008,6
307,2008-07-01,57354.0,Uttar Pradesh,Aligarh,Maize,720.0,990.0,1010.0,1000.0,2008,7
363,2008-08-01,65842.0,Uttar Pradesh,Aligarh,Maize,790.0,970.0,990.0,980.0,2008,8
394,2008-09-01,72175.0,Uttar Pradesh,Aligarh,Maize,370.0,955.0,970.0,962.0,2008,9
468,2008-10-01,79031.0,Uttar Pradesh,Aligarh,Maize,270.0,980.0,1010.0,1000.0,2008,10
540,2008-11-01,85409.0,Uttar Pradesh,Aligarh,Maize,320.0,980.0,1010.0,995.0,2008,11
606,2008-12-01,92549.0,Uttar Pradesh,Aligarh,Maize,340.0,1020.0,1060.0,1040.0,2008,12
664,2009-01-01,100029.0,Uttar Pradesh,Aligarh,Maize,310.0,1010.0,1060.0,1040.0,2009,1
721,2009-02-01,107710.0,Uttar Pradesh,Aligarh,Maize,340.0,1130.0,1160.0,1145.0,2009,2
773,2009-03-01,115217.0,Uttar Pradesh,Aligarh,Maize,310.0,1140.0,1200.0,1165.0,2009,3
825,2009-04-01,122770.0,Uttar Pradesh,Aligarh,Maize,320.0,1060.0,1110.0,1090.0,2009,4
881,2009-05-01,134207.0,Uttar Pradesh,Aligarh,Maize,900.0,980.0,1083.0,1081.0,2009,5
926,2009-06-01,142643.0,Uttar Pradesh,Aligarh,Maize,440.0,1050.0,1080.0,1080.0,2009,6
994,2009-07-01,149902.0,Uttar Pradesh,Aligarh,Maize,320.0,1000.0,1080.0,1080.0,2009,7
1064,2009-08-01,157597.0,Uttar Pradesh,Aligarh,Maize,320.0,960.0,1000.0,985.0,2009,8
1141,2009-09-01,165376.0,Uttar Pradesh,Aligarh,Maize,250.0,1040.0,1090.0,1065.0,2009,9
1217,2009-10-01,174422.0,Uttar Pradesh,Aligarh,Maize,410.0,1080.0,1100.0,1090.0,2009,10
1323,2009-11-01,183419.0,Uttar Pradesh,Aligarh,Maize,30.0,1200.0,1310.0,1285.0,2009,11
1410,2009-12-01,193357.0,Uttar Pradesh,Aligarh,Maize,200.0,1240.0,1300.0,1260.0,2009,12
1506,2010-01-01,202873.0,Uttar Pradesh,Aligarh,Maize,220.0,1250.0,1300.0,1265.0,2010,1
1584,2010-02-01,211757.0,Uttar Pradesh,Aligarh,Maize,170.0,1290.0,1315.0,1300.0,2010,2
1678,2010-03-01,220931.0,Uttar Pradesh,Aligarh,Maize,40.0,1230.0,1250.0,1240.0,2010,3
1776,2010-04-01,230745.0,Uttar Pradesh,Aligarh,Maize,340.0,1120.0,1140.0,1130.0,2010,4
1880,2010-05-01,244984.0,Uttar Pradesh,Aligarh,Maize,1400.0,1060.0,1120.0,1108.0,2010,5
1981,2010-06-01,256419.0,Uttar Pradesh,Aligarh,Maize,1600.0,1040.0,1110.0,1102.0,2010,6
2080,2010-07-01,266652.0,Uttar Pradesh,Aligarh,Maize,850.0,1155.0,1180.0,1170.0,2010,7
2177,2010-08-01,276408.0,Uttar Pradesh,Aligarh,Maize,80.0,1100.0,1210.0,1120.0,2010,8
2252,2010-09-01,286203.0,Uttar Pradesh,Aligarh,Maize,310.0,1105.0,1130.0,1115.0,2010,9
2326,2010-10-01,295868.0,Uttar Pradesh,Aligarh,Maize,310.0,1110.0,1140.0,1120.0,2010,10
2405,2010-11-01,305987.0,Uttar Pradesh,Aligarh,Maize,330.0,1110.0,1140.0,1120.0,2010,11
2476,2010-12-01,314532.0,Uttar Pradesh,Aligarh,Maize,350.0,1120.0,1160.0,1145.0,2010,12
