,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,514.0,Uttar Pradesh,Allahabad,Maize,2.8,800.0,900.0,850.0,2008,1
45,2008-02-01,8913.0,Uttar Pradesh,Allahabad,Maize,13.0,0.0,0.0,960.0,2008,2
90,2008-03-01,16995.0,Uttar Pradesh,Allahabad,Maize,67.0,0.0,0.0,990.0,2008,3
138,2008-04-01,25087.0,Uttar Pradesh,Allahabad,Maize,58.0,0.0,0.0,1000.0,2008,4
189,2008-05-01,37047.0,Uttar Pradesh,Allahabad,Maize,50.0,0.0,0.0,1020.0,2008,5
240,2008-06-01,48501.0,Uttar Pradesh,Allahabad,Maize,8.0,0.0,0.0,1010.0,2008,6
281,2008-07-01,57356.0,Uttar Pradesh,Allahabad,Maize,2.0,0.0,0.0,1020.0,2008,7
333,2008-08-01,65844.0,Uttar Pradesh,Allahabad,Maize,80.0,0.0,0.0,1100.0,2008,8
371,2008-09-01,72177.0,Uttar Pradesh,Allahabad,Maize,85.0,0.0,0.0,1080.0,2008,9
388,2008-10-01,79033.0,Uttar Pradesh,Allahabad,Maize,85.0,0.0,0.0,1000.0,2008,10
401,2008-11-01,85412.0,Uttar Pradesh,Allahabad,Maize,90.0,0.0,0.0,1010.0,2008,11
417,2008-12-01,92551.0,Uttar Pradesh,Allahabad,Maize,13.0,0.0,0.0,935.0,2008,12
453,2009-01-01,100031.0,Uttar Pradesh,Allahabad,Maize,35.0,0.0,0.0,950.0,2009,1
486,2009-02-01,107452.0,Uttar Pradesh,Allahabad,Maize,17.0,0.0,0.0,1280.0,2009,2
527,2009-03-01,114898.0,Uttar Pradesh,Allahabad,Maize,14.0,0.0,0.0,1050.0,2009,3
570,2009-04-01,122772.0,Uttar Pradesh,Allahabad,Maize,31.0,0.0,0.0,1060.0,2009,4
617,2009-05-01,134210.0,Uttar Pradesh,Allahabad,Maize,200.0,0.0,0.0,1080.0,2009,5
649,2009-06-01,142645.0,Uttar Pradesh,Allahabad,Maize,40.0,0.0,0.0,1080.0,2009,6
699,2009-07-01,149903.0,Uttar Pradesh,Allahabad,Maize,14.0,0.0,0.0,1050.0,2009,7
717,2009-08-01,157600.0,Uttar Pradesh,Allahabad,Maize,13.0,0.0,0.0,975.0,2009,8
743,2009-09-01,165379.0,Uttar Pradesh,Allahabad,Maize,35.0,0.0,0.0,1025.0,2009,9
778,2009-10-01,174427.0,Uttar Pradesh,Allahabad,Maize,67.0,0.0,0.0,1040.0,2009,10
817,2009-11-01,183421.0,Uttar Pradesh,Allahabad,Maize,30.0,0.0,0.0,1150.0,2009,11
853,2009-12-01,193360.0,Uttar Pradesh,Allahabad,Maize,36.0,0.0,0.0,1200.0,2009,12
867,2010-01-01,202877.0,Uttar Pradesh,Allahabad,Maize,0.85,0.0,0.0,1260.0,2010,1
