,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Uttar Pradesh,Auraiya,Maize,76.64579439252337,606.4018691588785,618.3084112149533,1309.6355140186915,2008,1
1,2008-02-01,,Uttar Pradesh,Auraiya,Maize,76.64579439252337,606.4018691588785,618.3084112149533,1309.6355140186915,2008,2
2,2008-03-01,,Uttar Pradesh,Auraiya,Maize,76.64579439252337,606.4018691588785,618.3084112149533,1309.6355140186915,2008,3
3,2008-04-01,,Uttar Pradesh,Auraiya,Maize,76.64579439252337,606.4018691588785,618.3084112149533,1309.6355140186915,2008,4
4,2008-05-01,,Uttar Pradesh,Auraiya,Maize,76.64579439252337,606.4018691588785,618.3084112149533,1309.6355140186915,2008,5
5,2008-06-01,,Uttar Pradesh,Auraiya,Maize,76.64579439252337,606.4018691588785,618.3084112149533,1309.6355140186915,2008,6
6,2008-07-01,,Uttar Pradesh,Auraiya,Maize,76.64579439252337,606.4018691588785,618.3084112149533,1309.6355140186915,2008,7
7,2008-08-01,71674.0,Uttar Pradesh,Auraiya,Maize,150.0,960.0,975.0,960.0,2008,8
9,2008-09-01,72609.0,Uttar Pradesh,Auraiya,Maize,120.0,0.0,0.0,930.0,2008,9
33,2008-10-01,79034.0,Uttar Pradesh,Auraiya,Maize,72.0,0.0,0.0,940.0,2008,10
54,2008-11-01,85413.0,Uttar Pradesh,Auraiya,Maize,80.0,0.0,0.0,938.0,2008,11
78,2008-12-01,92553.0,Uttar Pradesh,Auraiya,Maize,45.0,0.0,0.0,990.0,2008,12
104,2009-01-01,100033.0,Uttar Pradesh,Auraiya,Maize,37.0,0.0,0.0,1015.0,2009,1
129,2009-02-01,107714.0,Uttar Pradesh,Auraiya,Maize,40.0,0.0,0.0,1070.0,2009,2
153,2009-03-01,115221.0,Uttar Pradesh,Auraiya,Maize,26.0,0.0,0.0,1095.0,2009,3
176,2009-04-01,122774.0,Uttar Pradesh,Auraiya,Maize,30.0,0.0,0.0,1020.0,2009,4
202,2009-05-01,134211.0,Uttar Pradesh,Auraiya,Maize,250.0,0.0,0.0,1080.0,2009,5
223,2009-06-01,142647.0,Uttar Pradesh,Auraiya,Maize,95.0,0.0,0.0,1080.0,2009,6
249,2009-07-01,149905.0,Uttar Pradesh,Auraiya,Maize,120.0,0.0,0.0,1080.0,2009,7
272,2009-08-01,157601.0,Uttar Pradesh,Auraiya,Maize,65.0,0.0,0.0,1000.0,2009,8
297,2009-09-01,165380.0,Uttar Pradesh,Auraiya,Maize,85.0,0.0,0.0,1035.0,2009,9
322,2009-10-01,174428.0,Uttar Pradesh,Auraiya,Maize,220.0,0.0,0.0,1055.0,2009,10
346,2009-11-01,183616.0,Uttar Pradesh,Auraiya,Maize,165.0,0.0,0.0,1240.0,2009,11
368,2009-12-01,193361.0,Uttar Pradesh,Auraiya,Maize,55.0,0.0,0.0,1230.0,2009,12
389,2010-01-01,202878.0,Uttar Pradesh,Auraiya,Maize,50.0,0.0,0.0,1250.0,2010,1
412,2010-02-01,211763.0,Uttar Pradesh,Auraiya,Maize,47.0,0.0,0.0,1270.0,2010,2
434,2010-03-01,220658.0,Uttar Pradesh,Auraiya,Maize,115.0,1130.0,1150.0,1140.0,2010,3
462,2010-04-01,230752.0,Uttar Pradesh,Auraiya,Maize,1000.0,950.0,1100.0,1000.0,2010,4
507,2010-05-01,244992.0,Uttar Pradesh,Auraiya,Maize,130.0,0.0,0.0,1100.0,2010,5
547,2010-06-01,256427.0,Uttar Pradesh,Auraiya,Maize,110.0,1060.0,1100.0,1080.0,2010,6
573,2010-07-01,266657.0,Uttar Pradesh,Auraiya,Maize,110.0,1080.0,1100.0,1090.0,2010,7
624,2010-08-01,276732.0,Uttar Pradesh,Auraiya,Maize,108.0,1060.0,1080.0,1070.0,2010,8
675,2010-09-01,286205.0,Uttar Pradesh,Auraiya,Maize,107.0,1050.0,1070.0,1060.0,2010,9
725,2010-10-01,295873.0,Uttar Pradesh,Auraiya,Maize,107.0,1050.0,1070.0,1060.0,2010,10
775,2010-11-01,305993.0,Uttar Pradesh,Auraiya,Maize,105.0,1030.0,1050.0,1040.0,2010,11
827,2010-12-01,314538.0,Uttar Pradesh,Auraiya,Maize,105.0,1035.0,1050.0,1045.0,2010,12
881,2011-01-01,324084.0,Uttar Pradesh,Auraiya,Maize,105.0,1020.0,1060.0,1050.0,2011,1
929,2011-02-01,333913.0,Uttar Pradesh,Auraiya,Maize,40.0,0.0,0.0,1220.0,2011,2
952,2011-03-01,343258.0,Uttar Pradesh,Auraiya,Maize,30.0,0.0,0.0,1190.0,2011,3
986,2011-04-01,353155.0,Uttar Pradesh,Auraiya,Maize,30.0,0.0,0.0,1100.0,2011,4
1018,2011-05-01,366120.0,Uttar Pradesh,Auraiya,Maize,20.0,1115.0,1127.0,1125.0,2011,5
1058,2011-06-01,378834.0,Uttar Pradesh,Auraiya,Maize,45.0,1085.0,1122.0,1120.0,2011,6
1127,2011-07-01,389961.0,Uttar Pradesh,Auraiya,Maize,5.0,1090.0,1130.0,1127.0,2011,7
1176,2011-08-01,401154.0,Uttar Pradesh,Auraiya,Maize,1.8,1050.0,1100.0,1090.0,2011,8
1220,2011-09-01,410947.0,Uttar Pradesh,Auraiya,Maize,35.0,0.0,0.0,1000.0,2011,9
1274,2011-10-01,421545.0,Uttar Pradesh,Auraiya,Maize,38.3,950.0,1030.0,1000.0,2011,10
1334,2011-11-01,430198.0,Uttar Pradesh,Auraiya,Maize,60.0,975.0,1000.0,985.0,2011,11
1401,2011-12-01,440798.0,Uttar Pradesh,Auraiya,Maize,27.0,950.0,970.0,960.0,2011,12
1455,2012-01-01,452311.0,Uttar Pradesh,Auraiya,Maize,50.0,0.0,0.0,990.0,2012,1
