,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,515.0,Uttar Pradesh,Badaun,Maize,96.0,0.0,0.0,945.0,2008,1
23,2008-02-01,9372.0,Uttar Pradesh,Badaun,Maize,75.0,0.0,0.0,1010.0,2008,2
43,2008-03-01,16998.0,Uttar Pradesh,Badaun,Maize,63.0,0.0,0.0,1015.0,2008,3
67,2008-04-01,34820.0,Uttar Pradesh,Badaun,Maize,165.0,0.0,0.0,1000.0,2008,4
71,2008-05-01,39733.0,Uttar Pradesh,Badaun,Maize,23.0,0.0,0.0,1000.0,2008,5
84,2008-06-01,49094.0,Uttar Pradesh,Badaun,Maize,230.0,0.0,0.0,990.0,2008,6
108,2008-07-01,57359.0,Uttar Pradesh,Badaun,Maize,120.0,0.0,0.0,1005.0,2008,7
120,2008-08-01,69837.0,Uttar Pradesh,Badaun,Maize,30.0,0.0,0.0,1005.0,2008,8
127,2008-09-01,72179.0,Uttar Pradesh,Badaun,Maize,40.0,0.0,0.0,1000.0,2008,9
153,2008-10-01,79036.0,Uttar Pradesh,Badaun,Maize,4.5,0.0,0.0,962.0,2008,10
176,2008-11-01,85414.0,Uttar Pradesh,Badaun,Maize,20.0,0.0,0.0,1000.0,2008,11
201,2008-12-01,92554.0,Uttar Pradesh,Badaun,Maize,2.0,0.0,0.0,1025.0,2008,12
227,2009-01-01,100035.0,Uttar Pradesh,Badaun,Maize,1.5,0.0,0.0,1040.0,2009,1
253,2009-02-01,107716.0,Uttar Pradesh,Badaun,Maize,17.0,0.0,0.0,1130.0,2009,2
276,2009-03-01,115222.0,Uttar Pradesh,Badaun,Maize,10.0,0.0,0.0,1140.0,2009,3
300,2009-04-01,122775.0,Uttar Pradesh,Badaun,Maize,40.0,0.0,0.0,1050.0,2009,4
327,2009-05-01,134212.0,Uttar Pradesh,Badaun,Maize,1200.0,0.0,0.0,950.0,2009,5
352,2009-06-01,142649.0,Uttar Pradesh,Badaun,Maize,500.0,0.0,0.0,1080.0,2009,6
367,2009-07-01,149907.0,Uttar Pradesh,Badaun,Maize,90.0,0.0,0.0,1080.0,2009,7
391,2009-08-01,157603.0,Uttar Pradesh,Badaun,Maize,30.0,0.0,0.0,980.0,2009,8
414,2009-09-01,,Uttar Pradesh,Badaun,Maize,97.4967,398.1,422.0,1306.66,2009,9
415,2009-10-01,,Uttar Pradesh,Badaun,Maize,97.4967,398.1,422.0,1306.66,2009,10
416,2009-11-01,,Uttar Pradesh,Badaun,Maize,97.4967,398.1,422.0,1306.66,2009,11
417,2009-12-01,193363.0,Uttar Pradesh,Badaun,Maize,40.0,0.0,0.0,1200.0,2009,12
418,2010-01-01,202880.0,Uttar Pradesh,Badaun,Maize,25.0,0.0,0.0,1270.0,2010,1
438,2010-02-01,211765.0,Uttar Pradesh,Badaun,Maize,14.0,0.0,0.0,1250.0,2010,2
460,2010-03-01,225767.0,Uttar Pradesh,Badaun,Maize,12.0,0.0,0.0,1230.0,2010,3
472,2010-04-01,230755.0,Uttar Pradesh,Badaun,Maize,15.0,0.0,0.0,1110.0,2010,4
515,2010-05-01,244993.0,Uttar Pradesh,Badaun,Maize,250.0,990.0,1000.0,995.0,2010,5
549,2010-06-01,256429.0,Uttar Pradesh,Badaun,Maize,300.0,0.0,0.0,1110.0,2010,6
581,2010-07-01,266660.0,Uttar Pradesh,Badaun,Maize,13.0,0.0,0.0,1110.0,2010,7
621,2010-08-01,276409.0,Uttar Pradesh,Badaun,Maize,5.0,1120.0,1130.0,1125.0,2010,8
644,2010-09-01,286208.0,Uttar Pradesh,Badaun,Maize,12.0,0.0,0.0,1110.0,2010,9
666,2010-10-01,295875.0,Uttar Pradesh,Badaun,Maize,20.0,0.0,0.0,1130.0,2010,10
691,2010-11-01,305996.0,Uttar Pradesh,Badaun,Maize,20.0,0.0,0.0,1162.0,2010,11
