,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Uttar Pradesh,Baghpat,Maize,9.46,554.35,600.3,1382.05,2008,1
1,2008-02-01,,Uttar Pradesh,Baghpat,Maize,9.46,554.35,600.3,1382.05,2008,2
2,2008-03-01,,Uttar Pradesh,Baghpat,Maize,9.46,554.35,600.3,1382.05,2008,3
3,2008-04-01,25090.0,Uttar Pradesh,Baghpat,Maize,2.5,0.0,0.0,1130.0,2008,4
28,2008-05-01,37050.0,Uttar Pradesh,Baghpat,Maize,80.0,0.0,0.0,1040.0,2008,5
38,2008-06-01,53815.0,Uttar Pradesh,Baghpat,Maize,6.0,0.0,0.0,1025.0,2008,6
47,2008-07-01,57360.0,Uttar Pradesh,Baghpat,Maize,18.0,0.0,0.0,1020.0,2008,7
73,2008-08-01,65846.0,Uttar Pradesh,Baghpat,Maize,4.0,0.0,0.0,1050.0,2008,8
96,2008-09-01,72180.0,Uttar Pradesh,Baghpat,Maize,3.0,0.0,0.0,1060.0,2008,9
122,2008-10-01,79037.0,Uttar Pradesh,Baghpat,Maize,5.0,0.0,0.0,1010.0,2008,10
146,2008-11-01,85415.0,Uttar Pradesh,Baghpat,Maize,7.0,0.0,0.0,1040.0,2008,11
159,2008-12-01,,Uttar Pradesh,Baghpat,Maize,9.46,554.35,600.3,1382.05,2008,12
160,2009-01-01,104291.0,Uttar Pradesh,Baghpat,Maize,7.5,0.0,0.0,1050.0,2009,1
169,2009-02-01,107717.0,Uttar Pradesh,Baghpat,Maize,2.5,0.0,0.0,1130.0,2009,2
192,2009-03-01,115223.0,Uttar Pradesh,Baghpat,Maize,3.0,0.0,0.0,1150.0,2009,3
213,2009-04-01,122776.0,Uttar Pradesh,Baghpat,Maize,5.0,0.0,0.0,1080.0,2009,4
239,2009-05-01,134213.0,Uttar Pradesh,Baghpat,Maize,35.0,0.0,0.0,1080.0,2009,5
254,2009-06-01,,Uttar Pradesh,Baghpat,Maize,9.46,554.35,600.3,1382.05,2009,6
