,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,4086.0,Uttar Pradesh,Banda,Maize,32.0,0.0,0.0,1000.0,2008,1
12,2008-02-01,8557.0,Uttar Pradesh,Banda,Maize,24.5,0.0,0.0,1015.0,2008,2
33,2008-03-01,17001.0,Uttar Pradesh,Banda,Maize,69.5,0.0,0.0,1030.0,2008,3
53,2008-04-01,25427.0,Uttar Pradesh,Banda,Maize,4.3,1100.0,1229.0,1150.0,2008,4
85,2008-05-01,37052.0,Uttar Pradesh,Banda,Maize,2.0,0.0,0.0,1010.0,2008,5
116,2008-06-01,49444.0,Uttar Pradesh,Banda,Maize,224.0,0.0,0.0,990.0,2008,6
138,2008-07-01,57729.0,Uttar Pradesh,Banda,Maize,59.0,0.0,0.0,1000.0,2008,7
164,2008-08-01,65849.0,Uttar Pradesh,Banda,Maize,28.0,0.0,0.0,980.0,2008,8
179,2008-09-01,72182.0,Uttar Pradesh,Banda,Maize,20.0,0.0,0.0,960.0,2008,9
202,2008-10-01,79041.0,Uttar Pradesh,Banda,Maize,19.0,0.0,0.0,950.0,2008,10
225,2008-11-01,89773.0,Uttar Pradesh,Banda,Maize,23.0,0.0,0.0,960.0,2008,11
235,2008-12-01,92557.0,Uttar Pradesh,Banda,Maize,42.5,0.0,0.0,960.0,2008,12
261,2009-01-01,100039.0,Uttar Pradesh,Banda,Maize,22.5,0.0,0.0,1000.0,2009,1
288,2009-02-01,107453.0,Uttar Pradesh,Banda,Maize,29.0,0.0,0.0,1050.0,2009,2
310,2009-03-01,114900.0,Uttar Pradesh,Banda,Maize,18.0,0.0,0.0,1100.0,2009,3
330,2009-04-01,122780.0,Uttar Pradesh,Banda,Maize,40.0,0.0,0.0,1000.0,2009,4
350,2009-05-01,134216.0,Uttar Pradesh,Banda,Maize,70.0,0.0,0.0,950.0,2009,5
367,2009-06-01,143193.0,Uttar Pradesh,Banda,Maize,24.0,0.0,0.0,960.0,2009,6
391,2009-07-01,149913.0,Uttar Pradesh,Banda,Maize,31.0,0.0,0.0,950.0,2009,7
416,2009-08-01,157610.0,Uttar Pradesh,Banda,Maize,950.0,0.0,0.0,700.0,2009,8
442,2009-09-01,165727.0,Uttar Pradesh,Banda,Maize,660.0,0.0,0.0,980.0,2009,9
467,2009-10-01,174438.0,Uttar Pradesh,Banda,Maize,650.0,0.0,0.0,975.0,2009,10
492,2009-11-01,183423.0,Uttar Pradesh,Banda,Maize,300.0,0.0,0.0,1300.0,2009,11
511,2009-12-01,193726.0,Uttar Pradesh,Banda,Maize,350.0,0.0,0.0,1160.0,2009,12
529,2010-01-01,202885.0,Uttar Pradesh,Banda,Maize,300.0,0.0,0.0,1170.0,2010,1
542,2010-02-01,211771.0,Uttar Pradesh,Banda,Maize,3.5,0.0,1400.0,0.0,2010,2
597,2010-03-01,220660.0,Uttar Pradesh,Banda,Maize,50.0,0.0,0.0,1295.0,2010,3
663,2010-04-01,230763.0,Uttar Pradesh,Banda,Maize,44.0,0.0,1100.0,0.0,2010,4
722,2010-05-01,245000.0,Uttar Pradesh,Banda,Maize,30.0,1000.0,0.0,0.0,2010,5
770,2010-06-01,256436.0,Uttar Pradesh,Banda,Maize,40.0,0.0,1025.0,0.0,2010,6
818,2010-07-01,266665.0,Uttar Pradesh,Banda,Maize,40.0,1000.0,0.0,0.0,2010,7
866,2010-08-01,276412.0,Uttar Pradesh,Banda,Maize,40.0,1025.0,0.0,0.0,2010,8
917,2010-09-01,286215.0,Uttar Pradesh,Banda,Maize,30.0,1050.0,0.0,0.0,2010,9
962,2010-10-01,295883.0,Uttar Pradesh,Banda,Maize,35.0,0.0,0.0,1090.0,2010,10
979,2010-11-01,306004.0,Uttar Pradesh,Banda,Maize,400.0,0.0,0.0,1100.0,2010,11
1002,2010-12-01,314547.0,Uttar Pradesh,Banda,Maize,350.0,0.0,0.0,1100.0,2010,12
1029,2011-01-01,324095.0,Uttar Pradesh,Banda,Maize,300.0,1190.0,0.0,0.0,2011,1
1072,2011-02-01,333923.0,Uttar Pradesh,Banda,Maize,250.0,1200.0,0.0,0.0,2011,2
1118,2011-03-01,343264.0,Uttar Pradesh,Banda,Maize,300.0,0.0,0.0,1250.0,2011,3
1173,2011-04-01,353162.0,Uttar Pradesh,Banda,Maize,1243.0,0.0,0.0,1100.0,2011,4
1229,2011-05-01,365615.0,Uttar Pradesh,Banda,Maize,350.0,1050.0,0.0,0.0,2011,5
1286,2011-06-01,378846.0,Uttar Pradesh,Banda,Maize,350.0,1050.0,0.0,0.0,2011,6
1358,2011-07-01,389969.0,Uttar Pradesh,Banda,Maize,399.0,0.0,0.0,1080.0,2011,7
1407,2011-08-01,401163.0,Uttar Pradesh,Banda,Maize,350.0,0.0,0.0,1000.0,2011,8
