,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,819.0,Uttar Pradesh,Bijnor,Maize,2.5,1010.0,1060.0,1032.0,2008,1
23,2008-02-01,8559.0,Uttar Pradesh,Bijnor,Maize,2.5,0.0,0.0,1045.0,2008,2
46,2008-03-01,17004.0,Uttar Pradesh,Bijnor,Maize,3.0,0.0,0.0,1073.0,2008,3
72,2008-04-01,25095.0,Uttar Pradesh,Bijnor,Maize,3.0,0.0,0.0,1090.0,2008,4
97,2008-05-01,37055.0,Uttar Pradesh,Bijnor,Maize,4.5,0.0,0.0,1075.0,2008,5
124,2008-06-01,48503.0,Uttar Pradesh,Bijnor,Maize,2.5,0.0,0.0,1005.0,2008,6
150,2008-07-01,57366.0,Uttar Pradesh,Bijnor,Maize,3.5,0.0,0.0,1010.0,2008,7
175,2008-08-01,65853.0,Uttar Pradesh,Bijnor,Maize,4.5,0.0,0.0,1020.0,2008,8
191,2008-09-01,72185.0,Uttar Pradesh,Bijnor,Maize,3.5,0.0,0.0,1015.0,2008,9
217,2008-10-01,79163.0,Uttar Pradesh,Bijnor,Maize,1.5,0.0,0.0,1005.0,2008,10
240,2008-11-01,85423.0,Uttar Pradesh,Bijnor,Maize,2.5,0.0,0.0,1000.0,2008,11
266,2008-12-01,92842.0,Uttar Pradesh,Bijnor,Maize,3.5,0.0,0.0,1035.0,2008,12
288,2009-01-01,100043.0,Uttar Pradesh,Bijnor,Maize,3.0,0.0,0.0,1045.0,2009,1
314,2009-02-01,107456.0,Uttar Pradesh,Bijnor,Maize,2.5,0.0,0.0,1075.0,2009,2
338,2009-03-01,114903.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1125.0,2009,3
360,2009-04-01,123143.0,Uttar Pradesh,Bijnor,Maize,3.0,0.0,0.0,1100.0,2009,4
390,2009-05-01,134220.0,Uttar Pradesh,Bijnor,Maize,5.5,0.0,0.0,1080.0,2009,5
416,2009-06-01,142655.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1080.0,2009,6
442,2009-07-01,150188.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1080.0,2009,7
467,2009-08-01,157613.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1045.0,2009,8
494,2009-09-01,165390.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1080.0,2009,9
525,2009-10-01,174441.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1095.0,2009,10
552,2009-11-01,183425.0,Uttar Pradesh,Bijnor,Maize,5.0,0.0,0.0,1135.0,2009,11
578,2009-12-01,193371.0,Uttar Pradesh,Bijnor,Maize,3.0,0.0,0.0,1265.0,2009,12
602,2010-01-01,202888.0,Uttar Pradesh,Bijnor,Maize,3.5,0.0,0.0,1320.0,2010,1
630,2010-02-01,211774.0,Uttar Pradesh,Bijnor,Maize,3.5,0.0,0.0,1340.0,2010,2
688,2010-03-01,220662.0,Uttar Pradesh,Bijnor,Maize,3.0,0.0,0.0,1330.0,2010,3
744,2010-04-01,230767.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1200.0,2010,4
807,2010-05-01,245006.0,Uttar Pradesh,Bijnor,Maize,6.5,0.0,0.0,1100.0,2010,5
903,2010-06-01,256440.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1100.0,2010,6
971,2010-07-01,266669.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1190.0,2010,7
1027,2010-08-01,276415.0,Uttar Pradesh,Bijnor,Maize,4.0,0.0,0.0,1180.0,2010,8
1075,2010-09-01,286219.0,Uttar Pradesh,Bijnor,Maize,2.5,0.0,0.0,1180.0,2010,9
1132,2010-10-01,295886.0,Uttar Pradesh,Bijnor,Maize,3.5,0.0,0.0,1170.0,2010,10
1186,2010-11-01,306006.0,Uttar Pradesh,Bijnor,Maize,3.0,0.0,0.0,1170.0,2010,11
1222,2010-12-01,314550.0,Uttar Pradesh,Bijnor,Maize,7.5,0.0,0.0,1100.0,2010,12
1271,2011-01-01,324100.0,Uttar Pradesh,Bijnor,Maize,2.5,0.0,0.0,1200.0,2011,1
1307,2011-02-01,333926.0,Uttar Pradesh,Bijnor,Maize,2.5,0.0,0.0,1260.0,2011,2
1338,2011-03-01,343267.0,Uttar Pradesh,Bijnor,Maize,3.0,0.0,0.0,1275.0,2011,3
1380,2011-04-01,353165.0,Uttar Pradesh,Bijnor,Maize,3.0,0.0,0.0,1150.0,2011,4
1425,2011-05-01,365618.0,Uttar Pradesh,Bijnor,Maize,7.5,0.0,0.0,1170.0,2011,5
1503,2011-06-01,378850.0,Uttar Pradesh,Bijnor,Maize,25.0,0.0,0.0,1130.0,2011,6
1579,2011-07-01,389972.0,Uttar Pradesh,Bijnor,Maize,1.0,0.0,0.0,1130.0,2011,7
1659,2011-08-01,401167.0,Uttar Pradesh,Bijnor,Maize,5.5,0.0,0.0,1185.0,2011,8
1712,2011-09-01,410962.0,Uttar Pradesh,Bijnor,Maize,3.5,0.0,0.0,1160.0,2011,9
1769,2011-10-01,421563.0,Uttar Pradesh,Bijnor,Maize,5.5,0.0,0.0,1145.0,2011,10
1815,2011-11-01,430214.0,Uttar Pradesh,Bijnor,Maize,6.0,0.0,0.0,1120.0,2011,11
