,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,518.0,Uttar Pradesh,Bulandshahar,Maize,44.0,980.0,1000.0,985.0,2008,1
70,2008-02-01,8560.0,Uttar Pradesh,Bulandshahar,Maize,48.0,1050.0,1060.0,1055.0,2008,2
143,2008-03-01,17005.0,Uttar Pradesh,Bulandshahar,Maize,21.0,1060.0,1070.0,1065.0,2008,3
218,2008-04-01,25096.0,Uttar Pradesh,Bulandshahar,Maize,5.5,1025.0,1035.0,1030.0,2008,4
298,2008-05-01,37056.0,Uttar Pradesh,Bulandshahar,Maize,320.0,1002.0,1008.0,1005.0,2008,5
383,2008-06-01,48804.0,Uttar Pradesh,Bulandshahar,Maize,380.0,1000.0,1015.0,1000.0,2008,6
460,2008-07-01,57367.0,Uttar Pradesh,Bulandshahar,Maize,140.0,1000.0,1010.0,1000.0,2008,7
535,2008-08-01,65854.0,Uttar Pradesh,Bulandshahar,Maize,110.0,990.0,1010.0,995.0,2008,8
586,2008-09-01,72186.0,Uttar Pradesh,Bulandshahar,Maize,90.0,980.0,990.0,985.0,2008,9
637,2008-10-01,79045.0,Uttar Pradesh,Bulandshahar,Maize,60.0,1000.0,1020.0,1010.0,2008,10
685,2008-11-01,85425.0,Uttar Pradesh,Bulandshahar,Maize,33.0,1015.0,1025.0,1020.0,2008,11
722,2008-12-01,92560.0,Uttar Pradesh,Bulandshahar,Maize,35.0,1055.0,1065.0,1060.0,2008,12
774,2009-01-01,100044.0,Uttar Pradesh,Bulandshahar,Maize,20.0,1060.0,1080.0,1075.0,2009,1
828,2009-02-01,107457.0,Uttar Pradesh,Bulandshahar,Maize,2.5,1100.0,1110.0,1105.0,2009,2
876,2009-03-01,114904.0,Uttar Pradesh,Bulandshahar,Maize,2.0,1105.0,1115.0,1110.0,2009,3
917,2009-04-01,123144.0,Uttar Pradesh,Bulandshahar,Maize,3.5,1055.0,1065.0,1060.0,2009,4
942,2009-05-01,134221.0,Uttar Pradesh,Bulandshahar,Maize,254.0,980.0,1000.0,990.0,2009,5
976,2009-06-01,142656.0,Uttar Pradesh,Bulandshahar,Maize,280.0,1080.0,1080.0,1080.0,2009,6
1025,2009-07-01,149916.0,Uttar Pradesh,Bulandshahar,Maize,140.0,960.0,1080.0,1080.0,2009,7
1076,2009-08-01,157614.0,Uttar Pradesh,Bulandshahar,Maize,21.0,1010.0,1015.0,1010.0,2009,8
1148,2009-09-01,165392.0,Uttar Pradesh,Bulandshahar,Maize,34.0,1055.0,1065.0,1065.0,2009,9
1211,2009-10-01,174442.0,Uttar Pradesh,Bulandshahar,Maize,32.0,1110.0,1125.0,1118.0,2009,10
1262,2009-11-01,183426.0,Uttar Pradesh,Bulandshahar,Maize,13.5,1270.0,1290.0,1280.0,2009,11
1316,2009-12-01,193372.0,Uttar Pradesh,Bulandshahar,Maize,26.0,1300.0,1330.0,1320.0,2009,12
1373,2010-01-01,202889.0,Uttar Pradesh,Bulandshahar,Maize,20.0,1300.0,1315.0,1305.0,2010,1
1446,2010-02-01,211776.0,Uttar Pradesh,Bulandshahar,Maize,28.0,1330.0,1345.0,1340.0,2010,2
1530,2010-03-01,220947.0,Uttar Pradesh,Bulandshahar,Maize,35.0,1210.0,1230.0,1216.0,2010,3
1628,2010-04-01,230770.0,Uttar Pradesh,Bulandshahar,Maize,33.0,1125.0,1140.0,1130.0,2010,4
1734,2010-05-01,245007.0,Uttar Pradesh,Bulandshahar,Maize,9.8,1090.0,1100.0,1100.0,2010,5
1892,2010-06-01,256441.0,Uttar Pradesh,Bulandshahar,Maize,5.2,1050.0,1100.0,1070.0,2010,6
2018,2010-07-01,266670.0,Uttar Pradesh,Bulandshahar,Maize,7.0,1130.0,1155.0,1150.0,2010,7
2148,2010-08-01,276416.0,Uttar Pradesh,Bulandshahar,Maize,31.5,1105.0,1115.0,1110.0,2010,8
2247,2010-09-01,286220.0,Uttar Pradesh,Bulandshahar,Maize,8.1,1110.0,1120.0,1115.0,2010,9
2344,2010-10-01,295888.0,Uttar Pradesh,Bulandshahar,Maize,25.0,1145.0,1160.0,1150.0,2010,10
2444,2010-11-01,306008.0,Uttar Pradesh,Bulandshahar,Maize,7.5,1110.0,1130.0,1115.0,2010,11
2501,2010-12-01,314551.0,Uttar Pradesh,Bulandshahar,Maize,20.0,1180.0,1200.0,1185.0,2010,12
2525,2011-01-01,324101.0,Uttar Pradesh,Bulandshahar,Maize,12.5,1200.0,1220.0,1205.0,2011,1
2594,2011-02-01,333927.0,Uttar Pradesh,Bulandshahar,Maize,11.0,1255.0,1265.0,1260.0,2011,2
2659,2011-03-01,343268.0,Uttar Pradesh,Bulandshahar,Maize,21.0,1235.0,1245.0,1235.0,2011,3
2757,2011-04-01,353166.0,Uttar Pradesh,Bulandshahar,Maize,22.0,1110.0,1130.0,1120.0,2011,4
2872,2011-05-01,365620.0,Uttar Pradesh,Bulandshahar,Maize,20.5,1110.0,1130.0,1120.0,2011,5
3036,2011-06-01,378851.0,Uttar Pradesh,Bulandshahar,Maize,3.6,1100.0,1130.0,1120.0,2011,6
