,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,520.0,Uttar Pradesh,Chandauli,Maize,1.5,970.0,1015.0,990.0,2008,1
19,2008-02-01,8563.0,Uttar Pradesh,Chandauli,Maize,1.5,1020.0,1060.0,1040.0,2008,2
37,2008-03-01,17007.0,Uttar Pradesh,Chandauli,Maize,1.5,1030.0,1065.0,1045.0,2008,3
58,2008-04-01,25769.0,Uttar Pradesh,Chandauli,Maize,1.5,1050.0,1075.0,1060.0,2008,4
78,2008-05-01,38120.0,Uttar Pradesh,Chandauli,Maize,125.0,1000.0,1025.0,1010.0,2008,5
99,2008-06-01,49449.0,Uttar Pradesh,Chandauli,Maize,80.0,1000.0,1055.0,1035.0,2008,6
116,2008-07-01,57734.0,Uttar Pradesh,Chandauli,Maize,3.0,1000.0,1065.0,1050.0,2008,7
131,2008-08-01,66462.0,Uttar Pradesh,Chandauli,Maize,5.0,1045.0,1070.0,1060.0,2008,8
142,2008-09-01,72619.0,Uttar Pradesh,Chandauli,Maize,2.0,1020.0,1060.0,1045.0,2008,9
159,2008-10-01,79046.0,Uttar Pradesh,Chandauli,Maize,1.5,1000.0,1030.0,1015.0,2008,10
173,2008-11-01,85786.0,Uttar Pradesh,Chandauli,Maize,1.5,975.0,1010.0,990.0,2008,11
191,2008-12-01,92562.0,Uttar Pradesh,Chandauli,Maize,2.0,990.0,1010.0,1000.0,2008,12
210,2009-01-01,100355.0,Uttar Pradesh,Chandauli,Maize,2.5,990.0,1030.0,1015.0,2009,1
227,2009-02-01,108340.0,Uttar Pradesh,Chandauli,Maize,1.5,1010.0,1040.0,1025.0,2009,2
244,2009-03-01,115890.0,Uttar Pradesh,Chandauli,Maize,2.5,1040.0,1060.0,1050.0,2009,3
258,2009-04-01,122784.0,Uttar Pradesh,Chandauli,Maize,2.0,1060.0,1090.0,1080.0,2009,4
275,2009-05-01,,Uttar Pradesh,Chandauli,Maize,36.1036036036036,649.5945945945946,665.9459459459459,1326.3963963963963,2009,5
276,2009-06-01,145494.0,Uttar Pradesh,Chandauli,Maize,100.0,1085.0,1095.0,1090.0,2009,6
286,2009-07-01,150441.0,Uttar Pradesh,Chandauli,Maize,60.0,1080.0,1095.0,1085.0,2009,7
304,2009-08-01,157616.0,Uttar Pradesh,Chandauli,Maize,5.0,1080.0,1090.0,1085.0,2009,8
323,2009-09-01,167118.0,Uttar Pradesh,Chandauli,Maize,5.0,1080.0,1110.0,1095.0,2009,9
333,2009-10-01,174444.0,Uttar Pradesh,Chandauli,Maize,6.0,1065.0,1090.0,1080.0,2009,10
353,2009-11-01,183427.0,Uttar Pradesh,Chandauli,Maize,7.5,1080.0,1095.0,1090.0,2009,11
375,2009-12-01,193730.0,Uttar Pradesh,Chandauli,Maize,4.0,1165.0,1185.0,1180.0,2009,12
394,2010-01-01,202891.0,Uttar Pradesh,Chandauli,Maize,5.0,1180.0,1210.0,1195.0,2010,1
417,2010-02-01,211779.0,Uttar Pradesh,Chandauli,Maize,3.0,1210.0,1240.0,1220.0,2010,2
440,2010-03-01,221303.0,Uttar Pradesh,Chandauli,Maize,3.0,1240.0,1260.0,1255.0,2010,3
462,2010-04-01,230773.0,Uttar Pradesh,Chandauli,Maize,3.5,0.0,0.0,1180.0,2010,4
488,2010-05-01,245013.0,Uttar Pradesh,Chandauli,Maize,140.0,0.0,0.0,1110.0,2010,5
512,2010-06-01,256857.0,Uttar Pradesh,Chandauli,Maize,190.0,0.0,0.0,1110.0,2010,6
535,2010-07-01,266675.0,Uttar Pradesh,Chandauli,Maize,40.0,0.0,0.0,1115.0,2010,7
562,2010-08-01,276418.0,Uttar Pradesh,Chandauli,Maize,17.0,0.0,0.0,1120.0,2010,8
588,2010-09-01,286223.0,Uttar Pradesh,Chandauli,Maize,4.0,0.0,0.0,1115.0,2010,9
613,2010-10-01,295892.0,Uttar Pradesh,Chandauli,Maize,4.5,0.0,0.0,1120.0,2010,10
639,2010-11-01,306012.0,Uttar Pradesh,Chandauli,Maize,4.5,0.0,0.0,1120.0,2010,11
664,2010-12-01,314552.0,Uttar Pradesh,Chandauli,Maize,3.5,0.0,0.0,1130.0,2010,12
689,2011-01-01,324104.0,Uttar Pradesh,Chandauli,Maize,6.0,0.0,0.0,1165.0,2011,1
716,2011-02-01,334285.0,Uttar Pradesh,Chandauli,Maize,40.0,0.0,0.0,1180.0,2011,2
740,2011-03-01,343443.0,Uttar Pradesh,Chandauli,Maize,5.0,1225.0,1240.0,1230.0,2011,3
766,2011-04-01,353170.0,Uttar Pradesh,Chandauli,Maize,4.0,0.0,0.0,1245.0,2011,4
792,2011-05-01,365624.0,Uttar Pradesh,Chandauli,Maize,100.0,0.0,0.0,1140.0,2011,5
817,2011-06-01,378855.0,Uttar Pradesh,Chandauli,Maize,60.0,0.0,0.0,1150.0,2011,6
842,2011-07-01,389978.0,Uttar Pradesh,Chandauli,Maize,50.0,0.0,0.0,1165.0,2011,7
868,2011-08-01,401175.0,Uttar Pradesh,Chandauli,Maize,14.0,0.0,0.0,1170.0,2011,8
892,2011-09-01,410968.0,Uttar Pradesh,Chandauli,Maize,6.5,0.0,0.0,1160.0,2011,9
918,2011-10-01,421565.0,Uttar Pradesh,Chandauli,Maize,6.0,0.0,0.0,1125.0,2011,10
945,2011-11-01,430596.0,Uttar Pradesh,Chandauli,Maize,6.0,0.0,0.0,1125.0,2011,11
970,2011-12-01,440816.0,Uttar Pradesh,Chandauli,Maize,7.0,1110.0,1135.0,1125.0,2011,12
996,2012-01-01,451126.0,Uttar Pradesh,Chandauli,Maize,5.0,0.0,0.0,1115.0,2012,1
1021,2012-02-01,460329.0,Uttar Pradesh,Chandauli,Maize,5.0,0.0,0.0,1115.0,2012,2
1042,2012-03-01,468514.0,Uttar Pradesh,Chandauli,Maize,7.5,0.0,0.0,1150.0,2012,3
1068,2012-04-01,477493.0,Uttar Pradesh,Chandauli,Maize,7.0,0.0,0.0,1125.0,2012,4
1093,2012-05-01,490673.0,Uttar Pradesh,Chandauli,Maize,90.0,0.0,0.0,1170.0,2012,5
1119,2012-06-01,504197.0,Uttar Pradesh,Chandauli,Maize,340.0,0.0,0.0,1165.0,2012,6
1145,2012-07-01,515184.0,Uttar Pradesh,Chandauli,Maize,240.0,0.0,0.0,1165.0,2012,7
1171,2012-08-01,526926.0,Uttar Pradesh,Chandauli,Maize,30.0,1175.0,1200.0,1185.0,2012,8
1196,2012-09-01,537383.0,Uttar Pradesh,Chandauli,Maize,15.0,0.0,0.0,1290.0,2012,9
1222,2012-10-01,548523.0,Uttar Pradesh,Chandauli,Maize,15.0,0.0,0.0,1390.0,2012,10
1225,2012-11-01,559381.0,Uttar Pradesh,Chandauli,Maize,8.5,0.0,0.0,1440.0,2012,11
1251,2012-12-01,568885.0,Uttar Pradesh,Chandauli,Maize,11.0,0.0,0.0,1435.0,2012,12
1278,2013-01-01,579438.0,Uttar Pradesh,Chandauli,Maize,9.0,0.0,0.0,1435.0,2013,1
1304,2013-02-01,589003.0,Uttar Pradesh,Chandauli,Maize,7.0,0.0,0.0,1490.0,2013,2
1326,2013-03-01,597587.0,Uttar Pradesh,Chandauli,Maize,6.5,0.0,0.0,1585.0,2013,3
1350,2013-04-01,607022.0,Uttar Pradesh,Chandauli,Maize,12.5,0.0,0.0,1450.0,2013,4
1375,2013-05-01,620454.0,Uttar Pradesh,Chandauli,Maize,200.0,0.0,0.0,1335.0,2013,5
1402,2013-06-01,633785.0,Uttar Pradesh,Chandauli,Maize,250.0,0.0,0.0,1355.0,2013,6
1427,2013-07-01,645123.0,Uttar Pradesh,Chandauli,Maize,100.0,0.0,0.0,1385.0,2013,7
1453,2013-08-01,656302.0,Uttar Pradesh,Chandauli,Maize,13.0,0.0,0.0,1420.0,2013,8
1479,2013-09-01,665345.0,Uttar Pradesh,Chandauli,Maize,7.5,0.0,0.0,1415.0,2013,9
1504,2013-10-01,676223.0,Uttar Pradesh,Chandauli,Maize,6.5,0.0,0.0,1430.0,2013,10
1530,2013-11-01,685994.0,Uttar Pradesh,Chandauli,Maize,5.0,0.0,0.0,1435.0,2013,11
1556,2013-12-01,694404.0,Uttar Pradesh,Chandauli,Maize,4.0,0.0,0.0,1515.0,2013,12
1581,2014-01-01,703083.0,Uttar Pradesh,Chandauli,Maize,6.5,0.0,0.0,1535.0,2014,1
1608,2014-02-01,713013.0,Uttar Pradesh,Chandauli,Maize,5.0,0.0,0.0,1565.0,2014,2
1632,2014-03-01,721691.0,Uttar Pradesh,Chandauli,Maize,4.5,0.0,0.0,1640.0,2014,3
1658,2014-04-01,732163.0,Uttar Pradesh,Chandauli,Maize,11.5,0.0,0.0,1540.0,2014,4
1683,2014-05-01,744344.0,Uttar Pradesh,Chandauli,Maize,180.0,0.0,0.0,1410.0,2014,5
1709,2014-06-01,757930.0,Uttar Pradesh,Chandauli,Maize,340.0,0.0,0.0,1410.0,2014,6
1735,2014-07-01,769950.0,Uttar Pradesh,Chandauli,Maize,100.0,0.0,0.0,1450.0,2014,7
1761,2014-08-01,781010.0,Uttar Pradesh,Chandauli,Maize,6.5,0.0,0.0,1485.0,2014,8
1787,2014-09-01,791483.0,Uttar Pradesh,Chandauli,Maize,4.5,1500.0,1525.0,1515.0,2014,9
1812,2014-10-01,802976.0,Uttar Pradesh,Chandauli,Maize,4.5,1480.0,1510.0,1490.0,2014,10
1839,2014-11-01,812616.0,Uttar Pradesh,Chandauli,Maize,4.5,1520.0,1540.0,1530.0,2014,11
1865,2014-12-01,823581.0,Uttar Pradesh,Chandauli,Maize,7.0,1500.0,1525.0,1510.0,2014,12
1891,2015-01-01,835412.0,Uttar Pradesh,Chandauli,Maize,7.5,1510.0,1530.0,1520.0,2015,1
1918,2015-02-01,846784.0,Uttar Pradesh,Chandauli,Maize,7.5,1560.0,1600.0,1575.0,2015,2
1942,2015-03-01,857134.0,Uttar Pradesh,Chandauli,Maize,4.5,1600.0,1630.0,1620.0,2015,3
1968,2015-04-01,868195.0,Uttar Pradesh,Chandauli,Maize,4.0,1550.0,1580.0,1565.0,2015,4
1994,2015-05-01,881358.0,Uttar Pradesh,Chandauli,Maize,45.0,1440.0,1465.0,1450.0,2015,5
2021,2015-06-01,895475.0,Uttar Pradesh,Chandauli,Maize,330.0,1450.0,1470.0,1455.0,2015,6
2045,2015-07-01,908319.0,Uttar Pradesh,Chandauli,Maize,60.0,1450.0,1475.0,1460.0,2015,7
2072,2015-08-01,920588.0,Uttar Pradesh,Chandauli,Maize,8.0,1460.0,1490.0,1475.0,2015,8
2074,2015-09-01,942357.0,Uttar Pradesh,Chandauli,Maize,4.0,0.0,0.0,1510.0,2015,9
2076,2015-10-01,953851.0,Uttar Pradesh,Chandauli,Maize,5.0,1510.0,1570.0,1540.0,2015,10
2077,2015-11-01,964434.0,Uttar Pradesh,Chandauli,Maize,5.0,0.0,0.0,1610.0,2015,11
2079,2015-12-01,976154.0,Uttar Pradesh,Chandauli,Maize,7.0,1535.0,1590.0,1560.0,2015,12
2080,2016-01-01,986013.0,Uttar Pradesh,Chandauli,Maize,5.0,1550.0,1610.0,1580.0,2016,1
2081,2016-02-01,,Uttar Pradesh,Chandauli,Maize,36.1036036036036,649.5945945945946,665.9459459459459,1326.3963963963963,2016,2
2082,2016-03-01,1002286.0,Uttar Pradesh,Chandauli,Maize,6.0,1640.0,1680.0,1660.0,2016,3
2085,2016-04-01,1011134.0,Uttar Pradesh,Chandauli,Maize,18.0,0.0,0.0,1535.0,2016,4
2086,2016-05-01,1033773.0,Uttar Pradesh,Chandauli,Maize,55.0,1525.0,1585.0,1565.0,2016,5
2087,2016-06-01,1048162.0,Uttar Pradesh,Chandauli,Maize,15.0,0.0,0.0,1600.0,2016,6
2088,2016-07-01,,Uttar Pradesh,Chandauli,Maize,36.1036036036036,649.5945945945946,665.9459459459459,1326.3963963963963,2016,7
2089,2016-08-01,1069022.0,Uttar Pradesh,Chandauli,Maize,6.0,0.0,0.0,1680.0,2016,8
2090,2016-09-01,1080498.0,Uttar Pradesh,Chandauli,Maize,6.0,0.0,0.0,1675.0,2016,9
2091,2016-10-01,1081633.0,Uttar Pradesh,Chandauli,Maize,6.0,1650.0,1710.0,1680.0,2016,10
2118,2016-11-01,1091923.0,Uttar Pradesh,Chandauli,Maize,4.0,1645.0,1700.0,1670.0,2016,11
2143,2016-12-01,1100632.0,Uttar Pradesh,Chandauli,Maize,4.5,1800.0,1850.0,1820.0,2016,12
2170,2017-01-01,1111540.0,Uttar Pradesh,Chandauli,Maize,5.0,1800.0,1860.0,1840.0,2017,1
2195,2017-02-01,1122610.0,Uttar Pradesh,Chandauli,Maize,3.0,1790.0,1835.0,1810.0,2017,2
2219,2017-03-01,1132917.0,Uttar Pradesh,Chandauli,Maize,4.5,1800.0,1830.0,1810.0,2017,3
2244,2017-04-01,1145557.0,Uttar Pradesh,Chandauli,Maize,8.0,1630.0,1670.0,1650.0,2017,4
2256,2017-05-01,1159961.0,Uttar Pradesh,Chandauli,Maize,60.0,1620.0,1645.0,1630.0,2017,5
2279,2017-06-01,1174748.0,Uttar Pradesh,Chandauli,Maize,100.0,1615.0,1640.0,1625.0,2017,6
2298,2017-07-01,,Uttar Pradesh,Chandauli,Maize,36.1036036036036,649.5945945945946,665.9459459459459,1326.3963963963963,2017,7
