,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1114.0,Uttar Pradesh,Etawah,Maize,10.0,923.0,925.0,923.0,2008,1
10,2008-02-01,12763.0,Uttar Pradesh,Etawah,Maize,11.0,990.0,995.0,990.0,2008,2
21,2008-03-01,17010.0,Uttar Pradesh,Etawah,Maize,17.5,1045.0,1048.0,1045.0,2008,3
37,2008-04-01,26104.0,Uttar Pradesh,Etawah,Maize,17.5,1035.0,1040.0,1035.0,2008,4
43,2008-05-01,37063.0,Uttar Pradesh,Etawah,Maize,50.0,1005.0,1010.0,1005.0,2008,5
67,2008-06-01,48809.0,Uttar Pradesh,Etawah,Maize,140.0,1000.0,1020.0,1000.0,2008,6
86,2008-07-01,57372.0,Uttar Pradesh,Etawah,Maize,40.0,1000.0,1005.0,1000.0,2008,7
95,2008-08-01,69136.0,Uttar Pradesh,Etawah,Maize,8.5,990.0,1000.0,990.0,2008,8
105,2008-09-01,72191.0,Uttar Pradesh,Etawah,Maize,26.0,945.0,950.0,945.0,2008,9
123,2008-10-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2008,10
124,2008-11-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2008,11
125,2008-12-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2008,12
126,2009-01-01,100360.0,Uttar Pradesh,Etawah,Maize,20.0,985.0,1000.0,990.0,2009,1
127,2009-02-01,109935.0,Uttar Pradesh,Etawah,Maize,19.0,0.0,0.0,1090.0,2009,2
140,2009-03-01,116572.0,Uttar Pradesh,Etawah,Maize,24.0,0.0,0.0,1100.0,2009,3
149,2009-04-01,125471.0,Uttar Pradesh,Etawah,Maize,7.5,0.0,0.0,945.0,2009,4
162,2009-05-01,134644.0,Uttar Pradesh,Etawah,Maize,40.0,0.0,0.0,1080.0,2009,5
173,2009-06-01,143480.0,Uttar Pradesh,Etawah,Maize,45.0,0.0,0.0,1080.0,2009,6
179,2009-07-01,149919.0,Uttar Pradesh,Etawah,Maize,45.0,1075.0,1090.0,1080.0,2009,7
203,2009-08-01,157619.0,Uttar Pradesh,Etawah,Maize,20.0,985.0,1000.0,990.0,2009,8
223,2009-09-01,165396.0,Uttar Pradesh,Etawah,Maize,20.0,1035.0,1055.0,1045.0,2009,9
246,2009-10-01,174624.0,Uttar Pradesh,Etawah,Maize,45.0,1050.0,1065.0,1055.0,2009,10
269,2009-11-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2009,11
270,2009-12-01,193375.0,Uttar Pradesh,Etawah,Maize,25.0,1200.0,1215.0,1210.0,2009,12
294,2010-01-01,202894.0,Uttar Pradesh,Etawah,Maize,22.0,1230.0,1255.0,1240.0,2010,1
312,2010-02-01,211783.0,Uttar Pradesh,Etawah,Maize,24.5,1250.0,1295.0,1270.0,2010,2
332,2010-03-01,221716.0,Uttar Pradesh,Etawah,Maize,8.5,1145.0,1165.0,1155.0,2010,3
351,2010-04-01,230779.0,Uttar Pradesh,Etawah,Maize,24.0,1025.0,1065.0,1045.0,2010,4
400,2010-05-01,245017.0,Uttar Pradesh,Etawah,Maize,85.0,1085.0,1115.0,1100.0,2010,5
436,2010-06-01,256449.0,Uttar Pradesh,Etawah,Maize,37.0,1080.0,1120.0,1100.0,2010,6
460,2010-07-01,266678.0,Uttar Pradesh,Etawah,Maize,40.0,1070.0,1110.0,1090.0,2010,7
485,2010-08-01,276752.0,Uttar Pradesh,Etawah,Maize,18.0,1070.0,1100.0,1085.0,2010,8
509,2010-09-01,286226.0,Uttar Pradesh,Etawah,Maize,17.0,1080.0,1120.0,1100.0,2010,9
558,2010-10-01,295895.0,Uttar Pradesh,Etawah,Maize,14.5,1090.0,1130.0,1110.0,2010,10
605,2010-11-01,306014.0,Uttar Pradesh,Etawah,Maize,18.5,1100.0,1150.0,1125.0,2010,11
649,2010-12-01,314554.0,Uttar Pradesh,Etawah,Maize,22.0,1120.0,1160.0,1140.0,2010,12
699,2011-01-01,324107.0,Uttar Pradesh,Etawah,Maize,21.5,1135.0,1175.0,1155.0,2011,1
728,2011-02-01,333930.0,Uttar Pradesh,Etawah,Maize,12.0,1190.0,1225.0,1210.0,2011,2
758,2011-03-01,343272.0,Uttar Pradesh,Etawah,Maize,21.5,1200.0,1250.0,1225.0,2011,3
806,2011-04-01,353173.0,Uttar Pradesh,Etawah,Maize,24.0,1050.0,1090.0,1070.0,2011,4
866,2011-05-01,366144.0,Uttar Pradesh,Etawah,Maize,20.5,1060.0,1145.0,1122.0,2011,5
934,2011-06-01,378859.0,Uttar Pradesh,Etawah,Maize,34.8,1080.0,1125.0,1122.0,2011,6
1033,2011-07-01,389981.0,Uttar Pradesh,Etawah,Maize,26.3,1050.0,1130.0,1125.0,2011,7
1113,2011-08-01,401177.0,Uttar Pradesh,Etawah,Maize,28.5,1030.0,1070.0,1050.0,2011,8
1163,2011-09-01,410971.0,Uttar Pradesh,Etawah,Maize,37.5,1010.0,1040.0,1020.0,2011,9
1213,2011-10-01,421568.0,Uttar Pradesh,Etawah,Maize,52.5,990.0,1020.0,1000.0,2011,10
1263,2011-11-01,430218.0,Uttar Pradesh,Etawah,Maize,45.0,970.0,1000.0,980.0,2011,11
1314,2011-12-01,440818.0,Uttar Pradesh,Etawah,Maize,65.0,960.0,1000.0,980.0,2011,12
1366,2012-01-01,451429.0,Uttar Pradesh,Etawah,Maize,57.0,965.0,1005.0,985.0,2012,1
1391,2012-02-01,460332.0,Uttar Pradesh,Etawah,Maize,41.0,1040.0,1080.0,1060.0,2012,2
1414,2012-03-01,468516.0,Uttar Pradesh,Etawah,Maize,51.0,1050.0,1090.0,1070.0,2012,3
1437,2012-04-01,477805.0,Uttar Pradesh,Etawah,Maize,40.0,1100.0,1140.0,1120.0,2012,4
1462,2012-05-01,490097.0,Uttar Pradesh,Etawah,Maize,49.0,1080.0,1120.0,1100.0,2012,5
1490,2012-06-01,504201.0,Uttar Pradesh,Etawah,Maize,400.0,1025.0,1060.0,1045.0,2012,6
1515,2012-07-01,515587.0,Uttar Pradesh,Etawah,Maize,195.0,1020.0,1060.0,1040.0,2012,7
1536,2012-08-01,526931.0,Uttar Pradesh,Etawah,Maize,40.0,1270.0,1290.0,1280.0,2012,8
1615,2012-09-01,537387.0,Uttar Pradesh,Etawah,Maize,46.0,1440.0,1450.0,1445.0,2012,9
1684,2012-10-01,548526.0,Uttar Pradesh,Etawah,Maize,46.0,1320.0,1375.0,1350.0,2012,10
1756,2012-11-01,559384.0,Uttar Pradesh,Etawah,Maize,40.0,1380.0,1420.0,1400.0,2012,11
1827,2012-12-01,568890.0,Uttar Pradesh,Etawah,Maize,20.0,1400.0,1440.0,1420.0,2012,12
1901,2013-01-01,579042.0,Uttar Pradesh,Etawah,Maize,17.0,1400.0,1430.0,1415.0,2013,1
1972,2013-02-01,589007.0,Uttar Pradesh,Etawah,Maize,36.0,1450.0,1490.0,1475.0,2013,2
2034,2013-03-01,597592.0,Uttar Pradesh,Etawah,Maize,25.0,1450.0,1485.0,1470.0,2013,3
2101,2013-04-01,607026.0,Uttar Pradesh,Etawah,Maize,30.0,1340.0,1370.0,1350.0,2013,4
2174,2013-05-01,620458.0,Uttar Pradesh,Etawah,Maize,132.0,1340.0,1360.0,1351.0,2013,5
2251,2013-06-01,633790.0,Uttar Pradesh,Etawah,Maize,101.0,0.0,0.0,1390.0,2013,6
2306,2013-07-01,645126.0,Uttar Pradesh,Etawah,Maize,105.0,1385.0,1420.0,1390.0,2013,7
2359,2013-08-01,656306.0,Uttar Pradesh,Etawah,Maize,125.0,1380.0,1405.0,1390.0,2013,8
2411,2013-09-01,665712.0,Uttar Pradesh,Etawah,Maize,117.0,1390.0,1410.0,1400.0,2013,9
2460,2013-10-01,676003.0,Uttar Pradesh,Etawah,Maize,123.0,1415.0,1435.0,1425.0,2013,10
2511,2013-11-01,685999.0,Uttar Pradesh,Etawah,Maize,95.0,1475.0,1500.0,1485.0,2013,11
2561,2013-12-01,694678.0,Uttar Pradesh,Etawah,Maize,135.0,1550.0,1570.0,1560.0,2013,12
2613,2014-01-01,703088.0,Uttar Pradesh,Etawah,Maize,120.0,1565.0,1580.0,1575.0,2014,1
2667,2014-02-01,713018.0,Uttar Pradesh,Etawah,Maize,190.0,1665.0,1680.0,1675.0,2014,2
2715,2014-03-01,721696.0,Uttar Pradesh,Etawah,Maize,50.0,1600.0,1625.0,1615.0,2014,3
2790,2014-04-01,731747.0,Uttar Pradesh,Etawah,Maize,50.0,0.0,0.0,1520.0,2014,4
2866,2014-05-01,744348.0,Uttar Pradesh,Etawah,Maize,120.0,0.0,0.0,1410.0,2014,5
2945,2014-06-01,758326.0,Uttar Pradesh,Etawah,Maize,220.0,0.0,0.0,1400.0,2014,6
3016,2014-07-01,769494.0,Uttar Pradesh,Etawah,Maize,78.0,0.0,0.0,1405.0,2014,7
3096,2014-08-01,781013.0,Uttar Pradesh,Etawah,Maize,100.0,0.0,0.0,1410.0,2014,8
3163,2014-09-01,791486.0,Uttar Pradesh,Etawah,Maize,50.0,1390.0,1410.0,1400.0,2014,9
3232,2014-10-01,802980.0,Uttar Pradesh,Etawah,Maize,35.0,1410.0,1430.0,1415.0,2014,10
3299,2014-11-01,812620.0,Uttar Pradesh,Etawah,Maize,54.0,1400.0,1425.0,1415.0,2014,11
3369,2014-12-01,823583.0,Uttar Pradesh,Etawah,Maize,50.0,1400.0,1430.0,1415.0,2014,12
3449,2015-01-01,835416.0,Uttar Pradesh,Etawah,Maize,30.0,1540.0,1560.0,1550.0,2015,1
3526,2015-02-01,847181.0,Uttar Pradesh,Etawah,Maize,30.0,1550.0,1575.0,1565.0,2015,2
3595,2015-03-01,857504.0,Uttar Pradesh,Etawah,Maize,50.0,1440.0,1460.0,1450.0,2015,3
3665,2015-04-01,868198.0,Uttar Pradesh,Etawah,Maize,34.0,0.0,0.0,1420.0,2015,4
3724,2015-05-01,881363.0,Uttar Pradesh,Etawah,Maize,147.5,0.0,0.0,1455.0,2015,5
3786,2015-06-01,895479.0,Uttar Pradesh,Etawah,Maize,160.0,0.0,0.0,1455.0,2015,6
3846,2015-07-01,908322.0,Uttar Pradesh,Etawah,Maize,90.0,0.0,0.0,1430.0,2015,7
3906,2015-08-01,920591.0,Uttar Pradesh,Etawah,Maize,130.0,0.0,0.0,1370.0,2015,8
3951,2015-09-01,932034.0,Uttar Pradesh,Etawah,Maize,60.0,0.0,0.0,1380.0,2015,9
4007,2015-10-01,943817.0,Uttar Pradesh,Etawah,Maize,110.0,0.0,0.0,1500.0,2015,10
4058,2015-11-01,955661.0,Uttar Pradesh,Etawah,Maize,80.0,0.0,0.0,1475.0,2015,11
4105,2015-12-01,965510.0,Uttar Pradesh,Etawah,Maize,60.0,0.0,0.0,1485.0,2015,12
4158,2016-01-01,976991.0,Uttar Pradesh,Etawah,Maize,40.0,0.0,0.0,1560.0,2016,1
4202,2016-02-01,986823.0,Uttar Pradesh,Etawah,Maize,40.0,0.0,0.0,1630.0,2016,2
4248,2016-03-01,997457.0,Uttar Pradesh,Etawah,Maize,40.0,0.0,0.0,1610.0,2016,3
4291,2016-04-01,1007171.0,Uttar Pradesh,Etawah,Maize,215.0,0.0,0.0,1430.0,2016,4
4308,2016-05-01,1021171.0,Uttar Pradesh,Etawah,Maize,200.0,0.0,0.0,1530.0,2016,5
4329,2016-06-01,1035562.0,Uttar Pradesh,Etawah,Maize,200.0,0.0,0.0,1575.0,2016,6
4355,2016-07-01,1049573.0,Uttar Pradesh,Etawah,Maize,160.0,0.0,0.0,1580.0,2016,7
4385,2016-08-01,1060243.0,Uttar Pradesh,Etawah,Maize,100.0,0.0,0.0,1610.0,2016,8
4414,2016-09-01,1070841.0,Uttar Pradesh,Etawah,Maize,70.0,0.0,0.0,1620.0,2016,9
4444,2016-10-01,1081635.0,Uttar Pradesh,Etawah,Maize,70.0,0.0,0.0,1630.0,2016,10
4471,2016-11-01,1091583.0,Uttar Pradesh,Etawah,Maize,90.0,0.0,0.0,1750.0,2016,11
4497,2016-12-01,1100637.0,Uttar Pradesh,Etawah,Maize,95.0,0.0,0.0,1870.0,2016,12
4528,2017-01-01,1111948.0,Uttar Pradesh,Etawah,Maize,40.0,0.0,0.0,1690.0,2017,1
4580,2017-02-01,1122616.0,Uttar Pradesh,Etawah,Maize,40.0,0.0,0.0,1790.0,2017,2
4632,2017-03-01,1132924.0,Uttar Pradesh,Etawah,Maize,40.0,0.0,0.0,1680.0,2017,3
4688,2017-04-01,1145565.0,Uttar Pradesh,Etawah,Maize,50.0,0.0,0.0,1600.0,2017,4
4714,2017-05-01,1159965.0,Uttar Pradesh,Etawah,Maize,90.0,0.0,0.0,1630.0,2017,5
4766,2017-06-01,1174754.0,Uttar Pradesh,Etawah,Maize,120.0,1580.0,1660.0,1630.0,2017,6
4806,2017-07-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2017,7
4807,2017-08-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2017,8
4808,2017-09-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2017,9
4809,2017-10-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2017,10
4810,2017-11-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2017,11
4811,2017-12-01,,Uttar Pradesh,Etawah,Maize,65.59636363636363,795.8,815.5727272727273,1302.1636363636364,2017,12
