,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,531.0,Uttar Pradesh,Hardoi,Maize,45.0,0.0,0.0,910.0,2008,1
23,2008-02-01,8575.0,Uttar Pradesh,Hardoi,Maize,300.0,0.0,0.0,965.0,2008,2
41,2008-03-01,17019.0,Uttar Pradesh,Hardoi,Maize,420.0,0.0,0.0,975.0,2008,3
44,2008-04-01,25104.0,Uttar Pradesh,Hardoi,Maize,330.0,0.0,0.0,985.0,2008,4
59,2008-05-01,42134.0,Uttar Pradesh,Hardoi,Maize,1380.0,0.0,0.0,1010.0,2008,5
65,2008-06-01,48821.0,Uttar Pradesh,Hardoi,Maize,560.0,0.0,0.0,1000.0,2008,6
94,2008-07-01,57382.0,Uttar Pradesh,Hardoi,Maize,540.0,0.0,0.0,5400.0,2008,7
129,2008-08-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2008,8
130,2008-09-01,72200.0,Uttar Pradesh,Hardoi,Maize,200.0,0.0,0.0,250.0,2008,9
143,2008-10-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2008,10
144,2008-11-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2008,11
145,2008-12-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2008,12
146,2009-01-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2009,1
147,2009-02-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2009,2
148,2009-03-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2009,3
149,2009-04-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2009,4
150,2009-05-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2009,5
151,2009-06-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2009,6
152,2009-07-01,,Uttar Pradesh,Hardoi,Maize,917.8281553398059,883.3106796116505,915.9417475728155,1356.0582524271845,2009,7
153,2009-08-01,157627.0,Uttar Pradesh,Hardoi,Maize,250.0,0.0,0.0,980.0,2009,8
177,2009-09-01,165403.0,Uttar Pradesh,Hardoi,Maize,326.0,0.0,0.0,1028.0,2009,9
199,2009-10-01,174454.0,Uttar Pradesh,Hardoi,Maize,700.0,0.0,0.0,1070.0,2009,10
217,2009-11-01,183634.0,Uttar Pradesh,Hardoi,Maize,85.0,0.0,0.0,1240.0,2009,11
241,2009-12-01,193382.0,Uttar Pradesh,Hardoi,Maize,130.0,0.0,0.0,1200.0,2009,12
263,2010-01-01,202902.0,Uttar Pradesh,Hardoi,Maize,138.0,0.0,0.0,1255.0,2010,1
288,2010-02-01,211794.0,Uttar Pradesh,Hardoi,Maize,122.0,0.0,0.0,1276.0,2010,2
328,2010-03-01,221321.0,Uttar Pradesh,Hardoi,Maize,28.5,0.0,0.0,1225.0,2010,3
371,2010-04-01,230788.0,Uttar Pradesh,Hardoi,Maize,218.8,0.0,0.0,1080.0,2010,4
