,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,1
1,2008-02-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,2
2,2008-03-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,3
3,2008-04-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,4
4,2008-05-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,5
5,2008-06-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,6
6,2008-07-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,7
7,2008-08-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,8
8,2008-09-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,9
9,2008-10-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,10
10,2008-11-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2008,11
11,2008-12-01,98927.0,Uttar Pradesh,Kannuj,Maize,8.0,975.0,990.0,985.0,2008,12
14,2009-01-01,100062.0,Uttar Pradesh,Kannuj,Maize,11.5,960.0,995.0,985.0,2009,1
37,2009-02-01,107742.0,Uttar Pradesh,Kannuj,Maize,13.0,1050.0,1080.0,1065.0,2009,2
54,2009-03-01,115250.0,Uttar Pradesh,Kannuj,Maize,14.0,1045.0,1070.0,1060.0,2009,3
55,2009-04-01,123159.0,Uttar Pradesh,Kannuj,Maize,16.0,0.0,0.0,1050.0,2009,4
69,2009-05-01,134240.0,Uttar Pradesh,Kannuj,Maize,35.0,0.0,0.0,1085.0,2009,5
86,2009-06-01,143211.0,Uttar Pradesh,Kannuj,Maize,70.0,0.0,0.0,1080.0,2009,6
104,2009-07-01,150457.0,Uttar Pradesh,Kannuj,Maize,22.0,0.0,0.0,950.0,2009,7
118,2009-08-01,157635.0,Uttar Pradesh,Kannuj,Maize,9.0,0.0,0.0,995.0,2009,8
138,2009-09-01,165745.0,Uttar Pradesh,Kannuj,Maize,9.0,0.0,0.0,1015.0,2009,9
156,2009-10-01,174461.0,Uttar Pradesh,Kannuj,Maize,11.0,0.0,0.0,1055.0,2009,10
179,2009-11-01,183641.0,Uttar Pradesh,Kannuj,Maize,7.0,0.0,0.0,1220.0,2009,11
200,2009-12-01,193751.0,Uttar Pradesh,Kannuj,Maize,9.0,0.0,0.0,1215.0,2009,12
205,2010-01-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2010,1
206,2010-02-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2010,2
207,2010-03-01,230228.0,Uttar Pradesh,Kannuj,Maize,10.0,0.0,0.0,1100.0,2010,3
208,2010-04-01,234150.0,Uttar Pradesh,Kannuj,Maize,12.0,0.0,0.0,1110.0,2010,4
209,2010-05-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2010,5
210,2010-06-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2010,6
211,2010-07-01,,Uttar Pradesh,Kannuj,Maize,34.02755102040816,345.4591836734694,370.05102040816325,1337.8265306122448,2010,7
212,2010-08-01,278287.0,Uttar Pradesh,Kannuj,Maize,7.5,0.0,0.0,1100.0,2010,8
222,2010-09-01,286250.0,Uttar Pradesh,Kannuj,Maize,45.0,1100.0,1140.0,1110.0,2010,9
244,2010-10-01,295920.0,Uttar Pradesh,Kannuj,Maize,50.0,1120.0,1140.0,1130.0,2010,10
267,2010-11-01,306033.0,Uttar Pradesh,Kannuj,Maize,40.0,1120.0,1140.0,1130.0,2010,11
301,2010-12-01,314581.0,Uttar Pradesh,Kannuj,Maize,40.0,1105.0,1125.0,1115.0,2010,12
