,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,534.0,Uttar Pradesh,Kanpur,Maize,220.0,965.0,1020.0,990.0,2008,1
13,2008-02-01,9399.0,Uttar Pradesh,Kanpur,Maize,140.0,1010.0,1040.0,1025.0,2008,2
25,2008-03-01,18935.0,Uttar Pradesh,Kanpur,Maize,150.0,1020.0,1065.0,1040.0,2008,3
27,2008-04-01,25109.0,Uttar Pradesh,Kanpur,Maize,185.0,1030.0,1075.0,1050.0,2008,4
39,2008-05-01,,Uttar Pradesh,Kanpur,Maize,372.55178571428576,586.8303571428571,605.1785714285714,1335.8035714285713,2008,5
40,2008-06-01,,Uttar Pradesh,Kanpur,Maize,372.55178571428576,586.8303571428571,605.1785714285714,1335.8035714285713,2008,6
41,2008-07-01,57390.0,Uttar Pradesh,Kanpur,Maize,290.0,1000.0,1025.0,1015.0,2008,7
52,2008-08-01,65878.0,Uttar Pradesh,Kanpur,Maize,270.0,1000.0,1025.0,1015.0,2008,8
62,2008-09-01,74938.0,Uttar Pradesh,Kanpur,Maize,310.0,965.0,1000.0,985.0,2008,9
64,2008-10-01,80003.0,Uttar Pradesh,Kanpur,Maize,325.0,985.0,1050.0,1000.0,2008,10
76,2008-11-01,85446.0,Uttar Pradesh,Kanpur,Maize,270.0,995.0,1025.0,1010.0,2008,11
83,2008-12-01,97424.0,Uttar Pradesh,Kanpur,Maize,335.0,955.0,990.0,970.0,2008,12
89,2009-01-01,100063.0,Uttar Pradesh,Kanpur,Maize,310.0,980.0,1020.0,1000.0,2009,1
103,2009-02-01,109018.0,Uttar Pradesh,Kanpur,Maize,240.0,1030.0,1055.0,1040.0,2009,2
112,2009-03-01,115911.0,Uttar Pradesh,Kanpur,Maize,230.0,1060.0,1080.0,1070.0,2009,3
126,2009-04-01,122801.0,Uttar Pradesh,Kanpur,Maize,250.0,1040.0,1080.0,1065.0,2009,4
138,2009-05-01,134241.0,Uttar Pradesh,Kanpur,Maize,280.0,1025.0,1065.0,1045.0,2009,5
