,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,5400.0,Uttar Pradesh,Lalitpur,Maize,85.0,935.0,945.0,940.0,2008,1
18,2008-02-01,8586.0,Uttar Pradesh,Lalitpur,Maize,400.0,930.0,945.0,935.0,2008,2
56,2008-03-01,17030.0,Uttar Pradesh,Lalitpur,Maize,425.0,985.0,1000.0,990.0,2008,3
88,2008-04-01,25787.0,Uttar Pradesh,Lalitpur,Maize,50.0,990.0,1015.0,1000.0,2008,4
126,2008-05-01,37084.0,Uttar Pradesh,Lalitpur,Maize,386.0,990.0,995.0,992.0,2008,5
164,2008-06-01,49126.0,Uttar Pradesh,Lalitpur,Maize,252.5,1011.0,1015.0,1013.0,2008,6
185,2008-07-01,57392.0,Uttar Pradesh,Lalitpur,Maize,77.5,1020.0,1030.0,1025.0,2008,7
223,2008-08-01,66141.0,Uttar Pradesh,Lalitpur,Maize,52.5,950.0,972.0,960.0,2008,8
253,2008-09-01,72209.0,Uttar Pradesh,Lalitpur,Maize,65.0,930.0,945.0,940.0,2008,9
279,2008-10-01,79066.0,Uttar Pradesh,Lalitpur,Maize,105.0,900.0,940.0,915.0,2008,10
304,2008-11-01,85448.0,Uttar Pradesh,Lalitpur,Maize,55.0,915.0,925.0,922.0,2008,11
318,2008-12-01,92581.0,Uttar Pradesh,Lalitpur,Maize,55.0,0.0,0.0,940.0,2008,12
331,2009-01-01,100065.0,Uttar Pradesh,Lalitpur,Maize,32.0,1000.0,1040.0,1016.0,2009,1
338,2009-02-01,107743.0,Uttar Pradesh,Lalitpur,Maize,35.0,1020.0,1060.0,1040.0,2009,2
360,2009-03-01,115564.0,Uttar Pradesh,Lalitpur,Maize,30.0,1020.0,1100.0,1065.0,2009,3
366,2009-04-01,123773.0,Uttar Pradesh,Lalitpur,Maize,37.5,0.0,0.0,965.0,2009,4
378,2009-05-01,134662.0,Uttar Pradesh,Lalitpur,Maize,460.0,0.0,0.0,970.0,2009,5
400,2009-06-01,142668.0,Uttar Pradesh,Lalitpur,Maize,600.0,950.0,1020.0,975.0,2009,6
423,2009-07-01,150208.0,Uttar Pradesh,Lalitpur,Maize,280.0,0.0,0.0,970.0,2009,7
444,2009-08-01,157639.0,Uttar Pradesh,Lalitpur,Maize,35.0,0.0,0.0,950.0,2009,8
465,2009-09-01,165410.0,Uttar Pradesh,Lalitpur,Maize,19.0,0.0,0.0,1020.0,2009,9
