,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,246.0,Uttar Pradesh,Lucknow,Maize,39.0,0.0,0.0,975.0,2008,1
24,2008-02-01,8588.0,Uttar Pradesh,Lucknow,Maize,38.5,0.0,0.0,1000.0,2008,2
47,2008-03-01,17032.0,Uttar Pradesh,Lucknow,Maize,33.0,0.0,0.0,1050.0,2008,3
72,2008-04-01,25110.0,Uttar Pradesh,Lucknow,Maize,51.5,0.0,0.0,1000.0,2008,4
98,2008-05-01,37086.0,Uttar Pradesh,Lucknow,Maize,59.0,0.0,0.0,1000.0,2008,5
126,2008-06-01,48826.0,Uttar Pradesh,Lucknow,Maize,185.0,0.0,0.0,1040.0,2008,6
152,2008-07-01,57394.0,Uttar Pradesh,Lucknow,Maize,121.0,0.0,0.0,1050.0,2008,7
178,2008-08-01,65880.0,Uttar Pradesh,Lucknow,Maize,65.0,0.0,0.0,1035.0,2008,8
190,2008-09-01,72647.0,Uttar Pradesh,Lucknow,Maize,52.5,0.0,0.0,1015.0,2008,9
202,2008-10-01,79068.0,Uttar Pradesh,Lucknow,Maize,59.5,0.0,0.0,975.0,2008,10
228,2008-11-01,85449.0,Uttar Pradesh,Lucknow,Maize,65.5,0.0,0.0,975.0,2008,11
253,2008-12-01,92582.0,Uttar Pradesh,Lucknow,Maize,56.5,0.0,0.0,970.0,2008,12
280,2009-01-01,100066.0,Uttar Pradesh,Lucknow,Maize,48.5,0.0,0.0,1010.0,2009,1
305,2009-02-01,107744.0,Uttar Pradesh,Lucknow,Maize,410.0,0.0,0.0,1030.0,2009,2
329,2009-03-01,115251.0,Uttar Pradesh,Lucknow,Maize,38.0,0.0,0.0,1030.0,2009,3
351,2009-04-01,122803.0,Uttar Pradesh,Lucknow,Maize,45.5,0.0,0.0,1040.0,2009,4
376,2009-05-01,134242.0,Uttar Pradesh,Lucknow,Maize,81.5,0.0,0.0,1080.0,2009,5
396,2009-06-01,142669.0,Uttar Pradesh,Lucknow,Maize,185.0,0.0,0.0,1080.0,2009,6
423,2009-07-01,149935.0,Uttar Pradesh,Lucknow,Maize,153.0,0.0,0.0,1080.0,2009,7
450,2009-08-01,157640.0,Uttar Pradesh,Lucknow,Maize,62.5,0.0,0.0,985.0,2009,8
465,2009-09-01,,Uttar Pradesh,Lucknow,Maize,125.15765765765765,839.5045045045046,876.1711711711712,1328.2702702702702,2009,9
466,2009-10-01,174465.0,Uttar Pradesh,Lucknow,Maize,33.0,0.0,0.0,1025.0,2009,10
