,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2008,1
1,2008-02-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2008,2
2,2008-03-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2008,3
3,2008-04-01,26130.0,Uttar Pradesh,Mahoba,Maize,6.0,0.0,0.0,1050.0,2008,4
21,2008-05-01,37090.0,Uttar Pradesh,Mahoba,Maize,5.0,0.0,0.0,1045.0,2008,5
44,2008-06-01,48830.0,Uttar Pradesh,Mahoba,Maize,20.0,0.0,0.0,1060.0,2008,6
66,2008-07-01,57765.0,Uttar Pradesh,Mahoba,Maize,8.0,0.0,0.0,1085.0,2008,7
90,2008-08-01,65882.0,Uttar Pradesh,Mahoba,Maize,0.13,0.0,0.0,1040.0,2008,8
109,2008-09-01,72212.0,Uttar Pradesh,Mahoba,Maize,0.1,0.0,0.0,975.0,2008,9
134,2008-10-01,79070.0,Uttar Pradesh,Mahoba,Maize,0.04,0.0,0.0,945.0,2008,10
157,2008-11-01,85451.0,Uttar Pradesh,Mahoba,Maize,0.09,0.0,0.0,975.0,2008,11
183,2008-12-01,92584.0,Uttar Pradesh,Mahoba,Maize,0.1,0.0,0.0,985.0,2008,12
207,2009-01-01,100068.0,Uttar Pradesh,Mahoba,Maize,0.04,0.0,0.0,1125.0,2009,1
234,2009-02-01,107472.0,Uttar Pradesh,Mahoba,Maize,0.1,0.0,0.0,1090.0,2009,2
258,2009-03-01,114919.0,Uttar Pradesh,Mahoba,Maize,0.15,0.0,0.0,1025.0,2009,3
281,2009-04-01,122805.0,Uttar Pradesh,Mahoba,Maize,0.6,0.0,0.0,950.0,2009,4
305,2009-05-01,134244.0,Uttar Pradesh,Mahoba,Maize,0.8,0.0,0.0,975.0,2009,5
318,2009-06-01,142670.0,Uttar Pradesh,Mahoba,Maize,25.0,0.0,0.0,1000.0,2009,6
324,2009-07-01,150810.0,Uttar Pradesh,Mahoba,Maize,10.0,0.0,0.0,960.0,2009,7
347,2009-08-01,157642.0,Uttar Pradesh,Mahoba,Maize,15.0,0.0,930.0,0.0,2009,8
371,2009-09-01,165750.0,Uttar Pradesh,Mahoba,Maize,5.0,0.0,0.0,1030.0,2009,9
396,2009-10-01,174467.0,Uttar Pradesh,Mahoba,Maize,5.0,0.0,0.0,1075.0,2009,10
420,2009-11-01,183439.0,Uttar Pradesh,Mahoba,Maize,13.5,0.0,0.0,1150.0,2009,11
445,2009-12-01,193754.0,Uttar Pradesh,Mahoba,Maize,5.0,0.0,0.0,1200.0,2009,12
470,2010-01-01,202910.0,Uttar Pradesh,Mahoba,Maize,25.0,0.0,0.0,1210.0,2010,1
495,2010-02-01,211811.0,Uttar Pradesh,Mahoba,Maize,10.0,0.0,0.0,1290.0,2010,2
518,2010-03-01,221339.0,Uttar Pradesh,Mahoba,Maize,7.5,0.0,0.0,1200.0,2010,3
544,2010-04-01,230808.0,Uttar Pradesh,Mahoba,Maize,12.0,0.0,0.0,1100.0,2010,4
578,2010-05-01,245054.0,Uttar Pradesh,Mahoba,Maize,15.0,0.0,0.0,1050.0,2010,5
632,2010-06-01,256899.0,Uttar Pradesh,Mahoba,Maize,10.0,0.0,0.0,1100.0,2010,6
670,2010-07-01,266708.0,Uttar Pradesh,Mahoba,Maize,20.0,0.0,0.0,1100.0,2010,7
698,2010-08-01,276441.0,Uttar Pradesh,Mahoba,Maize,7.0,0.0,0.0,1125.0,2010,8
722,2010-09-01,286257.0,Uttar Pradesh,Mahoba,Maize,4.0,0.0,0.0,1120.0,2010,9
755,2010-10-01,295931.0,Uttar Pradesh,Mahoba,Maize,2.0,0.0,0.0,1130.0,2010,10
780,2010-11-01,306042.0,Uttar Pradesh,Mahoba,Maize,12.5,0.0,0.0,1175.0,2010,11
803,2010-12-01,314590.0,Uttar Pradesh,Mahoba,Maize,10.0,0.0,0.0,1150.0,2010,12
829,2011-01-01,324149.0,Uttar Pradesh,Mahoba,Maize,3.0,0.0,0.0,1160.0,2011,1
856,2011-02-01,334328.0,Uttar Pradesh,Mahoba,Maize,7.0,0.0,0.0,1215.0,2011,2
880,2011-03-01,343481.0,Uttar Pradesh,Mahoba,Maize,2.0,0.0,0.0,1190.0,2011,3
908,2011-04-01,353215.0,Uttar Pradesh,Mahoba,Maize,15.0,0.0,0.0,1070.0,2011,4
947,2011-05-01,365650.0,Uttar Pradesh,Mahoba,Maize,80.0,0.0,0.0,1060.0,2011,5
987,2011-06-01,378908.0,Uttar Pradesh,Mahoba,Maize,5.0,0.0,0.0,1100.0,2011,6
1021,2011-07-01,390034.0,Uttar Pradesh,Mahoba,Maize,4.0,0.0,0.0,1100.0,2011,7
1052,2011-08-01,401219.0,Uttar Pradesh,Mahoba,Maize,15.0,0.0,0.0,1040.0,2011,8
1080,2011-09-01,411014.0,Uttar Pradesh,Mahoba,Maize,20.0,0.0,0.0,1060.0,2011,9
1111,2011-10-01,421618.0,Uttar Pradesh,Mahoba,Maize,9.0,0.0,0.0,920.0,2011,10
1138,2011-11-01,430647.0,Uttar Pradesh,Mahoba,Maize,18.0,0.0,0.0,975.0,2011,11
1163,2011-12-01,440852.0,Uttar Pradesh,Mahoba,Maize,20.0,0.0,0.0,960.0,2011,12
1190,2012-01-01,451135.0,Uttar Pradesh,Mahoba,Maize,20.0,0.0,0.0,985.0,2012,1
1216,2012-02-01,460352.0,Uttar Pradesh,Mahoba,Maize,15.0,1020.0,1050.0,1030.0,2012,2
1238,2012-03-01,468535.0,Uttar Pradesh,Mahoba,Maize,200.0,1147.0,1154.0,1150.0,2012,3
1264,2012-04-01,477824.0,Uttar Pradesh,Mahoba,Maize,460.0,1095.0,1104.0,1100.0,2012,4
1288,2012-05-01,492333.0,Uttar Pradesh,Mahoba,Maize,11.5,0.0,0.0,1060.0,2012,5
1299,2012-06-01,504231.0,Uttar Pradesh,Mahoba,Maize,5.0,0.0,0.0,1070.0,2012,6
1320,2012-07-01,515615.0,Uttar Pradesh,Mahoba,Maize,8.0,0.0,0.0,1100.0,2012,7
1330,2012-08-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2012,8
1331,2012-09-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2012,9
1332,2012-10-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2012,10
1333,2012-11-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2012,11
1334,2012-12-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2012,12
1335,2013-01-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2013,1
1336,2013-02-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2013,2
1337,2013-03-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2013,3
1338,2013-04-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2013,4
1339,2013-05-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2013,5
1340,2013-06-01,637947.0,Uttar Pradesh,Mahoba,Maize,7.5,0.0,0.0,1380.0,2013,6
1357,2013-07-01,645153.0,Uttar Pradesh,Mahoba,Maize,9.0,0.0,0.0,1380.0,2013,7
1382,2013-08-01,656334.0,Uttar Pradesh,Mahoba,Maize,8.0,0.0,0.0,1350.0,2013,8
1408,2013-09-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2013,9
1409,2013-10-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2013,10
1410,2013-11-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2013,11
1411,2013-12-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2013,12
1412,2014-01-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,1
1413,2014-02-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,2
1414,2014-03-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,3
1415,2014-04-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,4
1416,2014-05-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,5
1417,2014-06-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,6
1418,2014-07-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,7
1419,2014-08-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,8
1420,2014-09-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,9
1421,2014-10-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,10
1422,2014-11-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,11
1423,2014-12-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2014,12
1424,2015-01-01,838657.0,Uttar Pradesh,Mahoba,Maize,5.0,1400.0,1500.0,1450.0,2015,1
1438,2015-02-01,848862.0,Uttar Pradesh,Mahoba,Maize,4.5,1400.0,1500.0,1450.0,2015,2
1444,2015-03-01,860388.0,Uttar Pradesh,Mahoba,Maize,5.5,1300.0,1450.0,1400.0,2015,3
1458,2015-04-01,871741.0,Uttar Pradesh,Mahoba,Maize,6.5,1450.0,1460.0,1460.0,2015,4
1466,2015-05-01,887761.0,Uttar Pradesh,Mahoba,Maize,5.5,1440.0,1450.0,1450.0,2015,5
1471,2015-06-01,896420.0,Uttar Pradesh,Mahoba,Maize,4.5,1440.0,1450.0,1450.0,2015,6
1480,2015-07-01,913213.0,Uttar Pradesh,Mahoba,Maize,5.5,0.0,0.0,1380.0,2015,7
1486,2015-08-01,925002.0,Uttar Pradesh,Mahoba,Maize,4.0,0.0,0.0,1280.0,2015,8
1493,2015-09-01,937101.0,Uttar Pradesh,Mahoba,Maize,5.5,0.0,0.0,1260.0,2015,9
1497,2015-10-01,947973.0,Uttar Pradesh,Mahoba,Maize,4.0,0.0,0.0,1300.0,2015,10
1502,2015-11-01,960411.0,Uttar Pradesh,Mahoba,Maize,4.0,0.0,0.0,1450.0,2015,11
1513,2015-12-01,968791.0,Uttar Pradesh,Mahoba,Maize,4.5,0.0,0.0,1600.0,2015,12
1516,2016-01-01,978741.0,Uttar Pradesh,Mahoba,Maize,4.5,0.0,0.0,1550.0,2016,1
1534,2016-02-01,986851.0,Uttar Pradesh,Mahoba,Maize,4.5,0.0,0.0,1650.0,2016,2
1551,2016-03-01,997909.0,Uttar Pradesh,Mahoba,Maize,4.5,0.0,0.0,1750.0,2016,3
1567,2016-04-01,1007199.0,Uttar Pradesh,Mahoba,Maize,2.0,0.0,0.0,1650.0,2016,4
1572,2016-05-01,1023357.0,Uttar Pradesh,Mahoba,Maize,4.0,0.0,0.0,1540.0,2016,5
1573,2016-06-01,1047165.0,Uttar Pradesh,Mahoba,Maize,4.0,1500.0,1550.0,1530.0,2016,6
1574,2016-07-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2016,7
1575,2016-08-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2016,8
1576,2016-09-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2016,9
1577,2016-10-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2016,10
1578,2016-11-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2016,11
1579,2016-12-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2016,12
1580,2017-01-01,1121812.0,Uttar Pradesh,Mahoba,Maize,1.5,1550.0,1625.0,1600.0,2017,1
1581,2017-02-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,2
1582,2017-03-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,3
1583,2017-04-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,4
1584,2017-05-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,5
1585,2017-06-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,6
1586,2017-07-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,7
1587,2017-08-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,8
1588,2017-09-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,9
1589,2017-10-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,10
1590,2017-11-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,11
1591,2017-12-01,,Uttar Pradesh,Mahoba,Maize,17.306081081081082,199.21621621621622,219.22972972972974,1177.6351351351352,2017,12
