,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,250.0,Uttar Pradesh,Mathura,Maize,50.0,990.0,1030.0,1020.0,2008,1
49,2008-02-01,8593.0,Uttar Pradesh,Mathura,Maize,137.0,990.0,1030.0,1010.0,2008,2
97,2008-03-01,17037.0,Uttar Pradesh,Mathura,Maize,110.0,1060.0,1080.0,1070.0,2008,3
145,2008-04-01,25115.0,Uttar Pradesh,Mathura,Maize,120.0,1000.0,1040.0,1010.0,2008,4
197,2008-05-01,37092.0,Uttar Pradesh,Mathura,Maize,2250.0,1000.0,1025.0,1020.0,2008,5
245,2008-06-01,48832.0,Uttar Pradesh,Mathura,Maize,280.0,1000.0,1040.0,1025.0,2008,6
295,2008-07-01,57399.0,Uttar Pradesh,Mathura,Maize,180.0,1000.0,1060.0,1055.0,2008,7
340,2008-08-01,65884.0,Uttar Pradesh,Mathura,Maize,170.0,1010.0,1040.0,1030.0,2008,8
385,2008-09-01,72213.0,Uttar Pradesh,Mathura,Maize,180.0,990.0,1030.0,1010.0,2008,9
436,2008-10-01,79072.0,Uttar Pradesh,Mathura,Maize,150.0,1000.0,1040.0,1015.0,2008,10
480,2008-11-01,85453.0,Uttar Pradesh,Mathura,Maize,340.0,990.0,1010.0,1005.0,2008,11
511,2008-12-01,92585.0,Uttar Pradesh,Mathura,Maize,40.0,1020.0,1080.0,1065.0,2008,12
562,2009-01-01,100069.0,Uttar Pradesh,Mathura,Maize,90.0,1000.0,1050.0,1030.0,2009,1
603,2009-02-01,107748.0,Uttar Pradesh,Mathura,Maize,85.0,1100.0,1140.0,1125.0,2009,2
651,2009-03-01,115254.0,Uttar Pradesh,Mathura,Maize,130.0,1120.0,1140.0,1130.0,2009,3
697,2009-04-01,122807.0,Uttar Pradesh,Mathura,Maize,250.0,1030.0,1060.0,1050.0,2009,4
748,2009-05-01,134245.0,Uttar Pradesh,Mathura,Maize,1580.0,1078.0,1110.0,1080.0,2009,5
793,2009-06-01,142671.0,Uttar Pradesh,Mathura,Maize,800.0,1070.0,1085.0,1080.0,2009,6
845,2009-07-01,149937.0,Uttar Pradesh,Mathura,Maize,180.0,1025.0,1040.0,1035.0,2009,7
899,2009-08-01,157643.0,Uttar Pradesh,Mathura,Maize,70.0,1025.0,1040.0,1035.0,2009,8
951,2009-09-01,165411.0,Uttar Pradesh,Mathura,Maize,50.0,1080.0,1100.0,1090.0,2009,9
1001,2009-10-01,174637.0,Uttar Pradesh,Mathura,Maize,70.0,1090.0,1110.0,1105.0,2009,10
1052,2009-11-01,183643.0,Uttar Pradesh,Mathura,Maize,85.0,1220.0,1240.0,1230.0,2009,11
1100,2009-12-01,193389.0,Uttar Pradesh,Mathura,Maize,80.0,1280.0,1300.0,1290.0,2009,12
1137,2010-01-01,202911.0,Uttar Pradesh,Mathura,Maize,60.0,1320.0,1340.0,1330.0,2010,1
1188,2010-02-01,211812.0,Uttar Pradesh,Mathura,Maize,110.0,1320.0,1350.0,1340.0,2010,2
1236,2010-03-01,220963.0,Uttar Pradesh,Mathura,Maize,90.0,1240.0,1280.0,1260.0,2010,3
1285,2010-04-01,230809.0,Uttar Pradesh,Mathura,Maize,320.0,1050.0,1120.0,1100.0,2010,4
1318,2010-05-01,245056.0,Uttar Pradesh,Mathura,Maize,600.0,1060.0,1110.0,1100.0,2010,5
1356,2010-06-01,256483.0,Uttar Pradesh,Mathura,Maize,300.0,1110.0,1140.0,1130.0,2010,6
1406,2010-07-01,266710.0,Uttar Pradesh,Mathura,Maize,240.0,1150.0,1175.0,1165.0,2010,7
1454,2010-08-01,276780.0,Uttar Pradesh,Mathura,Maize,200.0,1130.0,1160.0,1150.0,2010,8
1502,2010-09-01,286258.0,Uttar Pradesh,Mathura,Maize,110.0,1120.0,1140.0,1130.0,2010,9
1554,2010-10-01,295932.0,Uttar Pradesh,Mathura,Maize,80.0,1125.0,1150.0,1140.0,2010,10
1606,2010-11-01,306043.0,Uttar Pradesh,Mathura,Maize,80.0,1140.0,1170.0,1160.0,2010,11
1656,2010-12-01,314591.0,Uttar Pradesh,Mathura,Maize,420.0,1150.0,1200.0,1160.0,2010,12
1695,2011-01-01,324151.0,Uttar Pradesh,Mathura,Maize,60.0,1170.0,1190.0,1180.0,2011,1
1747,2011-02-01,333968.0,Uttar Pradesh,Mathura,Maize,80.0,1260.0,1290.0,1275.0,2011,2
1795,2011-03-01,343306.0,Uttar Pradesh,Mathura,Maize,110.0,1240.0,1270.0,1260.0,2011,3
1847,2011-04-01,353217.0,Uttar Pradesh,Mathura,Maize,260.0,1150.0,1190.0,1175.0,2011,4
1896,2011-05-01,366186.0,Uttar Pradesh,Mathura,Maize,550.0,1100.0,1170.0,1130.0,2011,5
1948,2011-06-01,378911.0,Uttar Pradesh,Mathura,Maize,500.0,1110.0,1170.0,1135.0,2011,6
1998,2011-07-01,390035.0,Uttar Pradesh,Mathura,Maize,240.0,1110.0,1150.0,1130.0,2011,7
2048,2011-08-01,401221.0,Uttar Pradesh,Mathura,Maize,160.0,1080.0,1110.0,1090.0,2011,8
2100,2011-09-01,411016.0,Uttar Pradesh,Mathura,Maize,110.0,1060.0,1100.0,1075.0,2011,9
2151,2011-10-01,421621.0,Uttar Pradesh,Mathura,Maize,90.0,1050.0,1070.0,1060.0,2011,10
2203,2011-11-01,430263.0,Uttar Pradesh,Mathura,Maize,90.0,1010.0,1040.0,1030.0,2011,11
2260,2011-12-01,440854.0,Uttar Pradesh,Mathura,Maize,140.0,1050.0,1080.0,1065.0,2011,12
2314,2012-01-01,451136.0,Uttar Pradesh,Mathura,Maize,140.0,1020.0,1050.0,1040.0,2012,1
2366,2012-02-01,460354.0,Uttar Pradesh,Mathura,Maize,90.0,1120.0,1150.0,1135.0,2012,2
2406,2012-03-01,468537.0,Uttar Pradesh,Mathura,Maize,70.0,1100.0,1130.0,1115.0,2012,3
2454,2012-04-01,477826.0,Uttar Pradesh,Mathura,Maize,280.0,1140.0,1165.0,1155.0,2012,4
2503,2012-05-01,490119.0,Uttar Pradesh,Mathura,Maize,1250.0,1135.0,1150.0,1140.0,2012,5
2547,2012-06-01,504233.0,Uttar Pradesh,Mathura,Maize,450.0,1125.0,1150.0,1140.0,2012,6
2591,2012-07-01,515617.0,Uttar Pradesh,Mathura,Maize,220.0,1090.0,1125.0,1110.0,2012,7
2641,2012-08-01,526972.0,Uttar Pradesh,Mathura,Maize,70.0,1290.0,1325.0,1310.0,2012,8
2694,2012-09-01,537426.0,Uttar Pradesh,Mathura,Maize,70.0,1510.0,1550.0,1525.0,2012,9
2744,2012-10-01,548558.0,Uttar Pradesh,Mathura,Maize,140.0,1400.0,1430.0,1420.0,2012,10
2798,2012-11-01,559418.0,Uttar Pradesh,Mathura,Maize,120.0,1430.0,1460.0,1450.0,2012,11
2841,2012-12-01,568931.0,Uttar Pradesh,Mathura,Maize,120.0,1440.0,1470.0,1460.0,2012,12
2883,2013-01-01,579072.0,Uttar Pradesh,Mathura,Maize,100.0,1450.0,1480.0,1470.0,2013,1
2936,2013-02-01,589044.0,Uttar Pradesh,Mathura,Maize,110.0,1460.0,1490.0,1480.0,2013,2
2980,2013-03-01,597627.0,Uttar Pradesh,Mathura,Maize,110.0,1490.0,1520.0,1510.0,2013,3
3026,2013-04-01,607057.0,Uttar Pradesh,Mathura,Maize,180.0,1410.0,1440.0,1430.0,2013,4
3069,2013-05-01,620494.0,Uttar Pradesh,Mathura,Maize,1450.0,1350.0,1370.0,1360.0,2013,5
3117,2013-06-01,633825.0,Uttar Pradesh,Mathura,Maize,350.0,1460.0,1490.0,1475.0,2013,6
3165,2013-07-01,645156.0,Uttar Pradesh,Mathura,Maize,310.0,1440.0,1470.0,1460.0,2013,7
3218,2013-08-01,656336.0,Uttar Pradesh,Mathura,Maize,220.0,1430.0,1460.0,1450.0,2013,8
3271,2013-09-01,665742.0,Uttar Pradesh,Mathura,Maize,200.0,1430.0,1460.0,1450.0,2013,9
3321,2013-10-01,676032.0,Uttar Pradesh,Mathura,Maize,125.0,1465.0,1490.0,1480.0,2013,10
3373,2013-11-01,686029.0,Uttar Pradesh,Mathura,Maize,80.0,1470.0,1500.0,1490.0,2013,11
3420,2013-12-01,694703.0,Uttar Pradesh,Mathura,Maize,90.0,1540.0,1570.0,1560.0,2013,12
3468,2014-01-01,703116.0,Uttar Pradesh,Mathura,Maize,110.0,1550.0,1580.0,1570.0,2014,1
3521,2014-02-01,713049.0,Uttar Pradesh,Mathura,Maize,120.0,1610.0,1640.0,1630.0,2014,2
3568,2014-03-01,721731.0,Uttar Pradesh,Mathura,Maize,90.0,1640.0,1670.0,1655.0,2014,3
3611,2014-04-01,731775.0,Uttar Pradesh,Mathura,Maize,300.0,1550.0,1590.0,1580.0,2014,4
3658,2014-05-01,744375.0,Uttar Pradesh,Mathura,Maize,1100.0,1460.0,1490.0,1480.0,2014,5
3705,2014-06-01,758357.0,Uttar Pradesh,Mathura,Maize,600.0,1485.0,1510.0,1502.0,2014,6
3754,2014-07-01,769526.0,Uttar Pradesh,Mathura,Maize,350.0,1430.0,1460.0,1445.0,2014,7
3797,2014-08-01,781049.0,Uttar Pradesh,Mathura,Maize,1900.0,1440.0,1480.0,1460.0,2014,8
3818,2014-09-01,791516.0,Uttar Pradesh,Mathura,Maize,120.0,1430.0,1480.0,1445.0,2014,9
3844,2014-10-01,803697.0,Uttar Pradesh,Mathura,Maize,200.0,1420.0,1480.0,1445.0,2014,10
3866,2014-11-01,812648.0,Uttar Pradesh,Mathura,Maize,225.0,1440.0,1490.0,1470.0,2014,11
3892,2014-12-01,823614.0,Uttar Pradesh,Mathura,Maize,520.0,1450.0,1510.0,1490.0,2014,12
3919,2015-01-01,835861.0,Uttar Pradesh,Mathura,Maize,480.0,1500.0,1560.0,1540.0,2015,1
3944,2015-02-01,847214.0,Uttar Pradesh,Mathura,Maize,48.0,1580.0,1630.0,1610.0,2015,2
3968,2015-03-01,857532.0,Uttar Pradesh,Mathura,Maize,110.0,1560.0,1620.0,1580.0,2015,3
3991,2015-04-01,868227.0,Uttar Pradesh,Mathura,Maize,280.0,1520.0,1580.0,1540.0,2015,4
4030,2015-05-01,881397.0,Uttar Pradesh,Mathura,Maize,600.0,1280.0,1430.0,1370.0,2015,5
4077,2015-06-01,895509.0,Uttar Pradesh,Mathura,Maize,1250.0,1350.0,1420.0,1410.0,2015,6
4103,2015-07-01,908815.0,Uttar Pradesh,Mathura,Maize,400.0,1350.0,1410.0,1380.0,2015,7
4115,2015-08-01,921210.0,Uttar Pradesh,Mathura,Maize,70.0,0.0,0.0,1360.0,2015,8
4131,2015-09-01,932067.0,Uttar Pradesh,Mathura,Maize,70.0,0.0,0.0,1420.0,2015,9
4147,2015-10-01,943844.0,Uttar Pradesh,Mathura,Maize,65.0,0.0,0.0,1510.0,2015,10
4166,2015-11-01,955692.0,Uttar Pradesh,Mathura,Maize,190.0,0.0,0.0,1590.0,2015,11
4186,2015-12-01,965536.0,Uttar Pradesh,Mathura,Maize,100.0,0.0,0.0,1570.0,2015,12
4209,2016-01-01,977026.0,Uttar Pradesh,Mathura,Maize,60.0,0.0,0.0,1560.0,2016,1
4230,2016-02-01,986853.0,Uttar Pradesh,Mathura,Maize,60.0,0.0,0.0,1640.0,2016,2
4234,2016-03-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2016,3
4235,2016-04-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2016,4
4236,2016-05-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2016,5
4237,2016-06-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2016,6
4238,2016-07-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2016,7
4239,2016-08-01,1065605.0,Uttar Pradesh,Mathura,Maize,50.0,0.0,0.0,1640.0,2016,8
4246,2016-09-01,1071282.0,Uttar Pradesh,Mathura,Maize,54.0,0.0,0.0,1660.0,2016,9
4256,2016-10-01,1085647.0,Uttar Pradesh,Mathura,Maize,25.0,0.0,0.0,1640.0,2016,10
4260,2016-11-01,1094253.0,Uttar Pradesh,Mathura,Maize,20.0,0.0,0.0,1870.0,2016,11
4272,2016-12-01,1100660.0,Uttar Pradesh,Mathura,Maize,350.0,0.0,0.0,1817.0,2016,12
4279,2017-01-01,1114601.0,Uttar Pradesh,Mathura,Maize,41.0,0.0,0.0,1880.0,2017,1
4286,2017-02-01,1123916.0,Uttar Pradesh,Mathura,Maize,40.0,0.0,0.0,1860.0,2017,2
4292,2017-03-01,1136132.0,Uttar Pradesh,Mathura,Maize,33.0,0.0,0.0,1750.0,2017,3
4299,2017-04-01,1148710.0,Uttar Pradesh,Mathura,Maize,810.0,0.0,0.0,1650.0,2017,4
4303,2017-05-01,1162784.0,Uttar Pradesh,Mathura,Maize,1800.0,1560.0,1690.0,1635.0,2017,5
4324,2017-06-01,1174790.0,Uttar Pradesh,Mathura,Maize,250.0,1610.0,1640.0,1625.0,2017,6
4346,2017-07-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2017,7
4347,2017-08-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2017,8
4348,2017-09-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2017,9
4349,2017-10-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2017,10
4350,2017-11-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2017,11
4351,2017-12-01,,Uttar Pradesh,Mathura,Maize,290.9449541284404,1063.1467889908256,1094.8623853211009,1323.6605504587155,2017,12
