,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,251.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,1.8,950.0,0.0,960.0,2008,1
46,2008-02-01,8595.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,3.1,1000.0,1040.0,1025.0,2008,2
86,2008-03-01,17039.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,1.0,0.0,0.0,1050.0,2008,3
131,2008-04-01,25117.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.0,0.0,0.0,1010.0,2008,4
178,2008-05-01,37094.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,6.5,0.0,0.0,1000.0,2008,5
226,2008-06-01,49135.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,3.5,0.0,0.0,985.0,2008,6
268,2008-07-01,57401.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.0,0.0,0.0,975.0,2008,7
299,2008-08-01,65886.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.5,0.0,0.0,1000.0,2008,8
320,2008-09-01,72495.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.2,0.0,0.0,975.0,2008,9
335,2008-10-01,79074.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,2.9,0.0,0.0,1025.0,2008,10
347,2008-11-01,85454.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,3.6,0.0,0.0,950.0,2008,11
348,2008-12-01,94038.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,3.2,0.0,0.0,975.0,2008,12
363,2009-01-01,100071.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.0,0.0,0.0,950.0,2009,1
386,2009-02-01,108371.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,3.3,0.0,0.0,980.0,2009,2
402,2009-03-01,115920.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.0,0.0,0.0,1010.0,2009,3
418,2009-04-01,122809.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.5,0.0,0.0,1005.0,2009,4
429,2009-05-01,134247.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.8,0.0,0.0,1090.0,2009,5
435,2009-06-01,144657.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,17.5,0.0,0.0,1080.0,2009,6
439,2009-07-01,149939.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,13.0,0.0,0.0,1080.0,2009,7
460,2009-08-01,157645.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,5.0,0.0,0.0,925.0,2009,8
479,2009-09-01,165413.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.0,0.0,0.0,1000.0,2009,9
495,2009-10-01,174468.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.3,0.0,0.0,1030.0,2009,10
497,2009-11-01,184045.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,5.5,0.0,0.0,1060.0,2009,11
517,2009-12-01,193757.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,3.7,0.0,0.0,1125.0,2009,12
538,2010-01-01,202913.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,6.0,0.0,0.0,1185.0,2010,1
558,2010-02-01,212191.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,6.0,0.0,0.0,1230.0,2010,2
573,2010-03-01,221342.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.0,0.0,0.0,1235.0,2010,3
592,2010-04-01,230811.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.0,0.0,0.0,1200.0,2010,4
601,2010-05-01,245058.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,5.5,0.0,0.0,1075.0,2010,5
616,2010-06-01,256485.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,15.0,0.0,0.0,1075.0,2010,6
637,2010-07-01,266712.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,10.0,0.0,0.0,1100.0,2010,7
652,2010-08-01,277547.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,7.0,0.0,0.0,1095.0,2010,8
671,2010-09-01,286260.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,4.0,0.0,0.0,1090.0,2010,9
688,2010-10-01,295934.0,Uttar Pradesh,Mau(Maunathbhanjan),Maize,9.0,0.0,0.0,1105.0,2010,10
705,2010-11-01,,Uttar Pradesh,Mau(Maunathbhanjan),Maize,110.91504854368932,883.3495145631068,900.2912621359224,1310.873786407767,2010,11
706,2010-12-01,,Uttar Pradesh,Mau(Maunathbhanjan),Maize,110.91504854368932,883.3495145631068,900.2912621359224,1310.873786407767,2010,12
707,2011-01-01,,Uttar Pradesh,Mau(Maunathbhanjan),Maize,110.91504854368932,883.3495145631068,900.2912621359224,1310.873786407767,2011,1
708,2011-02-01,,Uttar Pradesh,Mau(Maunathbhanjan),Maize,110.91504854368932,883.3495145631068,900.2912621359224,1310.873786407767,2011,2
709,2011-03-01,,Uttar Pradesh,Mau(Maunathbhanjan),Maize,110.91504854368932,883.3495145631068,900.2912621359224,1310.873786407767,2011,3
710,2011-04-01,,Uttar Pradesh,Mau(Maunathbhanjan),Maize,110.91504854368932,883.3495145631068,900.2912621359224,1310.873786407767,2011,4
