,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,544.0,Uttar Pradesh,Mirzapur,Maize,37.0,1025.0,1125.0,1070.0,2008,1
25,2008-02-01,8599.0,Uttar Pradesh,Mirzapur,Maize,40.0,1000.0,1100.0,1050.0,2008,2
49,2008-03-01,17043.0,Uttar Pradesh,Mirzapur,Maize,35.0,1025.0,1125.0,1075.0,2008,3
74,2008-04-01,25121.0,Uttar Pradesh,Mirzapur,Maize,39.0,1000.0,1100.0,1060.0,2008,4
100,2008-05-01,37098.0,Uttar Pradesh,Mirzapur,Maize,30.0,1000.0,1100.0,1040.0,2008,5
127,2008-06-01,48835.0,Uttar Pradesh,Mirzapur,Maize,37.0,1010.0,1060.0,1040.0,2008,6
152,2008-07-01,57404.0,Uttar Pradesh,Mirzapur,Maize,26.0,1040.0,1120.0,1080.0,2008,7
179,2008-08-01,65888.0,Uttar Pradesh,Mirzapur,Maize,38.0,1040.0,1100.0,1060.0,2008,8
201,2008-09-01,72216.0,Uttar Pradesh,Mirzapur,Maize,41.0,0.0,0.0,1040.0,2008,9
226,2008-10-01,79078.0,Uttar Pradesh,Mirzapur,Maize,34.0,0.0,0.0,1010.0,2008,10
252,2008-11-01,85457.0,Uttar Pradesh,Mirzapur,Maize,35.0,0.0,0.0,1025.0,2008,11
277,2008-12-01,92588.0,Uttar Pradesh,Mirzapur,Maize,41.0,0.0,0.0,975.0,2008,12
304,2009-01-01,100073.0,Uttar Pradesh,Mirzapur,Maize,35.0,0.0,0.0,1000.0,2009,1
330,2009-02-01,107752.0,Uttar Pradesh,Mirzapur,Maize,37.5,0.0,0.0,1025.0,2009,2
354,2009-03-01,115258.0,Uttar Pradesh,Mirzapur,Maize,38.0,0.0,0.0,1085.0,2009,3
379,2009-04-01,122811.0,Uttar Pradesh,Mirzapur,Maize,29.0,0.0,0.0,1100.0,2009,4
404,2009-05-01,134250.0,Uttar Pradesh,Mirzapur,Maize,130.0,0.0,0.0,1080.0,2009,5
430,2009-06-01,142673.0,Uttar Pradesh,Mirzapur,Maize,90.0,0.0,0.0,1090.0,2009,6
456,2009-07-01,149942.0,Uttar Pradesh,Mirzapur,Maize,40.0,0.0,0.0,1090.0,2009,7
483,2009-08-01,157648.0,Uttar Pradesh,Mirzapur,Maize,37.5,0.0,0.0,1090.0,2009,8
508,2009-09-01,165416.0,Uttar Pradesh,Mirzapur,Maize,35.5,0.0,0.0,1095.0,2009,9
534,2009-10-01,174470.0,Uttar Pradesh,Mirzapur,Maize,20.0,0.0,0.0,1085.0,2009,10
561,2009-11-01,183645.0,Uttar Pradesh,Mirzapur,Maize,30.0,0.0,0.0,1095.0,2009,11
586,2009-12-01,193392.0,Uttar Pradesh,Mirzapur,Maize,27.0,0.0,0.0,1170.0,2009,12
613,2010-01-01,202915.0,Uttar Pradesh,Mirzapur,Maize,15.0,1185.0,1225.0,1205.0,2010,1
643,2010-02-01,211814.0,Uttar Pradesh,Mirzapur,Maize,1.5,1190.0,1290.0,1240.0,2010,2
690,2010-03-01,220664.0,Uttar Pradesh,Mirzapur,Maize,3.0,1225.0,1325.0,1275.0,2010,3
738,2010-04-01,230813.0,Uttar Pradesh,Mirzapur,Maize,2.0,1160.0,1200.0,1180.0,2010,4
773,2010-05-01,245062.0,Uttar Pradesh,Mirzapur,Maize,6.0,1095.0,1115.0,1105.0,2010,5
824,2010-06-01,256487.0,Uttar Pradesh,Mirzapur,Maize,7.5,1100.0,1120.0,1110.0,2010,6
874,2010-07-01,266715.0,Uttar Pradesh,Mirzapur,Maize,5.0,1100.0,1120.0,1110.0,2010,7
923,2010-08-01,276442.0,Uttar Pradesh,Mirzapur,Maize,7.0,1110.0,1150.0,1130.0,2010,8
969,2010-09-01,286495.0,Uttar Pradesh,Mirzapur,Maize,2.5,1105.0,1125.0,1115.0,2010,9
1017,2010-10-01,295937.0,Uttar Pradesh,Mirzapur,Maize,15.0,1100.0,1140.0,1120.0,2010,10
1069,2010-11-01,306046.0,Uttar Pradesh,Mirzapur,Maize,45.0,1095.0,1115.0,1105.0,2010,11
1120,2010-12-01,314593.0,Uttar Pradesh,Mirzapur,Maize,60.0,0.0,0.0,1135.0,2010,12
1169,2011-01-01,324154.0,Uttar Pradesh,Mirzapur,Maize,50.0,1125.0,1165.0,1145.0,2011,1
1221,2011-02-01,333972.0,Uttar Pradesh,Mirzapur,Maize,75.0,1130.0,1170.0,1150.0,2011,2
1264,2011-03-01,343310.0,Uttar Pradesh,Mirzapur,Maize,70.0,1230.0,1270.0,1250.0,2011,3
1313,2011-04-01,353220.0,Uttar Pradesh,Mirzapur,Maize,40.0,1205.0,1245.0,1225.0,2011,4
1376,2011-05-01,365652.0,Uttar Pradesh,Mirzapur,Maize,25.0,1110.0,1150.0,1130.0,2011,5
1429,2011-06-01,378916.0,Uttar Pradesh,Mirzapur,Maize,120.0,0.0,0.0,1160.0,2011,6
1480,2011-07-01,390039.0,Uttar Pradesh,Mirzapur,Maize,45.0,1145.0,1185.0,1165.0,2011,7
1533,2011-08-01,401225.0,Uttar Pradesh,Mirzapur,Maize,20.0,1155.0,1195.0,1175.0,2011,8
1583,2011-09-01,411020.0,Uttar Pradesh,Mirzapur,Maize,40.0,1120.0,1160.0,1140.0,2011,9
1635,2011-10-01,421624.0,Uttar Pradesh,Mirzapur,Maize,35.0,1095.0,1135.0,1115.0,2011,10
1686,2011-11-01,430267.0,Uttar Pradesh,Mirzapur,Maize,40.0,1090.0,1130.0,1110.0,2011,11
1736,2011-12-01,440857.0,Uttar Pradesh,Mirzapur,Maize,30.0,1110.0,1150.0,1130.0,2011,12
1788,2012-01-01,451450.0,Uttar Pradesh,Mirzapur,Maize,38.0,0.0,0.0,1130.0,2012,1
1813,2012-02-01,460356.0,Uttar Pradesh,Mirzapur,Maize,38.5,0.0,0.0,1130.0,2012,2
1832,2012-03-01,468541.0,Uttar Pradesh,Mirzapur,Maize,29.0,0.0,0.0,1175.0,2012,3
1857,2012-04-01,477830.0,Uttar Pradesh,Mirzapur,Maize,38.0,0.0,0.0,1160.0,2012,4
1881,2012-05-01,490124.0,Uttar Pradesh,Mirzapur,Maize,100.0,0.0,0.0,1190.0,2012,5
1895,2012-06-01,,Uttar Pradesh,Mirzapur,Maize,34.972972972972975,554.3693693693693,576.3063063063063,1330.5405405405406,2012,6
1896,2012-07-01,518215.0,Uttar Pradesh,Mirzapur,Maize,82.5,0.0,0.0,1175.0,2012,7
1915,2012-08-01,526976.0,Uttar Pradesh,Mirzapur,Maize,45.0,0.0,0.0,1195.0,2012,8
1941,2012-09-01,537431.0,Uttar Pradesh,Mirzapur,Maize,27.5,0.0,0.0,1300.0,2012,9
1968,2012-10-01,548562.0,Uttar Pradesh,Mirzapur,Maize,26.0,0.0,0.0,1390.0,2012,10
1971,2012-11-01,,Uttar Pradesh,Mirzapur,Maize,34.972972972972975,554.3693693693693,576.3063063063063,1330.5405405405406,2012,11
1972,2012-12-01,,Uttar Pradesh,Mirzapur,Maize,34.972972972972975,554.3693693693693,576.3063063063063,1330.5405405405406,2012,12
1973,2013-01-01,579075.0,Uttar Pradesh,Mirzapur,Maize,52.5,0.0,0.0,1465.0,2013,1
1996,2013-02-01,589049.0,Uttar Pradesh,Mirzapur,Maize,16.0,0.0,0.0,1475.0,2013,2
2013,2013-03-01,597630.0,Uttar Pradesh,Mirzapur,Maize,20.0,0.0,0.0,1500.0,2013,3
2034,2013-04-01,607060.0,Uttar Pradesh,Mirzapur,Maize,35.0,0.0,0.0,1500.0,2013,4
2050,2013-05-01,620496.0,Uttar Pradesh,Mirzapur,Maize,120.0,0.0,0.0,1340.0,2013,5
2069,2013-06-01,633830.0,Uttar Pradesh,Mirzapur,Maize,85.0,0.0,0.0,1365.0,2013,6
2092,2013-07-01,645163.0,Uttar Pradesh,Mirzapur,Maize,50.0,0.0,0.0,1400.0,2013,7
2118,2013-08-01,656342.0,Uttar Pradesh,Mirzapur,Maize,7.5,0.0,0.0,1410.0,2013,8
2143,2013-09-01,665749.0,Uttar Pradesh,Mirzapur,Maize,8.0,0.0,0.0,1415.0,2013,9
2167,2013-10-01,676039.0,Uttar Pradesh,Mirzapur,Maize,9.0,0.0,0.0,1425.0,2013,10
2194,2013-11-01,686035.0,Uttar Pradesh,Mirzapur,Maize,5.0,0.0,0.0,1435.0,2013,11
2220,2013-12-01,694707.0,Uttar Pradesh,Mirzapur,Maize,4.5,0.0,0.0,1520.0,2013,12
2240,2014-01-01,703124.0,Uttar Pradesh,Mirzapur,Maize,7.5,0.0,0.0,1530.0,2014,1
2267,2014-02-01,713054.0,Uttar Pradesh,Mirzapur,Maize,6.0,0.0,0.0,1560.0,2014,2
2291,2014-03-01,721737.0,Uttar Pradesh,Mirzapur,Maize,8.5,0.0,0.0,1625.0,2014,3
2316,2014-04-01,732208.0,Uttar Pradesh,Mirzapur,Maize,7.5,0.0,0.0,1570.0,2014,4
2336,2014-05-01,744381.0,Uttar Pradesh,Mirzapur,Maize,100.0,0.0,0.0,1415.0,2014,5
2359,2014-06-01,758361.0,Uttar Pradesh,Mirzapur,Maize,50.0,0.0,0.0,1415.0,2014,6
2378,2014-07-01,769533.0,Uttar Pradesh,Mirzapur,Maize,45.0,0.0,0.0,1460.0,2014,7
2390,2014-08-01,781054.0,Uttar Pradesh,Mirzapur,Maize,20.0,0.0,0.0,1475.0,2014,8
2415,2014-09-01,791520.0,Uttar Pradesh,Mirzapur,Maize,16.0,0.0,0.0,1515.0,2014,9
2439,2014-10-01,803198.0,Uttar Pradesh,Mirzapur,Maize,8.0,0.0,0.0,1520.0,2014,10
2465,2014-11-01,812651.0,Uttar Pradesh,Mirzapur,Maize,7.0,0.0,0.0,1530.0,2014,11
2487,2014-12-01,823618.0,Uttar Pradesh,Mirzapur,Maize,7.5,0.0,0.0,1510.0,2014,12
2513,2015-01-01,835451.0,Uttar Pradesh,Mirzapur,Maize,12.0,0.0,0.0,1525.0,2015,1
2540,2015-02-01,847217.0,Uttar Pradesh,Mirzapur,Maize,14.0,0.0,0.0,1580.0,2015,2
2564,2015-03-01,857536.0,Uttar Pradesh,Mirzapur,Maize,25.0,0.0,0.0,1610.0,2015,3
2591,2015-04-01,868232.0,Uttar Pradesh,Mirzapur,Maize,12.5,0.0,0.0,1540.0,2015,4
2611,2015-05-01,881403.0,Uttar Pradesh,Mirzapur,Maize,55.0,0.0,0.0,1450.0,2015,5
2631,2015-06-01,895513.0,Uttar Pradesh,Mirzapur,Maize,340.0,0.0,0.0,1455.0,2015,6
2656,2015-07-01,908359.0,Uttar Pradesh,Mirzapur,Maize,80.0,0.0,0.0,1465.0,2015,7
2682,2015-08-01,920625.0,Uttar Pradesh,Mirzapur,Maize,10.0,1460.0,1490.0,1485.0,2015,8
2708,2015-09-01,932071.0,Uttar Pradesh,Mirzapur,Maize,5.0,1450.0,1490.0,1475.0,2015,9
2735,2015-10-01,943848.0,Uttar Pradesh,Mirzapur,Maize,4.0,1495.0,1535.0,1510.0,2015,10
