,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,545.0,Uttar Pradesh,Muradabad,Maize,90.0,970.0,1015.0,994.0,2008,1
36,2008-02-01,8600.0,Uttar Pradesh,Muradabad,Maize,16.0,1018.0,1028.0,1026.0,2008,2
76,2008-03-01,17044.0,Uttar Pradesh,Muradabad,Maize,13.0,1045.0,1052.0,1051.0,2008,3
122,2008-04-01,25122.0,Uttar Pradesh,Muradabad,Maize,11.5,1030.0,1050.0,1045.0,2008,4
149,2008-05-01,37099.0,Uttar Pradesh,Muradabad,Maize,650.0,1000.0,1005.0,1000.0,2008,5
186,2008-06-01,48513.0,Uttar Pradesh,Muradabad,Maize,140.0,1000.0,1025.0,1000.0,2008,6
217,2008-07-01,57405.0,Uttar Pradesh,Muradabad,Maize,50.0,1000.0,1015.0,1010.0,2008,7
254,2008-08-01,65889.0,Uttar Pradesh,Muradabad,Maize,20.0,1000.0,1050.0,1030.0,2008,8
270,2008-09-01,72217.0,Uttar Pradesh,Muradabad,Maize,75.0,975.0,1025.0,1010.0,2008,9
296,2008-10-01,79079.0,Uttar Pradesh,Muradabad,Maize,65.0,975.0,1015.0,995.0,2008,10
320,2008-11-01,85458.0,Uttar Pradesh,Muradabad,Maize,100.0,1000.0,1050.0,1020.0,2008,11
345,2008-12-01,92589.0,Uttar Pradesh,Muradabad,Maize,55.0,1040.0,1100.0,1065.0,2008,12
372,2009-01-01,100074.0,Uttar Pradesh,Muradabad,Maize,45.0,0.0,0.0,1075.0,2009,1
397,2009-02-01,107473.0,Uttar Pradesh,Muradabad,Maize,60.0,0.0,0.0,1105.0,2009,2
423,2009-03-01,114920.0,Uttar Pradesh,Muradabad,Maize,30.0,0.0,0.0,1130.0,2009,3
449,2009-04-01,122812.0,Uttar Pradesh,Muradabad,Maize,85.0,0.0,0.0,1100.0,2009,4
475,2009-05-01,134251.0,Uttar Pradesh,Muradabad,Maize,450.0,0.0,0.0,1080.0,2009,5
500,2009-06-01,142950.0,Uttar Pradesh,Muradabad,Maize,35.0,0.0,0.0,1080.0,2009,6
524,2009-07-01,149943.0,Uttar Pradesh,Muradabad,Maize,150.0,0.0,0.0,1080.0,2009,7
551,2009-08-01,157649.0,Uttar Pradesh,Muradabad,Maize,70.0,0.0,0.0,1050.0,2009,8
576,2009-09-01,165756.0,Uttar Pradesh,Muradabad,Maize,50.0,0.0,0.0,1080.0,2009,9
601,2009-10-01,174471.0,Uttar Pradesh,Muradabad,Maize,25.0,0.0,0.0,1120.0,2009,10
624,2009-11-01,183441.0,Uttar Pradesh,Muradabad,Maize,38.0,0.0,0.0,1150.0,2009,11
650,2009-12-01,193760.0,Uttar Pradesh,Muradabad,Maize,46.0,0.0,0.0,1240.0,2009,12
672,2010-01-01,202917.0,Uttar Pradesh,Muradabad,Maize,34.0,0.0,0.0,1320.0,2010,1
721,2010-02-01,211816.0,Uttar Pradesh,Muradabad,Maize,7.0,0.0,0.0,1330.0,2010,2
765,2010-03-01,220665.0,Uttar Pradesh,Muradabad,Maize,9.0,0.0,1290.0,0.0,2010,3
834,2010-04-01,230815.0,Uttar Pradesh,Muradabad,Maize,18.0,0.0,0.0,1120.0,2010,4
908,2010-05-01,245064.0,Uttar Pradesh,Muradabad,Maize,652.0,0.0,0.0,1025.0,2010,5
1008,2010-06-01,256489.0,Uttar Pradesh,Muradabad,Maize,48.0,0.0,0.0,1110.0,2010,6
1103,2010-07-01,266717.0,Uttar Pradesh,Muradabad,Maize,100.0,0.0,0.0,1110.0,2010,7
1181,2010-08-01,276443.0,Uttar Pradesh,Muradabad,Maize,7.0,0.0,0.0,1105.0,2010,8
1254,2010-09-01,286263.0,Uttar Pradesh,Muradabad,Maize,16.5,0.0,0.0,1130.0,2010,9
1348,2010-10-01,295939.0,Uttar Pradesh,Muradabad,Maize,15.0,0.0,0.0,1130.0,2010,10
1412,2010-11-01,306048.0,Uttar Pradesh,Muradabad,Maize,20.0,0.0,0.0,1165.0,2010,11
1488,2010-12-01,314594.0,Uttar Pradesh,Muradabad,Maize,20.0,0.0,0.0,1180.0,2010,12
1567,2011-01-01,324156.0,Uttar Pradesh,Muradabad,Maize,20.0,0.0,0.0,1185.0,2011,1
1644,2011-02-01,333974.0,Uttar Pradesh,Muradabad,Maize,2.1,0.0,0.0,1150.0,2011,2
1712,2011-03-01,343312.0,Uttar Pradesh,Muradabad,Maize,1.0,0.0,0.0,1230.0,2011,3
1795,2011-04-01,353223.0,Uttar Pradesh,Muradabad,Maize,10.2,0.0,0.0,1180.0,2011,4
1890,2011-05-01,365653.0,Uttar Pradesh,Muradabad,Maize,21.7,0.0,0.0,1125.0,2011,5
1990,2011-06-01,378917.0,Uttar Pradesh,Muradabad,Maize,7.0,0.0,0.0,1135.0,2011,6
2083,2011-07-01,390041.0,Uttar Pradesh,Muradabad,Maize,7.0,0.0,0.0,1135.0,2011,7
2162,2011-08-01,401227.0,Uttar Pradesh,Muradabad,Maize,928.7,0.0,0.0,1125.0,2011,8
2237,2011-09-01,411022.0,Uttar Pradesh,Muradabad,Maize,43.2,0.0,0.0,1120.0,2011,9
2314,2011-10-01,421625.0,Uttar Pradesh,Muradabad,Maize,8.6,0.0,0.0,1125.0,2011,10
2390,2011-11-01,430269.0,Uttar Pradesh,Muradabad,Maize,43.6,0.0,0.0,1120.0,2011,11
2457,2011-12-01,440859.0,Uttar Pradesh,Muradabad,Maize,15.2,0.0,0.0,1120.0,2011,12
2537,2012-01-01,451137.0,Uttar Pradesh,Muradabad,Maize,16.0,0.0,0.0,1130.0,2012,1
2563,2012-02-01,460357.0,Uttar Pradesh,Muradabad,Maize,17.0,0.0,0.0,1130.0,2012,2
2587,2012-03-01,468542.0,Uttar Pradesh,Muradabad,Maize,40.0,0.0,0.0,1130.0,2012,3
2612,2012-04-01,477505.0,Uttar Pradesh,Muradabad,Maize,35.0,0.0,0.0,1170.0,2012,4
2643,2012-05-01,490125.0,Uttar Pradesh,Muradabad,Maize,140.0,0.0,0.0,1155.0,2012,5
2708,2012-06-01,504237.0,Uttar Pradesh,Muradabad,Maize,40.0,0.0,0.0,1175.0,2012,6
2781,2012-07-01,515199.0,Uttar Pradesh,Muradabad,Maize,40.0,0.0,0.0,1230.0,2012,7
2852,2012-08-01,526977.0,Uttar Pradesh,Muradabad,Maize,15.0,0.0,0.0,1220.0,2012,8
2932,2012-09-01,537432.0,Uttar Pradesh,Muradabad,Maize,20.0,0.0,0.0,1400.0,2012,9
3007,2012-10-01,548563.0,Uttar Pradesh,Muradabad,Maize,10.0,0.0,0.0,1440.0,2012,10
3084,2012-11-01,559422.0,Uttar Pradesh,Muradabad,Maize,5.0,0.0,0.0,1420.0,2012,11
3159,2012-12-01,568936.0,Uttar Pradesh,Muradabad,Maize,6.0,0.0,0.0,1510.0,2012,12
3233,2013-01-01,579076.0,Uttar Pradesh,Muradabad,Maize,4.0,0.0,0.0,1470.0,2013,1
3307,2013-02-01,589050.0,Uttar Pradesh,Muradabad,Maize,1.0,0.0,0.0,1510.0,2013,2
3372,2013-03-01,597631.0,Uttar Pradesh,Muradabad,Maize,1.5,0.0,0.0,1550.0,2013,3
3433,2013-04-01,607061.0,Uttar Pradesh,Muradabad,Maize,15.0,0.0,0.0,1480.0,2013,4
3494,2013-05-01,620497.0,Uttar Pradesh,Muradabad,Maize,250.0,0.0,0.0,1360.0,2013,5
3560,2013-06-01,633831.0,Uttar Pradesh,Muradabad,Maize,100.0,0.0,0.0,1400.0,2013,6
3617,2013-07-01,645164.0,Uttar Pradesh,Muradabad,Maize,24.0,0.0,0.0,1525.0,2013,7
3668,2013-08-01,656343.0,Uttar Pradesh,Muradabad,Maize,60.0,0.0,0.0,1510.0,2013,8
3720,2013-09-01,665365.0,Uttar Pradesh,Muradabad,Maize,80.0,0.0,0.0,1500.0,2013,9
3771,2013-10-01,676040.0,Uttar Pradesh,Muradabad,Maize,23.0,0.0,0.0,1480.0,2013,10
