,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,256.0,Uttar Pradesh,Saharanpur,Maize,1.8,990.0,1020.0,1010.0,2008,1
55,2008-02-01,8609.0,Uttar Pradesh,Saharanpur,Maize,10.0,1060.0,1080.0,1070.0,2008,2
119,2008-03-01,17053.0,Uttar Pradesh,Saharanpur,Maize,15.0,1090.0,0.0,0.0,2008,3
183,2008-04-01,25130.0,Uttar Pradesh,Saharanpur,Maize,10.0,1070.0,1090.0,1080.0,2008,4
250,2008-05-01,37109.0,Uttar Pradesh,Saharanpur,Maize,40.0,1000.0,1020.0,1010.0,2008,5
323,2008-06-01,48516.0,Uttar Pradesh,Saharanpur,Maize,40.0,1000.0,1020.0,1000.0,2008,6
389,2008-07-01,57412.0,Uttar Pradesh,Saharanpur,Maize,20.0,1025.0,1040.0,1035.0,2008,7
424,2008-08-01,65894.0,Uttar Pradesh,Saharanpur,Maize,175.0,975.0,1200.0,1050.0,2008,8
448,2008-09-01,72222.0,Uttar Pradesh,Saharanpur,Maize,150.0,970.0,1150.0,1030.0,2008,9
469,2008-10-01,79086.0,Uttar Pradesh,Saharanpur,Maize,160.0,990.0,1200.0,1030.0,2008,10
490,2008-11-01,85465.0,Uttar Pradesh,Saharanpur,Maize,200.0,910.0,1200.0,1040.0,2008,11
516,2008-12-01,92596.0,Uttar Pradesh,Saharanpur,Maize,200.0,980.0,1210.0,1030.0,2008,12
542,2009-01-01,100399.0,Uttar Pradesh,Saharanpur,Maize,200.0,940.0,1200.0,1080.0,2009,1
574,2009-02-01,107760.0,Uttar Pradesh,Saharanpur,Maize,140.0,915.0,1250.0,1080.0,2009,2
599,2009-03-01,114922.0,Uttar Pradesh,Saharanpur,Maize,7.0,1090.0,1100.0,1095.0,2009,3
624,2009-04-01,122817.0,Uttar Pradesh,Saharanpur,Maize,60.0,915.0,1190.0,1085.0,2009,4
662,2009-05-01,134260.0,Uttar Pradesh,Saharanpur,Maize,21.0,1050.0,1085.0,1060.0,2009,5
701,2009-06-01,142681.0,Uttar Pradesh,Saharanpur,Maize,300.0,1080.0,1085.0,1080.0,2009,6
719,2009-07-01,149950.0,Uttar Pradesh,Saharanpur,Maize,350.0,1070.0,1100.0,1090.0,2009,7
735,2009-08-01,157658.0,Uttar Pradesh,Saharanpur,Maize,70.0,1020.0,1100.0,1040.0,2009,8
743,2009-09-01,165421.0,Uttar Pradesh,Saharanpur,Maize,230.0,970.0,1190.0,1085.0,2009,9
767,2009-10-01,174477.0,Uttar Pradesh,Saharanpur,Maize,270.0,1070.0,1200.0,1100.0,2009,10
798,2009-11-01,183444.0,Uttar Pradesh,Saharanpur,Maize,16.0,1170.0,1200.0,1180.0,2009,11
821,2009-12-01,193396.0,Uttar Pradesh,Saharanpur,Maize,150.0,1200.0,1450.0,1350.0,2009,12
847,2010-01-01,202923.0,Uttar Pradesh,Saharanpur,Maize,160.0,1200.0,1600.0,1395.0,2010,1
894,2010-02-01,211823.0,Uttar Pradesh,Saharanpur,Maize,105.0,1200.0,1600.0,1410.0,2010,2
