,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,553.0,Uttar Pradesh,Sitapur,Maize,5.0,905.0,920.0,915.0,2008,1
24,2008-02-01,8975.0,Uttar Pradesh,Sitapur,Maize,20.0,990.0,1015.0,1005.0,2008,2
45,2008-03-01,,Uttar Pradesh,Sitapur,Maize,144.4897196261682,1104.981308411215,1177.9532710280373,1289.3831775700935,2008,3
46,2008-04-01,25135.0,Uttar Pradesh,Sitapur,Maize,45.0,970.0,1000.0,985.0,2008,4
59,2008-05-01,37113.0,Uttar Pradesh,Sitapur,Maize,1346.5,990.0,1020.0,1000.0,2008,5
79,2008-06-01,49503.0,Uttar Pradesh,Sitapur,Maize,150.0,990.0,1010.0,1000.0,2008,6
100,2008-07-01,57417.0,Uttar Pradesh,Sitapur,Maize,300.0,990.0,1015.0,1000.0,2008,7
127,2008-08-01,65897.0,Uttar Pradesh,Sitapur,Maize,70.0,990.0,1010.0,1000.0,2008,8
141,2008-09-01,,Uttar Pradesh,Sitapur,Maize,144.4897196261682,1104.981308411215,1177.9532710280373,1289.3831775700935,2008,9
142,2008-10-01,,Uttar Pradesh,Sitapur,Maize,144.4897196261682,1104.981308411215,1177.9532710280373,1289.3831775700935,2008,10
143,2008-11-01,,Uttar Pradesh,Sitapur,Maize,144.4897196261682,1104.981308411215,1177.9532710280373,1289.3831775700935,2008,11
144,2008-12-01,,Uttar Pradesh,Sitapur,Maize,144.4897196261682,1104.981308411215,1177.9532710280373,1289.3831775700935,2008,12
145,2009-01-01,100084.0,Uttar Pradesh,Sitapur,Maize,13.0,1000.0,1030.0,1025.0,2009,1
170,2009-02-01,107764.0,Uttar Pradesh,Sitapur,Maize,65.0,1000.0,1080.0,1070.0,2009,2
176,2009-03-01,115266.0,Uttar Pradesh,Sitapur,Maize,30.0,1050.0,1080.0,1075.0,2009,3
198,2009-04-01,122820.0,Uttar Pradesh,Sitapur,Maize,460.0,0.0,0.0,930.0,2009,4
221,2009-05-01,134267.0,Uttar Pradesh,Sitapur,Maize,1065.0,0.0,0.0,950.0,2009,5
238,2009-06-01,142685.0,Uttar Pradesh,Sitapur,Maize,1200.0,0.0,0.0,1080.0,2009,6
262,2009-07-01,149956.0,Uttar Pradesh,Sitapur,Maize,200.0,0.0,0.0,1080.0,2009,7
289,2009-08-01,157663.0,Uttar Pradesh,Sitapur,Maize,200.0,950.0,1000.0,980.0,2009,8
313,2009-09-01,165427.0,Uttar Pradesh,Sitapur,Maize,80.0,1000.0,1050.0,1025.0,2009,9
