,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,1433.0,Uttar Pradesh,Sultanpur,Maize,80.0,940.0,1000.0,955.0,2008,1
5,2008-02-01,8976.0,Uttar Pradesh,Sultanpur,Maize,65.0,975.0,1050.0,1000.0,2008,2
13,2008-03-01,17058.0,Uttar Pradesh,Sultanpur,Maize,80.0,1000.0,1075.0,1025.0,2008,3
19,2008-04-01,25136.0,Uttar Pradesh,Sultanpur,Maize,140.0,950.0,1000.0,980.0,2008,4
27,2008-05-01,38177.0,Uttar Pradesh,Sultanpur,Maize,80.0,1000.0,1075.0,1025.0,2008,5
36,2008-06-01,49149.0,Uttar Pradesh,Sultanpur,Maize,700.0,925.0,950.0,935.0,2008,6
44,2008-07-01,57418.0,Uttar Pradesh,Sultanpur,Maize,90.0,900.0,1000.0,950.0,2008,7
53,2008-08-01,66162.0,Uttar Pradesh,Sultanpur,Maize,70.0,985.0,1025.0,1000.0,2008,8
58,2008-09-01,72509.0,Uttar Pradesh,Sultanpur,Maize,80.0,885.0,950.0,910.0,2008,9
67,2008-10-01,80269.0,Uttar Pradesh,Sultanpur,Maize,160.0,920.0,960.0,930.0,2008,10
71,2008-11-01,85469.0,Uttar Pradesh,Sultanpur,Maize,200.0,935.0,975.0,950.0,2008,11
76,2008-12-01,92883.0,Uttar Pradesh,Sultanpur,Maize,130.0,935.0,960.0,945.0,2008,12
80,2009-01-01,100702.0,Uttar Pradesh,Sultanpur,Maize,100.0,935.0,975.0,950.0,2009,1
86,2009-02-01,109970.0,Uttar Pradesh,Sultanpur,Maize,70.0,985.0,1015.0,1000.0,2009,2
91,2009-03-01,115579.0,Uttar Pradesh,Sultanpur,Maize,100.0,1035.0,1065.0,1045.0,2009,3
92,2009-04-01,123798.0,Uttar Pradesh,Sultanpur,Maize,90.0,985.0,1025.0,1015.0,2009,4
96,2009-05-01,139619.0,Uttar Pradesh,Sultanpur,Maize,250.0,1075.0,1085.0,1080.0,2009,5
97,2009-06-01,149690.0,Uttar Pradesh,Sultanpur,Maize,200.0,1075.0,1085.0,1080.0,2009,6
98,2009-07-01,151334.0,Uttar Pradesh,Sultanpur,Maize,120.0,1075.0,1085.0,1080.0,2009,7
100,2009-08-01,157664.0,Uttar Pradesh,Sultanpur,Maize,250.0,950.0,975.0,960.0,2009,8
106,2009-09-01,165428.0,Uttar Pradesh,Sultanpur,Maize,150.0,1000.0,1035.0,1025.0,2009,9
109,2009-10-01,175902.0,Uttar Pradesh,Sultanpur,Maize,180.0,1000.0,1050.0,1030.0,2009,10
115,2009-11-01,186547.0,Uttar Pradesh,Sultanpur,Maize,210.0,1100.0,1225.0,1160.0,2009,11
120,2009-12-01,193402.0,Uttar Pradesh,Sultanpur,Maize,600.0,1150.0,1200.0,1175.0,2009,12
127,2010-01-01,203288.0,Uttar Pradesh,Sultanpur,Maize,150.0,1175.0,1250.0,1200.0,2010,1
136,2010-02-01,212214.0,Uttar Pradesh,Sultanpur,Maize,210.0,1200.0,1250.0,1225.0,2010,2
141,2010-03-01,220980.0,Uttar Pradesh,Sultanpur,Maize,100.0,1200.0,1275.0,1230.0,2010,3
149,2010-04-01,231515.0,Uttar Pradesh,Sultanpur,Maize,80.0,1050.0,1100.0,1075.0,2010,4
152,2010-05-01,245087.0,Uttar Pradesh,Sultanpur,Maize,100.0,965.0,985.0,970.0,2010,5
159,2010-06-01,256512.0,Uttar Pradesh,Sultanpur,Maize,420.0,1050.0,1150.0,1090.0,2010,6
165,2010-07-01,267459.0,Uttar Pradesh,Sultanpur,Maize,180.0,1100.0,1150.0,1125.0,2010,7
172,2010-08-01,277182.0,Uttar Pradesh,Sultanpur,Maize,120.0,1050.0,1100.0,1085.0,2010,8
181,2010-09-01,287220.0,Uttar Pradesh,Sultanpur,Maize,80.0,1075.0,1125.0,1100.0,2010,9
189,2010-10-01,296149.0,Uttar Pradesh,Sultanpur,Maize,90.0,1075.0,1100.0,1090.0,2010,10
197,2010-11-01,306431.0,Uttar Pradesh,Sultanpur,Maize,60.0,1100.0,1135.0,1125.0,2010,11
205,2010-12-01,315794.0,Uttar Pradesh,Sultanpur,Maize,100.0,1125.0,1150.0,1130.0,2010,12
212,2011-01-01,324173.0,Uttar Pradesh,Sultanpur,Maize,45.0,1150.0,1225.0,1175.0,2011,1
221,2011-02-01,333992.0,Uttar Pradesh,Sultanpur,Maize,35.0,1180.0,1300.0,1230.0,2011,2
229,2011-03-01,343327.0,Uttar Pradesh,Sultanpur,Maize,30.0,1185.0,1225.0,1200.0,2011,3
238,2011-04-01,353582.0,Uttar Pradesh,Sultanpur,Maize,35.0,1100.0,1200.0,1150.0,2011,4
245,2011-05-01,366730.0,Uttar Pradesh,Sultanpur,Maize,160.0,1020.0,1150.0,1125.0,2011,5
254,2011-06-01,381154.0,Uttar Pradesh,Sultanpur,Maize,150.0,1020.0,1100.0,1050.0,2011,6
258,2011-07-01,390489.0,Uttar Pradesh,Sultanpur,Maize,80.0,1050.0,1100.0,1065.0,2011,7
266,2011-08-01,401674.0,Uttar Pradesh,Sultanpur,Maize,150.0,1000.0,1050.0,1030.0,2011,8
273,2011-09-01,416740.0,Uttar Pradesh,Sultanpur,Maize,140.0,1000.0,1100.0,1025.0,2011,9
277,2011-10-01,422443.0,Uttar Pradesh,Sultanpur,Maize,160.0,950.0,1100.0,960.0,2011,10
285,2011-11-01,430291.0,Uttar Pradesh,Sultanpur,Maize,150.0,930.0,1100.0,950.0,2011,11
294,2011-12-01,441686.0,Uttar Pradesh,Sultanpur,Maize,75.0,910.0,1000.0,925.0,2011,12
302,2012-01-01,451755.0,Uttar Pradesh,Sultanpur,Maize,30.0,925.0,1000.0,950.0,2012,1
310,2012-02-01,461344.0,Uttar Pradesh,Sultanpur,Maize,40.0,980.0,1050.0,1000.0,2012,2
311,2012-03-01,469289.0,Uttar Pradesh,Sultanpur,Maize,30.0,975.0,1100.0,1000.0,2012,3
319,2012-04-01,478230.0,Uttar Pradesh,Sultanpur,Maize,60.0,980.0,1100.0,1000.0,2012,4
326,2012-05-01,490136.0,Uttar Pradesh,Sultanpur,Maize,150.0,1025.0,1100.0,1065.0,2012,5
336,2012-06-01,504666.0,Uttar Pradesh,Sultanpur,Maize,200.0,1025.0,1100.0,1050.0,2012,6
349,2012-07-01,516023.0,Uttar Pradesh,Sultanpur,Maize,70.0,1025.0,1185.0,1150.0,2012,7
363,2012-08-01,526990.0,Uttar Pradesh,Sultanpur,Maize,120.0,1200.0,1275.0,1240.0,2012,8
379,2012-09-01,537445.0,Uttar Pradesh,Sultanpur,Maize,210.0,1365.0,1425.0,1380.0,2012,9
396,2012-10-01,548746.0,Uttar Pradesh,Sultanpur,Maize,300.0,1250.0,1350.0,1300.0,2012,10
411,2012-11-01,560300.0,Uttar Pradesh,Sultanpur,Maize,120.0,1330.0,1400.0,1350.0,2012,11
426,2012-12-01,568949.0,Uttar Pradesh,Sultanpur,Maize,60.0,1340.0,1400.0,1360.0,2012,12
443,2013-01-01,579088.0,Uttar Pradesh,Sultanpur,Maize,45.0,1350.0,1450.0,1380.0,2013,1
461,2013-02-01,589455.0,Uttar Pradesh,Sultanpur,Maize,70.0,1425.0,1500.0,1475.0,2013,2
476,2013-03-01,597643.0,Uttar Pradesh,Sultanpur,Maize,30.0,1525.0,1600.0,1540.0,2013,3
492,2013-04-01,607501.0,Uttar Pradesh,Sultanpur,Maize,100.0,1300.0,1375.0,1350.0,2013,4
506,2013-05-01,620511.0,Uttar Pradesh,Sultanpur,Maize,160.0,1330.0,1350.0,1345.0,2013,5
519,2013-06-01,633845.0,Uttar Pradesh,Sultanpur,Maize,800.0,1360.0,1400.0,1385.0,2013,6
528,2013-07-01,645611.0,Uttar Pradesh,Sultanpur,Maize,30.0,1375.0,1460.0,1400.0,2013,7
543,2013-08-01,657120.0,Uttar Pradesh,Sultanpur,Maize,300.0,1360.0,1400.0,1375.0,2013,8
560,2013-09-01,665372.0,Uttar Pradesh,Sultanpur,Maize,120.0,1375.0,1450.0,1400.0,2013,9
577,2013-10-01,676051.0,Uttar Pradesh,Sultanpur,Maize,350.0,1400.0,1475.0,1420.0,2013,10
595,2013-11-01,686208.0,Uttar Pradesh,Sultanpur,Maize,330.0,1500.0,1550.0,1515.0,2013,11
611,2013-12-01,694426.0,Uttar Pradesh,Sultanpur,Maize,130.0,1485.0,1550.0,1510.0,2013,12
623,2014-01-01,703137.0,Uttar Pradesh,Sultanpur,Maize,160.0,1480.0,1540.0,1500.0,2014,1
638,2014-02-01,713066.0,Uttar Pradesh,Sultanpur,Maize,140.0,1600.0,1650.0,1625.0,2014,2
654,2014-03-01,721748.0,Uttar Pradesh,Sultanpur,Maize,210.0,1600.0,1650.0,1615.0,2014,3
671,2014-04-01,731792.0,Uttar Pradesh,Sultanpur,Maize,100.0,1385.0,1500.0,1400.0,2014,4
688,2014-05-01,745681.0,Uttar Pradesh,Sultanpur,Maize,120.0,1360.0,1420.0,1400.0,2014,5
702,2014-06-01,757955.0,Uttar Pradesh,Sultanpur,Maize,80.0,1400.0,1450.0,1425.0,2014,6
718,2014-07-01,769545.0,Uttar Pradesh,Sultanpur,Maize,800.0,1360.0,1405.0,1400.0,2014,7
730,2014-08-01,781493.0,Uttar Pradesh,Sultanpur,Maize,250.0,1400.0,1425.0,1415.0,2014,8
747,2014-09-01,791965.0,Uttar Pradesh,Sultanpur,Maize,250.0,1400.0,1425.0,1410.0,2014,9
763,2014-10-01,803709.0,Uttar Pradesh,Sultanpur,Maize,180.0,1450.0,1500.0,1480.0,2014,10
769,2014-11-01,812660.0,Uttar Pradesh,Sultanpur,Maize,160.0,1475.0,1525.0,1500.0,2014,11
781,2014-12-01,824018.0,Uttar Pradesh,Sultanpur,Maize,200.0,1430.0,1460.0,1450.0,2014,12
798,2015-01-01,836296.0,Uttar Pradesh,Sultanpur,Maize,120.0,1530.0,1550.0,1540.0,2015,1
814,2015-02-01,846817.0,Uttar Pradesh,Sultanpur,Maize,80.0,1500.0,1580.0,1550.0,2015,2
830,2015-03-01,857154.0,Uttar Pradesh,Sultanpur,Maize,90.0,1400.0,1500.0,1460.0,2015,3
847,2015-04-01,868242.0,Uttar Pradesh,Sultanpur,Maize,100.0,1400.0,1500.0,1450.0,2015,4
861,2015-05-01,881985.0,Uttar Pradesh,Sultanpur,Maize,1000.0,1440.0,1460.0,1450.0,2015,5
877,2015-06-01,895973.0,Uttar Pradesh,Sultanpur,Maize,760.0,1435.0,1460.0,1450.0,2015,6
891,2015-07-01,908373.0,Uttar Pradesh,Sultanpur,Maize,90.0,1300.0,1450.0,1350.0,2015,7
906,2015-08-01,920639.0,Uttar Pradesh,Sultanpur,Maize,550.0,1350.0,0.0,1385.0,2015,8
922,2015-09-01,932518.0,Uttar Pradesh,Sultanpur,Maize,110.0,1350.0,1500.0,1450.0,2015,9
937,2015-10-01,944559.0,Uttar Pradesh,Sultanpur,Maize,130.0,1485.0,1525.0,1500.0,2015,10
952,2015-11-01,955257.0,Uttar Pradesh,Sultanpur,Maize,120.0,1500.0,1600.0,1550.0,2015,11
966,2015-12-01,965551.0,Uttar Pradesh,Sultanpur,Maize,200.0,1490.0,1525.0,1510.0,2015,12
980,2016-01-01,977554.0,Uttar Pradesh,Sultanpur,Maize,160.0,1500.0,1600.0,1550.0,2016,1
994,2016-02-01,987677.0,Uttar Pradesh,Sultanpur,Maize,100.0,1550.0,1600.0,1570.0,2016,2
1006,2016-03-01,996693.0,Uttar Pradesh,Sultanpur,Maize,165.0,1600.0,1650.0,1635.0,2016,3
1019,2016-04-01,1007657.0,Uttar Pradesh,Sultanpur,Maize,226.5,1500.0,1550.0,1530.0,2016,4
1030,2016-05-01,1020624.0,Uttar Pradesh,Sultanpur,Maize,150.0,1500.0,1600.0,1525.0,2016,5
1042,2016-06-01,1035609.0,Uttar Pradesh,Sultanpur,Maize,110.0,1500.0,1580.0,1560.0,2016,6
1055,2016-07-01,1049612.0,Uttar Pradesh,Sultanpur,Maize,675.0,1550.0,1565.0,1560.0,2016,7
1065,2016-08-01,1061006.0,Uttar Pradesh,Sultanpur,Maize,90.0,1550.0,1580.0,1560.0,2016,8
1078,2016-09-01,1071738.0,Uttar Pradesh,Sultanpur,Maize,573.5,1620.0,1640.0,1630.0,2016,9
1091,2016-10-01,1081759.0,Uttar Pradesh,Sultanpur,Maize,120.0,1600.0,1700.0,1650.0,2016,10
1102,2016-11-01,1091968.0,Uttar Pradesh,Sultanpur,Maize,100.0,1680.0,1750.0,1700.0,2016,11
1117,2016-12-01,1101522.0,Uttar Pradesh,Sultanpur,Maize,181.0,1710.0,1750.0,1730.0,2016,12
1130,2017-01-01,1111566.0,Uttar Pradesh,Sultanpur,Maize,150.0,1700.0,1900.0,1800.0,2017,1
1148,2017-02-01,1122659.0,Uttar Pradesh,Sultanpur,Maize,100.0,1700.0,1800.0,1750.0,2017,2
1163,2017-03-01,1132972.0,Uttar Pradesh,Sultanpur,Maize,90.0,1600.0,1750.0,1700.0,2017,3
1179,2017-04-01,1145616.0,Uttar Pradesh,Sultanpur,Maize,155.0,1610.0,1640.0,1625.0,2017,4
1188,2017-05-01,1162961.0,Uttar Pradesh,Sultanpur,Maize,100.0,1600.0,1675.0,1625.0,2017,5
1207,2017-06-01,1175618.0,Uttar Pradesh,Sultanpur,Maize,43.5,1620.0,1630.0,1625.0,2017,6
1222,2017-07-01,,Uttar Pradesh,Sultanpur,Maize,177.53947368421052,1252.5438596491229,1305.8333333333333,1281.2719298245613,2017,7
1223,2017-08-01,,Uttar Pradesh,Sultanpur,Maize,177.53947368421052,1252.5438596491229,1305.8333333333333,1281.2719298245613,2017,8
1224,2017-09-01,,Uttar Pradesh,Sultanpur,Maize,177.53947368421052,1252.5438596491229,1305.8333333333333,1281.2719298245613,2017,9
1225,2017-10-01,,Uttar Pradesh,Sultanpur,Maize,177.53947368421052,1252.5438596491229,1305.8333333333333,1281.2719298245613,2017,10
1226,2017-11-01,,Uttar Pradesh,Sultanpur,Maize,177.53947368421052,1252.5438596491229,1305.8333333333333,1281.2719298245613,2017,11
1227,2017-12-01,,Uttar Pradesh,Sultanpur,Maize,177.53947368421052,1252.5438596491229,1305.8333333333333,1281.2719298245613,2017,12
