,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,259.0,Uttar Pradesh,Unnao,Maize,36.0,0.0,0.0,920.0,2008,1
28,2008-02-01,8613.0,Uttar Pradesh,Unnao,Maize,186.8,0.0,0.0,970.0,2008,2
71,2008-03-01,17059.0,Uttar Pradesh,Unnao,Maize,2.5,1000.0,1025.0,1015.0,2008,3
95,2008-04-01,25815.0,Uttar Pradesh,Unnao,Maize,3.5,970.0,990.0,980.0,2008,4
116,2008-05-01,37114.0,Uttar Pradesh,Unnao,Maize,5.0,995.0,1010.0,1000.0,2008,5
159,2008-06-01,48517.0,Uttar Pradesh,Unnao,Maize,32.5,990.0,1005.0,1000.0,2008,6
172,2008-07-01,57419.0,Uttar Pradesh,Unnao,Maize,171.0,0.0,0.0,980.0,2008,7
225,2008-08-01,65898.0,Uttar Pradesh,Unnao,Maize,115.6,0.0,0.0,980.0,2008,8
262,2008-09-01,72510.0,Uttar Pradesh,Unnao,Maize,5.0,940.0,960.0,950.0,2008,9
288,2008-10-01,79089.0,Uttar Pradesh,Unnao,Maize,101.6,0.0,0.0,940.0,2008,10
335,2008-11-01,85470.0,Uttar Pradesh,Unnao,Maize,38.6,0.0,0.0,935.0,2008,11
394,2008-12-01,92600.0,Uttar Pradesh,Unnao,Maize,86.0,0.0,0.0,965.0,2008,12
445,2009-01-01,100086.0,Uttar Pradesh,Unnao,Maize,3.0,1000.0,1015.0,1005.0,2009,1
476,2009-02-01,107477.0,Uttar Pradesh,Unnao,Maize,37.0,0.0,0.0,1020.0,2009,2
527,2009-03-01,114924.0,Uttar Pradesh,Unnao,Maize,85.0,0.0,0.0,1080.0,2009,3
577,2009-04-01,122821.0,Uttar Pradesh,Unnao,Maize,7.0,990.0,1010.0,1000.0,2009,4
602,2009-05-01,134269.0,Uttar Pradesh,Unnao,Maize,125.5,0.0,0.0,1080.0,2009,5
652,2009-06-01,142686.0,Uttar Pradesh,Unnao,Maize,180.0,0.0,0.0,1080.0,2009,6
702,2009-07-01,149957.0,Uttar Pradesh,Unnao,Maize,35.0,940.0,960.0,950.0,2009,7
772,2009-08-01,157665.0,Uttar Pradesh,Unnao,Maize,155.0,0.0,0.0,970.0,2009,8
839,2009-09-01,165429.0,Uttar Pradesh,Unnao,Maize,211.0,0.0,0.0,1015.0,2009,9
915,2009-10-01,174483.0,Uttar Pradesh,Unnao,Maize,4.0,1050.0,1060.0,1055.0,2009,10
985,2009-11-01,183447.0,Uttar Pradesh,Unnao,Maize,94.6,0.0,0.0,1200.0,2009,11
1062,2009-12-01,193403.0,Uttar Pradesh,Unnao,Maize,127.9,0.0,0.0,1180.0,2009,12
1102,2010-01-01,202929.0,Uttar Pradesh,Unnao,Maize,4.0,1220.0,1240.0,1225.0,2010,1
1150,2010-02-01,211834.0,Uttar Pradesh,Unnao,Maize,167.8,0.0,0.0,1230.0,2010,2
1198,2010-03-01,221366.0,Uttar Pradesh,Unnao,Maize,75.0,0.0,0.0,1180.0,2010,3
1254,2010-04-01,230836.0,Uttar Pradesh,Unnao,Maize,2.0,1110.0,1140.0,1130.0,2010,4
1297,2010-05-01,245088.0,Uttar Pradesh,Unnao,Maize,33.9,0.0,0.0,980.0,2010,5
1369,2010-06-01,256513.0,Uttar Pradesh,Unnao,Maize,387.5,0.0,0.0,1100.0,2010,6
1437,2010-07-01,266742.0,Uttar Pradesh,Unnao,Maize,457.0,0.0,0.0,1160.0,2010,7
1502,2010-08-01,276452.0,Uttar Pradesh,Unnao,Maize,105.0,0.0,0.0,1100.0,2010,8
1551,2010-09-01,286282.0,Uttar Pradesh,Unnao,Maize,66.5,0.0,0.0,1090.0,2010,9
1621,2010-10-01,295963.0,Uttar Pradesh,Unnao,Maize,17.5,0.0,0.0,1110.0,2010,10
1680,2010-11-01,306069.0,Uttar Pradesh,Unnao,Maize,137.2,0.0,0.0,1130.0,2010,11
1747,2010-12-01,314611.0,Uttar Pradesh,Unnao,Maize,144.0,0.0,0.0,1120.0,2010,12
1817,2011-01-01,324174.0,Uttar Pradesh,Unnao,Maize,415.0,0.0,0.0,1180.0,2011,1
1901,2011-02-01,333993.0,Uttar Pradesh,Unnao,Maize,169.5,0.0,0.0,1210.0,2011,2
1958,2011-03-01,343328.0,Uttar Pradesh,Unnao,Maize,294.0,0.0,0.0,1180.0,2011,3
2039,2011-04-01,353241.0,Uttar Pradesh,Unnao,Maize,107.1,0.0,0.0,1200.0,2011,4
2093,2011-05-01,365661.0,Uttar Pradesh,Unnao,Maize,331.6,0.0,0.0,1120.0,2011,5
2174,2011-06-01,378937.0,Uttar Pradesh,Unnao,Maize,380.0,0.0,0.0,1120.0,2011,6
2249,2011-07-01,390065.0,Uttar Pradesh,Unnao,Maize,199.0,0.0,0.0,1100.0,2011,7
2331,2011-08-01,401249.0,Uttar Pradesh,Unnao,Maize,161.5,0.0,0.0,1040.0,2011,8
2409,2011-09-01,411043.0,Uttar Pradesh,Unnao,Maize,15.0,0.0,0.0,1025.0,2011,9
2471,2011-10-01,421646.0,Uttar Pradesh,Unnao,Maize,9.0,0.0,0.0,1000.0,2011,10
2526,2011-11-01,430292.0,Uttar Pradesh,Unnao,Maize,95.0,0.0,0.0,950.0,2011,11
2592,2011-12-01,441279.0,Uttar Pradesh,Unnao,Maize,11.0,950.0,1020.0,975.0,2011,12
2652,2012-01-01,451139.0,Uttar Pradesh,Unnao,Maize,125.0,975.0,990.0,980.0,2012,1
2681,2012-02-01,460366.0,Uttar Pradesh,Unnao,Maize,55.4,1040.0,1055.0,1045.0,2012,2
2706,2012-03-01,468552.0,Uttar Pradesh,Unnao,Maize,71.0,1025.0,1040.0,1030.0,2012,3
2728,2012-04-01,477509.0,Uttar Pradesh,Unnao,Maize,22.5,1020.0,1035.0,1025.0,2012,4
2766,2012-05-01,490137.0,Uttar Pradesh,Unnao,Maize,304.9,0.0,0.0,1060.0,2012,5
2805,2012-06-01,504250.0,Uttar Pradesh,Unnao,Maize,2921.0,1030.0,1070.0,1050.0,2012,6
2858,2012-07-01,515201.0,Uttar Pradesh,Unnao,Maize,406.5,1090.0,1130.0,1110.0,2012,7
2908,2012-08-01,526991.0,Uttar Pradesh,Unnao,Maize,281.3,1225.0,1275.0,1250.0,2012,8
2959,2012-09-01,537446.0,Uttar Pradesh,Unnao,Maize,324.0,1375.0,1425.0,1400.0,2012,9
3009,2012-10-01,548572.0,Uttar Pradesh,Unnao,Maize,101.7,1275.0,1325.0,1300.0,2012,10
3064,2012-11-01,559436.0,Uttar Pradesh,Unnao,Maize,255.0,1385.0,1400.0,1395.0,2012,11
3110,2012-12-01,568950.0,Uttar Pradesh,Unnao,Maize,153.5,1390.0,1430.0,1410.0,2012,12
3160,2013-01-01,579089.0,Uttar Pradesh,Unnao,Maize,123.0,1380.0,1420.0,1400.0,2013,1
3209,2013-02-01,589065.0,Uttar Pradesh,Unnao,Maize,223.6,1410.0,1450.0,1430.0,2013,2
3253,2013-03-01,597644.0,Uttar Pradesh,Unnao,Maize,265.7,1450.0,1490.0,1470.0,2013,3
3298,2013-04-01,607078.0,Uttar Pradesh,Unnao,Maize,54.0,1340.0,1380.0,1360.0,2013,4
3336,2013-05-01,620512.0,Uttar Pradesh,Unnao,Maize,483.6,1330.0,1360.0,1350.0,2013,5
3382,2013-06-01,633846.0,Uttar Pradesh,Unnao,Maize,322.5,1375.0,1425.0,1400.0,2013,6
3433,2013-07-01,645176.0,Uttar Pradesh,Unnao,Maize,256.3,1400.0,1430.0,1410.0,2013,7
3487,2013-08-01,656358.0,Uttar Pradesh,Unnao,Maize,252.0,1400.0,1420.0,1410.0,2013,8
3542,2013-09-01,665373.0,Uttar Pradesh,Unnao,Maize,182.5,1370.0,1400.0,1385.0,2013,9
3598,2013-10-01,676052.0,Uttar Pradesh,Unnao,Maize,264.0,1390.0,1420.0,1405.0,2013,10
3656,2013-11-01,686048.0,Uttar Pradesh,Unnao,Maize,257.8,1425.0,1475.0,1450.0,2013,11
3709,2013-12-01,694427.0,Uttar Pradesh,Unnao,Maize,146.5,1500.0,1550.0,1525.0,2013,12
3767,2014-01-01,703138.0,Uttar Pradesh,Unnao,Maize,82.1,1520.0,1550.0,1530.0,2014,1
3818,2014-02-01,713067.0,Uttar Pradesh,Unnao,Maize,6.0,1615.0,1630.0,1625.0,2014,2
3847,2014-03-01,721749.0,Uttar Pradesh,Unnao,Maize,10.6,1645.0,1655.0,1650.0,2014,3
3874,2014-04-01,731793.0,Uttar Pradesh,Unnao,Maize,4.0,1510.0,1525.0,1520.0,2014,4
3900,2014-05-01,744395.0,Uttar Pradesh,Unnao,Maize,18.5,1390.0,1410.0,1400.0,2014,5
3925,2014-06-01,757956.0,Uttar Pradesh,Unnao,Maize,450.0,1380.0,1415.0,1400.0,2014,6
3954,2014-07-01,769546.0,Uttar Pradesh,Unnao,Maize,200.0,1390.0,1410.0,1400.0,2014,7
3986,2014-08-01,781068.0,Uttar Pradesh,Unnao,Maize,73.5,1410.0,1435.0,1425.0,2014,8
4016,2014-09-01,791530.0,Uttar Pradesh,Unnao,Maize,529.7,1425.0,1440.0,1430.0,2014,9
4043,2014-10-01,803020.0,Uttar Pradesh,Unnao,Maize,251.0,1445.0,1460.0,1455.0,2014,10
4070,2014-11-01,812777.0,Uttar Pradesh,Unnao,Maize,101.0,1460.0,1470.0,1465.0,2014,11
4097,2014-12-01,823628.0,Uttar Pradesh,Unnao,Maize,35.5,1450.0,1465.0,1460.0,2014,12
4129,2015-01-01,835463.0,Uttar Pradesh,Unnao,Maize,26.8,1580.0,1600.0,1590.0,2015,1
4166,2015-02-01,846818.0,Uttar Pradesh,Unnao,Maize,231.6,0.0,0.0,1505.0,2015,2
4211,2015-03-01,857546.0,Uttar Pradesh,Unnao,Maize,85.0,0.0,0.0,1400.0,2015,3
4257,2015-04-01,868243.0,Uttar Pradesh,Unnao,Maize,21.7,0.0,0.0,1450.0,2015,4
4294,2015-05-01,881417.0,Uttar Pradesh,Unnao,Maize,3827.0,0.0,0.0,1450.0,2015,5
4343,2015-06-01,895527.0,Uttar Pradesh,Unnao,Maize,134.8,0.0,0.0,1450.0,2015,6
4398,2015-07-01,908374.0,Uttar Pradesh,Unnao,Maize,51.8,0.0,0.0,1375.0,2015,7
4435,2015-08-01,920778.0,Uttar Pradesh,Unnao,Maize,152.4,1370.0,1390.0,1380.0,2015,8
4459,2015-09-01,932083.0,Uttar Pradesh,Unnao,Maize,90.4,1390.0,1405.0,1400.0,2015,9
4487,2015-10-01,943858.0,Uttar Pradesh,Unnao,Maize,50.6,1520.0,1530.0,1525.0,2015,10
4515,2015-11-01,955258.0,Uttar Pradesh,Unnao,Maize,60.4,1560.0,1570.0,1565.0,2015,11
4533,2015-12-01,965552.0,Uttar Pradesh,Unnao,Maize,67.0,1550.0,1565.0,1560.0,2015,12
4549,2016-01-01,978381.0,Uttar Pradesh,Unnao,Maize,55.5,1570.0,1600.0,1590.0,2016,1
4563,2016-02-01,986864.0,Uttar Pradesh,Unnao,Maize,46.5,1600.0,1615.0,1610.0,2016,2
4580,2016-03-01,996694.0,Uttar Pradesh,Unnao,Maize,22.4,1610.0,1620.0,1615.0,2016,3
4599,2016-04-01,1007658.0,Uttar Pradesh,Unnao,Maize,9.5,1520.0,1530.0,1525.0,2016,4
4607,2016-05-01,1020625.0,Uttar Pradesh,Unnao,Maize,245.6,1520.0,1530.0,1525.0,2016,5
4628,2016-06-01,1035610.0,Uttar Pradesh,Unnao,Maize,85.1,1575.0,1600.0,1590.0,2016,6
4655,2016-07-01,1049182.0,Uttar Pradesh,Unnao,Maize,67.0,1645.0,1660.0,1650.0,2016,7
4684,2016-08-01,1061007.0,Uttar Pradesh,Unnao,Maize,47.0,1660.0,1670.0,1665.0,2016,8
4685,2016-09-01,1071868.0,Uttar Pradesh,Unnao,Maize,24.6,1680.0,1690.0,1685.0,2016,9
4687,2016-10-01,,Uttar Pradesh,Unnao,Maize,196.84159292035395,848.5398230088496,865.7256637168142,1284.9557522123894,2016,10
4688,2016-11-01,1091605.0,Uttar Pradesh,Unnao,Maize,34.6,1725.0,1750.0,1735.0,2016,11
4734,2016-12-01,1100677.0,Uttar Pradesh,Unnao,Maize,39.8,1730.0,1745.0,1740.0,2016,12
4780,2017-01-01,1111995.0,Uttar Pradesh,Unnao,Maize,95.0,1650.0,1750.0,1700.0,2017,1
4828,2017-02-01,1122660.0,Uttar Pradesh,Unnao,Maize,250.0,1650.0,1760.0,1705.0,2017,2
4870,2017-03-01,1132973.0,Uttar Pradesh,Unnao,Maize,775.0,1550.0,1650.0,1600.0,2017,3
4900,2017-04-01,1145617.0,Uttar Pradesh,Unnao,Maize,17.0,1625.0,1650.0,1630.0,2017,4
4915,2017-05-01,1160016.0,Uttar Pradesh,Unnao,Maize,295.0,1625.0,1627.0,1625.0,2017,5
4938,2017-06-01,1174811.0,Uttar Pradesh,Unnao,Maize,84.6,1585.0,1625.0,1625.0,2017,6
4972,2017-07-01,,Uttar Pradesh,Unnao,Maize,196.84159292035395,848.5398230088496,865.7256637168142,1284.9557522123894,2017,7
4973,2017-08-01,,Uttar Pradesh,Unnao,Maize,196.84159292035395,848.5398230088496,865.7256637168142,1284.9557522123894,2017,8
4974,2017-09-01,,Uttar Pradesh,Unnao,Maize,196.84159292035395,848.5398230088496,865.7256637168142,1284.9557522123894,2017,9
