,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,261.0,Uttrakhand,Garhwal (Pauri),Maize,20.9,900.0,925.0,0.0,2008,1
4,2008-02-01,13130.0,Uttrakhand,Garhwal (Pauri),Maize,4.8,900.0,900.0,900.0,2008,2
8,2008-03-01,20888.0,Uttrakhand,Garhwal (Pauri),Maize,38.0,880.0,925.0,925.0,2008,3
10,2008-04-01,27225.0,Uttrakhand,Garhwal (Pauri),Maize,10.0,1115.0,1115.0,1115.0,2008,4
16,2008-05-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2008,5
17,2008-06-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2008,6
18,2008-07-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2008,7
19,2008-08-01,68820.0,Uttrakhand,Garhwal (Pauri),Maize,36.7,0.0,0.0,1040.0,2008,8
21,2008-09-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2008,9
22,2008-10-01,82964.0,Uttrakhand,Garhwal (Pauri),Maize,5.0,1000.0,1050.0,1025.0,2008,10
23,2008-11-01,90395.0,Uttrakhand,Garhwal (Pauri),Maize,6.0,1050.0,1050.0,1050.0,2008,11
24,2008-12-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2008,12
25,2009-01-01,102978.0,Uttrakhand,Garhwal (Pauri),Maize,6.0,1050.0,1050.0,1050.0,2009,1
30,2009-02-01,108073.0,Uttrakhand,Garhwal (Pauri),Maize,4.0,1050.0,1050.0,1050.0,2009,2
43,2009-03-01,116913.0,Uttrakhand,Garhwal (Pauri),Maize,1.0,1050.0,1050.0,1050.0,2009,3
47,2009-04-01,122824.0,Uttrakhand,Garhwal (Pauri),Maize,1.0,1100.0,1100.0,1100.0,2009,4
65,2009-05-01,134273.0,Uttrakhand,Garhwal (Pauri),Maize,24.1,1080.0,1080.0,1080.0,2009,5
81,2009-06-01,142966.0,Uttrakhand,Garhwal (Pauri),Maize,5.0,1080.0,1080.0,1080.0,2009,6
86,2009-07-01,153160.0,Uttrakhand,Garhwal (Pauri),Maize,3.3,1080.0,1080.0,1080.0,2009,7
91,2009-08-01,158053.0,Uttrakhand,Garhwal (Pauri),Maize,1.2,1080.0,1080.0,1080.0,2009,8
94,2009-09-01,166353.0,Uttrakhand,Garhwal (Pauri),Maize,1.2,1080.0,1080.0,1080.0,2009,9
100,2009-10-01,176741.0,Uttrakhand,Garhwal (Pauri),Maize,1.0,1080.0,1080.0,1080.0,2009,10
109,2009-11-01,184473.0,Uttrakhand,Garhwal (Pauri),Maize,4.0,1100.0,1150.0,1150.0,2009,11
123,2009-12-01,194174.0,Uttrakhand,Garhwal (Pauri),Maize,3.0,1200.0,1200.0,1200.0,2009,12
132,2010-01-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2010,1
133,2010-02-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2010,2
134,2010-03-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2010,3
135,2010-04-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2010,4
136,2010-05-01,246823.0,Uttrakhand,Garhwal (Pauri),Maize,4.0,1100.0,1110.0,1100.0,2010,5
156,2010-06-01,256930.0,Uttrakhand,Garhwal (Pauri),Maize,20.0,1100.0,1100.0,1100.0,2010,6
169,2010-07-01,270076.0,Uttrakhand,Garhwal (Pauri),Maize,2.0,1100.0,1100.0,1100.0,2010,7
181,2010-08-01,277574.0,Uttrakhand,Garhwal (Pauri),Maize,1.2,1100.0,1100.0,1100.0,2010,8
196,2010-09-01,287224.0,Uttrakhand,Garhwal (Pauri),Maize,2.0,1130.0,1130.0,1130.0,2010,9
208,2010-10-01,296287.0,Uttrakhand,Garhwal (Pauri),Maize,21.2,1200.0,1200.0,1200.0,2010,10
215,2010-11-01,307676.0,Uttrakhand,Garhwal (Pauri),Maize,2.5,1150.0,1150.0,1150.0,2010,11
229,2010-12-01,315016.0,Uttrakhand,Garhwal (Pauri),Maize,5.0,1200.0,1200.0,1200.0,2010,12
247,2011-01-01,325390.0,Uttrakhand,Garhwal (Pauri),Maize,4.0,1200.0,1200.0,1200.0,2011,1
265,2011-02-01,334355.0,Uttrakhand,Garhwal (Pauri),Maize,2.0,1200.0,1200.0,1200.0,2011,2
282,2011-03-01,343504.0,Uttrakhand,Garhwal (Pauri),Maize,1.4,1200.0,1200.0,1200.0,2011,3
300,2011-04-01,353587.0,Uttrakhand,Garhwal (Pauri),Maize,3.0,1200.0,1200.0,1200.0,2011,4
310,2011-05-01,367794.0,Uttrakhand,Garhwal (Pauri),Maize,3.0,1120.0,1120.0,1120.0,2011,5
326,2011-06-01,382807.0,Uttrakhand,Garhwal (Pauri),Maize,2.5,1120.0,1120.0,1120.0,2011,6
330,2011-07-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2011,7
331,2011-08-01,401679.0,Uttrakhand,Garhwal (Pauri),Maize,21.4,1155.0,1155.0,1155.0,2011,8
347,2011-09-01,411816.0,Uttrakhand,Garhwal (Pauri),Maize,9.0,1165.0,1165.0,1165.0,2011,9
355,2011-10-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2011,10
356,2011-11-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2011,11
357,2011-12-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2011,12
358,2012-01-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,1
359,2012-02-01,464421.0,Uttrakhand,Garhwal (Pauri),Maize,18.0,1225.0,1225.0,1225.0,2012,2
360,2012-03-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,3
361,2012-04-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,4
362,2012-05-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,5
363,2012-06-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,6
364,2012-07-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,7
365,2012-08-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,8
366,2012-09-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,9
367,2012-10-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,10
368,2012-11-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,11
369,2012-12-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2012,12
370,2013-01-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2013,1
371,2013-02-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2013,2
372,2013-03-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2013,3
373,2013-04-01,614723.0,Uttrakhand,Garhwal (Pauri),Maize,3.0,1360.0,1360.0,1360.0,2013,4
376,2013-05-01,623450.0,Uttrakhand,Garhwal (Pauri),Maize,19.8,1400.0,1400.0,1400.0,2013,5
391,2013-06-01,633975.0,Uttrakhand,Garhwal (Pauri),Maize,22.35,1529.0,1529.0,1529.0,2013,6
401,2013-07-01,645179.0,Uttrakhand,Garhwal (Pauri),Maize,3.0,1350.0,1350.0,1350.0,2013,7
407,2013-08-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2013,8
408,2013-09-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2013,9
409,2013-10-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2013,10
410,2013-11-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2013,11
411,2013-12-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2013,12
412,2014-01-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,1
413,2014-02-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,2
414,2014-03-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,3
415,2014-04-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,4
416,2014-05-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,5
417,2014-06-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,6
418,2014-07-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,7
419,2014-08-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,8
420,2014-09-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,9
421,2014-10-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,10
422,2014-11-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,11
423,2014-12-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2014,12
424,2015-01-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,1
425,2015-02-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,2
426,2015-03-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,3
427,2015-04-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,4
428,2015-05-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,5
429,2015-06-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,6
430,2015-07-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,7
431,2015-08-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,8
432,2015-09-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,9
433,2015-10-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,10
434,2015-11-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,11
435,2015-12-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2015,12
436,2016-01-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,1
437,2016-02-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,2
438,2016-03-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,3
439,2016-04-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,4
440,2016-05-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,5
441,2016-06-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,6
442,2016-07-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,7
443,2016-08-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,8
444,2016-09-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,9
445,2016-10-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,10
446,2016-11-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,11
447,2016-12-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2016,12
448,2017-01-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,1
449,2017-02-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,2
450,2017-03-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,3
451,2017-04-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,4
452,2017-05-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,5
453,2017-06-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,6
454,2017-07-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,7
455,2017-08-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,8
456,2017-09-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,9
457,2017-10-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,10
458,2017-11-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,11
459,2017-12-01,,Uttrakhand,Garhwal (Pauri),Maize,8.66375,1104.475,1108.975,1110.975,2017,12
