,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,266.0,West Bengal,Bankura,Maize,60.0,1050.0,1100.0,1080.0,2008,1
47,2008-02-01,8619.0,West Bengal,Bankura,Maize,60.0,1100.0,1130.0,1110.0,2008,2
90,2008-03-01,17068.0,West Bengal,Bankura,Maize,35.0,1000.0,1030.0,1010.0,2008,3
133,2008-04-01,25141.0,West Bengal,Bankura,Maize,25.0,1070.0,1100.0,1090.0,2008,4
173,2008-05-01,37125.0,West Bengal,Bankura,Maize,30.0,900.0,1000.0,950.0,2008,5
212,2008-06-01,48521.0,West Bengal,Bankura,Maize,25.0,960.0,1060.0,1010.0,2008,6
258,2008-07-01,57427.0,West Bengal,Bankura,Maize,60.0,1000.0,1040.0,1020.0,2008,7
303,2008-08-01,65904.0,West Bengal,Bankura,Maize,60.0,1000.0,1040.0,1025.0,2008,8
347,2008-09-01,72228.0,West Bengal,Bankura,Maize,50.0,1010.0,1050.0,1025.0,2008,9
369,2008-10-01,79094.0,West Bengal,Bankura,Maize,50.0,1000.0,1050.0,1020.0,2008,10
379,2008-11-01,85479.0,West Bengal,Bankura,Maize,30.0,970.0,1030.0,1000.0,2008,11
416,2008-12-01,92607.0,West Bengal,Bankura,Maize,40.0,1040.0,1070.0,1050.0,2008,12
437,2009-01-01,100094.0,West Bengal,Bankura,Maize,30.0,1080.0,1150.0,1100.0,2009,1
465,2009-02-01,107483.0,West Bengal,Bankura,Maize,25.0,950.0,1050.0,1030.0,2009,2
510,2009-03-01,114928.0,West Bengal,Bankura,Maize,25.0,970.0,1060.0,1040.0,2009,3
547,2009-04-01,122826.0,West Bengal,Bankura,Maize,30.0,930.0,1020.0,1000.0,2009,4
589,2009-05-01,134278.0,West Bengal,Bankura,Maize,30.0,1010.0,1060.0,1030.0,2009,5
639,2009-06-01,142691.0,West Bengal,Bankura,Maize,70.0,965.0,1000.0,985.0,2009,6
680,2009-07-01,149964.0,West Bengal,Bankura,Maize,30.0,1030.0,1070.0,1050.0,2009,7
719,2009-08-01,157672.0,West Bengal,Bankura,Maize,30.0,1030.0,1080.0,1050.0,2009,8
