,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,1
1,2008-02-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,2
2,2008-03-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,3
3,2008-04-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,4
4,2008-05-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,5
5,2008-06-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,6
6,2008-07-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,7
7,2008-08-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,8
8,2008-09-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,9
9,2008-10-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,10
10,2008-11-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,11
11,2008-12-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2008,12
12,2009-01-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2009,1
13,2009-02-01,111245.0,West Bengal,Dakshin Dinajpur,Maize,15.0,1050.0,1070.0,1060.0,2009,2
27,2009-03-01,114929.0,West Bengal,Dakshin Dinajpur,Maize,4.0,1030.0,1060.0,1050.0,2009,3
56,2009-04-01,122828.0,West Bengal,Dakshin Dinajpur,Maize,2.0,910.0,975.0,955.0,2009,4
86,2009-05-01,134281.0,West Bengal,Dakshin Dinajpur,Maize,6.0,880.0,1000.0,970.0,2009,5
116,2009-06-01,142695.0,West Bengal,Dakshin Dinajpur,Maize,5.0,930.0,970.0,950.0,2009,6
146,2009-07-01,149966.0,West Bengal,Dakshin Dinajpur,Maize,3.0,900.0,970.0,950.0,2009,7
173,2009-08-01,157673.0,West Bengal,Dakshin Dinajpur,Maize,6.0,950.0,1040.0,1000.0,2009,8
204,2009-09-01,165436.0,West Bengal,Dakshin Dinajpur,Maize,5.0,1030.0,1080.0,1050.0,2009,9
234,2009-10-01,174487.0,West Bengal,Dakshin Dinajpur,Maize,10.0,1030.0,1090.0,1065.0,2009,10
241,2009-11-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2009,11
242,2009-12-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2009,12
243,2010-01-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2010,1
244,2010-02-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2010,2
245,2010-03-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2010,3
246,2010-04-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2010,4
247,2010-05-01,251851.0,West Bengal,Dakshin Dinajpur,Maize,15.0,975.0,1025.0,1000.0,2010,5
261,2010-06-01,256523.0,West Bengal,Dakshin Dinajpur,Maize,10.0,1025.0,1080.0,1050.0,2010,6
291,2010-07-01,267102.0,West Bengal,Dakshin Dinajpur,Maize,5.0,1075.0,1135.0,1120.0,2010,7
320,2010-08-01,276457.0,West Bengal,Dakshin Dinajpur,Maize,15.0,1120.0,1155.0,1135.0,2010,8
347,2010-09-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2010,9
348,2010-10-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2010,10
349,2010-11-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2010,11
350,2010-12-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2010,12
351,2011-01-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2011,1
352,2011-02-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2011,2
353,2011-03-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2011,3
354,2011-04-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2011,4
355,2011-05-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2011,5
356,2011-06-01,381575.0,West Bengal,Dakshin Dinajpur,Maize,10.0,940.0,1000.0,975.0,2011,6
379,2011-07-01,390076.0,West Bengal,Dakshin Dinajpur,Maize,1.5,945.0,1030.0,975.0,2011,7
410,2011-08-01,401255.0,West Bengal,Dakshin Dinajpur,Maize,1.0,950.0,1010.0,980.0,2011,8
436,2011-09-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2011,9
437,2011-10-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2011,10
438,2011-11-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2011,11
439,2011-12-01,,West Bengal,Dakshin Dinajpur,Maize,8.54782608695652,1212.608695652174,1280.0,1249.0217391304348,2011,12
440,2012-01-01,453464.0,West Bengal,Dakshin Dinajpur,Maize,5.0,1075.0,1130.0,1100.0,2012,1
461,2012-02-01,460374.0,West Bengal,Dakshin Dinajpur,Maize,4.0,1050.0,1100.0,1075.0,2012,2
484,2012-03-01,468561.0,West Bengal,Dakshin Dinajpur,Maize,5.0,1025.0,1060.0,1040.0,2012,3
515,2012-04-01,477513.0,West Bengal,Dakshin Dinajpur,Maize,10.0,990.0,1040.0,1010.0,2012,4
539,2012-05-01,490149.0,West Bengal,Dakshin Dinajpur,Maize,10.0,1050.0,1125.0,1100.0,2012,5
560,2012-06-01,504263.0,West Bengal,Dakshin Dinajpur,Maize,8.0,1100.0,1175.0,1140.0,2012,6
589,2012-07-01,515207.0,West Bengal,Dakshin Dinajpur,Maize,9.0,1100.0,1175.0,1140.0,2012,7
618,2012-08-01,527003.0,West Bengal,Dakshin Dinajpur,Maize,9.0,1275.0,1350.0,1325.0,2012,8
