,date,Unnamed: 0.1,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,269.0,West Bengal,Uttar Dinajpur,Maize,7.0,1020.0,1135.0,1050.0,2008,1
8,2008-02-01,9776.0,West Bengal,Uttar Dinajpur,Maize,5.0,1070.0,1120.0,1100.0,2008,2
19,2008-03-01,17530.0,West Bengal,Uttar Dinajpur,Maize,5.0,1090.0,1150.0,1120.0,2008,3
36,2008-04-01,25142.0,West Bengal,Uttar Dinajpur,Maize,9.0,970.0,1040.0,1010.0,2008,4
49,2008-05-01,38849.0,West Bengal,Uttar Dinajpur,Maize,21.0,945.0,985.0,965.0,2008,5
54,2008-06-01,49162.0,West Bengal,Uttar Dinajpur,Maize,170.0,1000.0,1050.0,1020.0,2008,6
59,2008-07-01,60040.0,West Bengal,Uttar Dinajpur,Maize,100.0,1050.0,1110.0,1090.0,2008,7
60,2008-08-01,,West Bengal,Uttar Dinajpur,Maize,15.12857142857143,1304.0625,1366.205357142857,1335.4017857142858,2008,8
61,2008-09-01,,West Bengal,Uttar Dinajpur,Maize,15.12857142857143,1304.0625,1366.205357142857,1335.4017857142858,2008,9
62,2008-10-01,84176.0,West Bengal,Uttar Dinajpur,Maize,100.0,940.0,1060.0,1000.0,2008,10
65,2008-11-01,86691.0,West Bengal,Uttar Dinajpur,Maize,60.0,960.0,1030.0,1000.0,2008,11
74,2008-12-01,92613.0,West Bengal,Uttar Dinajpur,Maize,60.0,960.0,1040.0,1000.0,2008,12
84,2009-01-01,100099.0,West Bengal,Uttar Dinajpur,Maize,100.0,1060.0,1150.0,1100.0,2009,1
97,2009-02-01,107775.0,West Bengal,Uttar Dinajpur,Maize,50.0,1050.0,1150.0,1100.0,2009,2
104,2009-03-01,115279.0,West Bengal,Uttar Dinajpur,Maize,5.0,860.0,930.0,900.0,2009,3
113,2009-04-01,122832.0,West Bengal,Uttar Dinajpur,Maize,12.0,860.0,950.0,900.0,2009,4
129,2009-05-01,135283.0,West Bengal,Uttar Dinajpur,Maize,7.5,940.0,970.0,950.0,2009,5
150,2009-06-01,142975.0,West Bengal,Uttar Dinajpur,Maize,150.0,930.0,980.0,960.0,2009,6
181,2009-07-01,150243.0,West Bengal,Uttar Dinajpur,Maize,9.5,950.0,1000.0,980.0,2009,7
199,2009-08-01,157675.0,West Bengal,Uttar Dinajpur,Maize,30.0,980.0,1040.0,1015.0,2009,8
227,2009-09-01,166058.0,West Bengal,Uttar Dinajpur,Maize,25.0,1010.0,1100.0,1070.0,2009,9
245,2009-10-01,174491.0,West Bengal,Uttar Dinajpur,Maize,7.0,1070.0,1120.0,1100.0,2009,10
286,2009-11-01,183456.0,West Bengal,Uttar Dinajpur,Maize,30.0,1225.0,1275.0,1250.0,2009,11
312,2009-12-01,193413.0,West Bengal,Uttar Dinajpur,Maize,0.8,1270.0,1300.0,1280.0,2009,12
372,2010-01-01,202942.0,West Bengal,Uttar Dinajpur,Maize,8.0,1280.0,1320.0,1300.0,2010,1
461,2010-02-01,211846.0,West Bengal,Uttar Dinajpur,Maize,8.0,1250.0,1320.0,1295.0,2010,2
538,2010-03-01,220674.0,West Bengal,Uttar Dinajpur,Maize,8.0,1150.0,1200.0,1175.0,2010,3
621,2010-04-01,230846.0,West Bengal,Uttar Dinajpur,Maize,22.0,870.0,920.0,900.0,2010,4
650,2010-05-01,245100.0,West Bengal,Uttar Dinajpur,Maize,20.0,950.0,1000.0,980.0,2010,5
711,2010-06-01,256527.0,West Bengal,Uttar Dinajpur,Maize,8.0,900.0,940.0,925.0,2010,6
788,2010-07-01,266754.0,West Bengal,Uttar Dinajpur,Maize,8.4,1060.0,1080.0,1070.0,2010,7
869,2010-08-01,276460.0,West Bengal,Uttar Dinajpur,Maize,0.7,1110.0,1160.0,1135.0,2010,8
938,2010-09-01,286295.0,West Bengal,Uttar Dinajpur,Maize,6.0,1090.0,1130.0,1100.0,2010,9
1011,2010-10-01,295977.0,West Bengal,Uttar Dinajpur,Maize,8.5,1070.0,1110.0,1085.0,2010,10
1060,2010-11-01,306077.0,West Bengal,Uttar Dinajpur,Maize,3.0,1220.0,1275.0,1250.0,2010,11
1131,2010-12-01,314625.0,West Bengal,Uttar Dinajpur,Maize,7.0,1065.0,1100.0,1085.0,2010,12
1221,2011-01-01,324188.0,West Bengal,Uttar Dinajpur,Maize,8.0,1080.0,1120.0,1095.0,2011,1
