,Unnamed: 0,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,0,2008-01-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,1
1,1,2008-02-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,2
2,2,2008-03-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,3
3,3,2008-04-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,4
4,4,2008-05-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,5
5,5,2008-06-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,6
6,6,2008-07-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,7
7,7,2008-08-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,8
8,8,2008-09-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,9
9,9,2008-10-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,10
10,10,2008-11-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,11
11,11,2008-12-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2008,12
12,12,2009-01-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,1
13,13,2009-02-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,2
14,14,2009-03-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,3
15,15,2009-04-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,4
16,16,2009-05-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,5
17,17,2009-06-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,6
18,18,2009-07-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,7
19,19,2009-08-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,8
20,20,2009-09-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,9
21,21,2009-10-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,10
22,22,2009-11-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,11
23,23,2009-12-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2009,12
24,24,2010-01-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2010,1
25,25,2010-02-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2010,2
26,26,2010-03-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2010,3
27,27,2010-04-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2010,4
28,28,2010-05-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2010,5
29,29,2010-06-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2010,6
30,30,2010-07-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2010,7
31,31,2010-08-01,Karnataka,Visakhapatnam,Wheat,174.75397727272727,,,,2010,8
32,32,2010-09-01,Karnataka,Visakhapatnam,Wheat,1.0,1800.0,2000.0,1900.0,2010,9
54,33,2010-10-01,Karnataka,Visakhapatnam,Wheat,1.0,1850.0,1950.0,1900.0,2010,10
85,34,2010-11-01,Karnataka,Visakhapatnam,Wheat,1.0,1800.0,1900.0,1850.0,2010,11
116,35,2010-12-01,Karnataka,Visakhapatnam,Wheat,1.0,2000.0,2100.0,2050.0,2010,12
125,36,2011-01-01,Karnataka,Visakhapatnam,Wheat,1.0,1800.0,1900.0,1850.0,2011,1
154,37,2011-02-01,Karnataka,Visakhapatnam,Wheat,1.0,1900.0,2000.0,1950.0,2011,2
179,38,2011-03-01,Karnataka,Visakhapatnam,Wheat,1.0,1950.0,2050.0,2000.0,2011,3
209,39,2011-04-01,Karnataka,Visakhapatnam,Wheat,1.0,2000.0,2100.0,2050.0,2011,4
239,40,2011-05-01,Karnataka,Visakhapatnam,Wheat,1.0,1950.0,2050.0,2000.0,2011,5
270,41,2011-06-01,Karnataka,Visakhapatnam,Wheat,0.1,1950.0,2500.0,2000.0,2011,6
299,42,2011-07-01,Karnataka,Visakhapatnam,Wheat,0.1,1650.0,1750.0,1700.0,2011,7
326,43,2011-08-01,Karnataka,Visakhapatnam,Wheat,0.1,1700.0,1800.0,1750.0,2011,8
354,44,2011-09-01,Karnataka,Visakhapatnam,Wheat,0.1,1750.0,1850.0,1800.0,2011,9
384,45,2011-10-01,Karnataka,Visakhapatnam,Wheat,0.1,1750.0,1850.0,1800.0,2011,10
414,46,2011-11-01,Karnataka,Visakhapatnam,Wheat,0.1,1750.0,1850.0,1800.0,2011,11
444,47,2011-12-01,Karnataka,Visakhapatnam,Wheat,0.1,2350.0,2550.0,2450.0,2011,12
475,48,2012-01-01,Karnataka,Visakhapatnam,Wheat,0.1,1850.0,2050.0,1950.0,2012,1
504,49,2012-02-01,Karnataka,Visakhapatnam,Wheat,0.1,1850.0,2050.0,1950.0,2012,2
532,50,2012-03-01,Karnataka,Visakhapatnam,Wheat,0.1,1850.0,2050.0,1950.0,2012,3
556,51,2012-04-01,Karnataka,Visakhapatnam,Wheat,0.1,1750.0,1950.0,1850.0,2012,4
583,52,2012-05-01,Karnataka,Visakhapatnam,Wheat,0.1,1850.0,2050.0,1950.0,2012,5
614,53,2012-06-01,Karnataka,Visakhapatnam,Wheat,0.1,1850.0,2050.0,1950.0,2012,6
638,54,2012-07-01,Karnataka,Visakhapatnam,Wheat,0.1,1850.0,2050.0,1950.0,2012,7
668,55,2012-08-01,Karnataka,Visakhapatnam,Wheat,0.1,1850.0,2050.0,1950.0,2012,8
698,56,2012-09-01,Karnataka,Visakhapatnam,Wheat,0.1,2200.0,2300.0,2250.0,2012,9
728,57,2012-10-01,Karnataka,Visakhapatnam,Wheat,0.1,2100.0,2300.0,2200.0,2012,10
759,58,2012-11-01,Karnataka,Visakhapatnam,Wheat,0.1,2100.0,2300.0,2200.0,2012,11
787,59,2012-12-01,Karnataka,Visakhapatnam,Wheat,0.1,2100.0,2300.0,2200.0,2012,12
816,60,2013-01-01,Karnataka,Visakhapatnam,Wheat,0.1,2100.0,2300.0,2200.0,2013,1
842,61,2013-02-01,Karnataka,Visakhapatnam,Wheat,0.1,2100.0,2300.0,2200.0,2013,2
