,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
0,2008-01-01,Delhi,Delhi,Wheat,90.6,1000.0,1030.0,1020.0,2008,1
68,2008-02-01,Delhi,Delhi,Wheat,151.2,1063.0,1100.0,1081.0,2008,2
132,2008-03-01,Delhi,Delhi,Wheat,95.01,1040.0,1085.0,1062.0,2008,3
204,2008-04-01,Delhi,Delhi,Wheat,60.09,1025.0,1073.0,1049.0,2008,4
264,2008-05-01,Delhi,Delhi,Wheat,1047.3,1000.0,1100.0,1040.0,2008,5
371,2008-06-01,Delhi,Delhi,Wheat,257.3,1000.0,1080.0,1050.0,2008,6
445,2008-07-01,Delhi,Delhi,Wheat,304.2,1020.0,1100.0,1040.0,2008,7
508,2008-08-01,Delhi,Delhi,Wheat,243.2,1010.0,1065.0,1030.0,2008,8
564,2008-09-01,Delhi,Delhi,Wheat,140.2,950.0,1050.0,1010.0,2008,9
618,2008-10-01,Delhi,Delhi,Wheat,348.9,1020.0,1100.0,1050.0,2008,10
671,2008-11-01,Delhi,Delhi,Wheat,69.6,1040.0,1100.0,1060.0,2008,11
722,2008-12-01,Delhi,Delhi,Wheat,71.3,1080.0,1155.0,1110.0,2008,12
778,2009-01-01,Delhi,Delhi,Wheat,83.6,1070.0,1160.0,1135.0,2009,1
835,2009-02-01,Delhi,Delhi,Wheat,102.4,1080.0,1230.0,1150.0,2009,2
886,2009-03-01,Delhi,Delhi,Wheat,51.0,1110.0,1200.0,1140.0,2009,3
945,2009-04-01,Delhi,Delhi,Wheat,1.5,1600.0,1800.0,1700.0,2009,4
1020,2009-05-01,Delhi,Delhi,Wheat,88.0,1000.0,1140.0,1030.0,2009,5
1109,2009-06-01,Delhi,Delhi,Wheat,107.8,1010.0,1155.0,1030.0,2009,6
1193,2009-07-01,Delhi,Delhi,Wheat,74.2,1020.0,1060.0,1035.0,2009,7
1256,2009-08-01,Delhi,Delhi,Wheat,54.7,1020.0,1105.0,1050.0,2009,8
1315,2009-09-01,Delhi,Delhi,Wheat,110.5,1055.0,1140.0,1115.0,2009,9
1366,2009-10-01,Delhi,Delhi,Wheat,142.7,1140.0,1185.0,1160.0,2009,10
1420,2009-11-01,Delhi,Delhi,Wheat,163.3,1300.0,1370.0,1355.0,2009,11
1474,2009-12-01,Delhi,Delhi,Wheat,81.3,1310.0,1435.0,1340.0,2009,12
1528,2010-01-01,Delhi,Delhi,Wheat,33.7,1350.0,1385.0,1360.0,2010,1
1581,2010-02-01,Delhi,Delhi,Wheat,37.0,1340.0,1495.0,1365.0,2010,2
1632,2010-03-01,Delhi,Delhi,Wheat,37.8,1255.0,1340.0,1260.0,2010,3
1683,2010-04-01,Delhi,Delhi,Wheat,348.0,1005.0,1170.0,1075.0,2010,4
1762,2010-05-01,Delhi,Delhi,Wheat,139.2,1100.0,1275.0,1125.0,2010,5
1854,2010-06-01,Delhi,Delhi,Wheat,79.7,1150.0,1190.0,1180.0,2010,6
1919,2010-07-01,Delhi,Delhi,Wheat,70.6,1165.0,1270.0,1190.0,2010,7
1974,2010-08-01,Delhi,Delhi,Wheat,44.3,1160.0,1190.0,1170.0,2010,8
2027,2010-09-01,Delhi,Delhi,Wheat,72.5,1160.0,1195.0,1170.0,2010,9
2078,2010-10-01,Delhi,Delhi,Wheat,87.2,1150.0,1245.0,1200.0,2010,10
2133,2010-11-01,Delhi,Delhi,Wheat,108.2,1180.0,1270.0,1220.0,2010,11
2188,2010-12-01,Delhi,Delhi,Wheat,66.6,1200.0,1300.0,1250.0,2010,12
2243,2011-01-01,Delhi,Delhi,Wheat,36.7,1240.0,1300.0,1275.0,2011,1
2300,2011-02-01,Delhi,Delhi,Wheat,47.9,1285.0,1320.0,1310.0,2011,2
2347,2011-03-01,Delhi,Delhi,Wheat,34.2,1265.0,1325.0,1270.0,2011,3
2405,2011-04-01,Delhi,Delhi,Wheat,40.6,1120.0,1165.0,1140.0,2011,4
2468,2011-05-01,Delhi,Delhi,Wheat,558.4,1170.0,1200.0,1170.0,2011,5
2562,2011-06-01,Delhi,Delhi,Wheat,98.9,1140.0,1230.0,1160.0,2011,6
2617,2011-07-01,Delhi,Delhi,Wheat,35.7,1120.0,1151.0,1135.0,2011,7
2673,2011-08-01,Delhi,Delhi,Wheat,54.7,1133.0,1155.0,1144.0,2011,8
2721,2011-09-01,Delhi,Delhi,Wheat,89.0,1095.0,1175.0,1135.0,2011,9
2775,2011-10-01,Delhi,Delhi,Wheat,108.8,1080.0,1135.0,1107.0,2011,10
2828,2011-11-01,Delhi,Delhi,Wheat,33.8,1081.0,1124.0,1102.0,2011,11
2879,2011-12-01,Delhi,Delhi,Wheat,33.3,1130.0,1150.0,1140.0,2011,12
2930,2012-01-01,Delhi,Delhi,Wheat,101.1,1090.0,1206.0,1170.0,2012,1
2979,2012-02-01,Delhi,Delhi,Wheat,42.5,1160.0,1207.0,1190.0,2012,2
3027,2012-03-01,Delhi,Delhi,Wheat,115.7,1130.0,1231.0,1200.0,2012,3
3080,2012-04-01,Delhi,Delhi,Wheat,16.5,1190.0,1250.0,1225.0,2012,4
3142,2012-05-01,Delhi,Delhi,Wheat,698.9,1170.0,1285.0,1285.0,2012,5
3227,2012-06-01,Delhi,Delhi,Wheat,279.7,1031.0,1285.0,1285.0,2012,6
3288,2012-07-01,Delhi,Delhi,Wheat,24.0,1150.0,1190.0,1180.0,2012,7
3343,2012-08-01,Delhi,Delhi,Wheat,10.5,1350.0,1362.0,1362.0,2012,8
3394,2012-09-01,Delhi,Delhi,Wheat,76.0,1380.0,1556.0,1540.0,2012,9
3446,2012-10-01,Delhi,Delhi,Wheat,25.8,1350.0,1445.0,1430.0,2012,10
3500,2012-11-01,Delhi,Delhi,Wheat,50.3,1475.0,1586.0,1525.0,2012,11
3552,2012-12-01,Delhi,Delhi,Wheat,13.7,1500.0,1590.0,1540.0,2012,12
3606,2013-01-01,Delhi,Delhi,Wheat,13.2,1525.0,1566.0,1550.0,2013,1
3656,2013-02-01,Delhi,Delhi,Wheat,10.9,1510.0,1620.0,1560.0,2013,2
3700,2013-03-01,Delhi,Delhi,Wheat,13.7,1500.0,1620.0,1560.0,2013,3
3752,2013-04-01,Delhi,Delhi,Wheat,22.3,1240.0,1529.0,1500.0,2013,4
3805,2013-05-01,Delhi,Delhi,Wheat,119.7,1370.0,1572.0,1420.0,2013,5
3865,2013-06-01,Delhi,Delhi,Wheat,117.2,1500.0,1790.0,1560.0,2013,6
3921,2013-07-01,Delhi,Delhi,Wheat,39.7,1470.0,1500.0,1485.0,2013,7
3973,2013-08-01,Delhi,Delhi,Wheat,36.4,1475.0,1505.0,1495.0,2013,8
4024,2013-09-01,Delhi,Delhi,Wheat,73.5,1480.0,1540.0,1520.0,2013,9
4076,2013-10-01,Delhi,Delhi,Wheat,41.0,1510.0,1615.0,1530.0,2013,10
4129,2013-11-01,Delhi,Delhi,Wheat,52.6,1551.0,1660.0,1575.0,2013,11
4175,2013-12-01,Delhi,Delhi,Wheat,30.2,1500.0,1650.0,1600.0,2013,12
4223,2014-01-01,Delhi,Delhi,Wheat,23.9,1555.0,1655.0,1625.0,2014,1
4273,2014-02-01,Delhi,Delhi,Wheat,13.0,1500.0,1670.0,1630.0,2014,2
4320,2014-03-01,Delhi,Delhi,Wheat,1.3,1550.0,1550.0,1550.0,2014,3
4367,2014-04-01,Delhi,Delhi,Wheat,19.3,1500.0,1575.0,1570.0,2014,4
4426,2014-05-01,Delhi,Delhi,Wheat,276.4,1420.0,1500.0,1460.0,2014,5
4505,2014-06-01,Delhi,Delhi,Wheat,79.5,1460.0,1525.0,1485.0,2014,6
4562,2014-07-01,Delhi,Delhi,Wheat,36.5,1449.0,1500.0,1450.0,2014,7
4609,2014-08-01,Delhi,Delhi,Wheat,74.8,1485.0,1510.0,1495.0,2014,8
4643,2014-09-01,Delhi,Delhi,Wheat,27.8,1490.0,1505.0,1501.0,2014,9
4686,2014-10-01,Delhi,Delhi,Wheat,65.1,1500.0,1535.0,1528.0,2014,10
4726,2014-11-01,Delhi,Delhi,Wheat,33.9,1490.0,1560.0,1525.0,2014,11
4782,2014-12-01,Delhi,Delhi,Wheat,22.6,1500.0,1570.0,1535.0,2014,12
4846,2015-01-01,Delhi,Delhi,Wheat,18.3,1605.0,1645.0,1625.0,2015,1
4893,2015-02-01,Delhi,Delhi,Wheat,39.8,1531.0,1656.0,1594.0,2015,2
4938,2015-03-01,Delhi,Delhi,Wheat,3.0,1575.0,1575.0,1575.0,2015,3
5004,2015-04-01,Delhi,Delhi,Wheat,74.6,1250.0,1613.0,1432.0,2015,4
5074,2015-05-01,Delhi,Delhi,Wheat,353.9,1380.0,1470.0,1425.0,2015,5
5167,2015-06-01,Delhi,Delhi,Wheat,90.1,1400.0,1450.0,1420.0,2015,6
5243,2015-07-01,Delhi,Delhi,Wheat,128.9,1400.0,1460.0,1440.0,2015,7
5309,2015-08-01,Delhi,Delhi,Wheat,111.9,1435.0,1506.0,1470.0,2015,8
5373,2015-09-01,Delhi,Delhi,Wheat,65.6,1480.0,1521.0,1500.0,2015,9
5429,2015-10-01,Delhi,Delhi,Wheat,69.5,1550.0,1623.0,1586.0,2015,10
5493,2015-11-01,Delhi,Delhi,Wheat,10.5,1600.0,1616.0,1608.0,2015,11
5552,2015-12-01,Delhi,Delhi,Wheat,18.2,1600.0,1625.0,1612.0,2015,12
5615,2016-01-01,Delhi,Delhi,Wheat,29.1,1600.0,1676.0,1638.0,2016,1
5668,2016-02-01,Delhi,Delhi,Wheat,7.8,1635.0,1719.0,1677.0,2016,2
5719,2016-03-01,Delhi,Delhi,Wheat,15.3,1620.0,1675.0,1647.0,2016,3
5766,2016-04-01,Delhi,Delhi,Wheat,229.0,1450.0,1570.0,1510.0,2016,4
5831,2016-05-01,Delhi,Delhi,Wheat,175.1,1535.0,1640.0,1587.0,2016,5
5904,2016-06-01,Delhi,Delhi,Wheat,90.3,1650.0,1735.0,1692.0,2016,6
5965,2016-07-01,Delhi,Delhi,Wheat,28.8,1700.0,1740.0,1720.0,2016,7
6022,2016-08-01,Delhi,Delhi,Wheat,11.9,1660.0,1725.0,1692.0,2016,8
6078,2016-09-01,Delhi,Delhi,Wheat,17.2,1680.0,1715.0,1697.0,2016,9
6137,2016-10-01,Delhi,Delhi,Wheat,13.2,1721.0,1765.0,1743.0,2016,10
6192,2016-11-01,Delhi,Delhi,Wheat,32.8,1981.0,2018.0,1999.0,2016,11
6247,2016-12-01,Delhi,Delhi,Wheat,22.1,1850.0,2101.0,1975.0,2016,12
6304,2017-01-01,Delhi,Delhi,Wheat,7.4,1850.0,1880.0,1865.0,2017,1
6359,2017-02-01,Delhi,Delhi,Wheat,17.3,1950.0,2000.0,1975.0,2017,2
6411,2017-03-01,Delhi,Delhi,Wheat,12.0,1310.0,1350.0,1330.0,2017,3
6467,2017-04-01,Delhi,Delhi,Wheat,147.5,1500.0,1690.0,1595.0,2017,4
6542,2017-05-01,Delhi,Delhi,Wheat,95.5,1615.0,1700.0,1657.0,2017,5
6627,2017-06-01,Delhi,Delhi,Wheat,78.3,1600.0,1631.0,1615.0,2017,6
6669,2017-07-01,Delhi,Delhi,Wheat,78.3,1600.0,1631.0,1615.0,2017,7
6670,2017-08-01,Delhi,Delhi,Wheat,78.3,1600.0,1631.0,1615.0,2017,8
6671,2017-09-01,Delhi,Delhi,Wheat,78.3,1600.0,1631.0,1615.0,2017,9
6672,2017-10-01,Delhi,Delhi,Wheat,78.3,1600.0,1631.0,1615.0,2017,10
6673,2017-11-01,Delhi,Delhi,Wheat,78.3,1600.0,1631.0,1615.0,2017,11
6674,2017-12-01,Delhi,Delhi,Wheat,78.3,1600.0,1631.0,1615.0,2017,12
