,Date,feature,year,month
0,2018-01-01,[[1415.6953]],2018,1
1,2018-02-01,[[1400.8208]],2018,2
2,2018-03-01,[[1393.8533]],2018,3
3,2018-04-01,[[1388.2363]],2018,4
4,2018-05-01,[[1379.8027]],2018,5
5,2018-06-01,[[1375.217]],2018,6
6,2018-07-01,[[1372.6663]],2018,7
7,2018-08-01,[[1369.957]],2018,8
8,2018-09-01,[[1366.8381]],2018,9
9,2018-10-01,[[1363.2229]],2018,10
10,2018-11-01,[[1359.1725]],2018,11
11,2018-12-01,[[1354.8356]],2018,12
12,2019-01-01,[[1350.3604]],2019,1
13,2019-02-01,[[1348.0211]],2019,2
14,2019-03-01,[[1346.2153]],2019,3
15,2019-04-01,[[1344.7211]],2019,4
16,2019-05-01,[[1343.4396]],2019,5
17,2019-06-01,[[1342.3804]],2019,6
18,2019-07-01,[[1341.4043]],2019,7
19,2019-08-01,[[1340.4388]],2019,8
20,2019-09-01,[[1339.489]],2019,9
21,2019-10-01,[[1338.5792]],2019,10
22,2019-11-01,[[1337.7439]],2019,11
23,2019-12-01,[[1337.013]],2019,12
