,Date,feature,year,month
0,2018-01-01,[[1176.3484]],2018,1
1,2018-02-01,[[1164.528]],2018,2
2,2018-03-01,[[1154.2413]],2018,3
3,2018-04-01,[[1145.0303]],2018,4
4,2018-05-01,[[1135.3958]],2018,5
5,2018-06-01,[[1128.5787]],2018,6
6,2018-07-01,[[1122.2632]],2018,7
7,2018-08-01,[[1117.2892]],2018,8
8,2018-09-01,[[1112.7155]],2018,9
9,2018-10-01,[[1108.4507]],2018,10
10,2018-11-01,[[1104.4739]],2018,11
11,2018-12-01,[[1100.7782]],2018,12
12,2019-01-01,[[1097.3546]],2019,1
13,2019-02-01,[[1094.3424]],2019,2
14,2019-03-01,[[1091.6509]],2019,3
15,2019-04-01,[[1089.24]],2019,4
16,2019-05-01,[[1087.0768]],2019,5
17,2019-06-01,[[1085.1442]],2019,6
18,2019-07-01,[[1083.4054]],2019,7
19,2019-08-01,[[1081.8408]],2019,8
20,2019-09-01,[[1080.4285]],2019,9
21,2019-10-01,[[1079.1539]],2019,10
22,2019-11-01,[[1078.0048]],2019,11
23,2019-12-01,[[1076.9702]],2019,12
