,Date,feature,year,month
0,2018-01-01,[[1905.1532]],2018,1
1,2018-02-01,[[1920.654]],2018,2
2,2018-03-01,[[1926.8873]],2018,3
3,2018-04-01,[[1884.0537]],2018,4
4,2018-05-01,[[1892.52]],2018,5
5,2018-06-01,[[1896.3016]],2018,6
6,2018-07-01,[[1822.1721]],2018,7
7,2018-08-01,[[1849.3713]],2018,8
8,2018-09-01,[[1845.7515]],2018,9
9,2018-10-01,[[1748.7518]],2018,10
10,2018-11-01,[[1757.1453]],2018,11
11,2018-12-01,[[1763.382]],2018,12
12,2019-01-01,[[1715.6724]],2019,1
13,2019-02-01,[[1713.9017]],2019,2
14,2019-03-01,[[1727.9324]],2019,3
15,2019-04-01,[[1687.4298]],2019,4
16,2019-05-01,[[1693.0231]],2019,5
17,2019-06-01,[[1698.3005]],2019,6
18,2019-07-01,[[1644.6094]],2019,7
19,2019-08-01,[[1641.4774]],2019,8
20,2019-09-01,[[1648.8682]],2019,9
21,2019-10-01,[[1610.4928]],2019,10
22,2019-11-01,[[1612.7502]],2019,11
23,2019-12-01,[[1624.2374]],2019,12
24,2020-01-01,[[1591.7305]],2020,1
25,2020-02-01,[[1598.3937]],2020,2
26,2020-03-01,[[1602.904]],2020,3
27,2020-04-01,[[1566.6868]],2020,4
28,2020-05-01,[[1567.877]],2020,5
29,2020-06-01,[[1571.5896]],2020,6
30,2020-07-01,[[1545.6195]],2020,7
31,2020-08-01,[[1548.0793]],2020,8
32,2020-09-01,[[1553.3562]],2020,9
33,2020-10-01,[[1534.2832]],2020,10
34,2020-11-01,[[1536.0299]],2020,11
35,2020-12-01,[[1535.3188]],2020,12
36,2021-01-01,[[1518.053]],2021,1
37,2021-02-01,[[1514.316]],2021,2
38,2021-03-01,[[1513.199]],2021,3
39,2021-04-01,[[1502.6395]],2021,4
40,2021-05-01,[[1498.9835]],2021,5
41,2021-06-01,[[1496.794]],2021,6
42,2021-07-01,[[1489.5604]],2021,7
43,2021-08-01,[[1485.0585]],2021,8
44,2021-09-01,[[1482.7135]],2021,9
45,2021-10-01,[[1476.082]],2021,10
46,2021-11-01,[[1471.4303]],2021,11
47,2021-12-01,[[1469.3038]],2021,12
48,2022-01-01,[[1464.2262]],2022,1
49,2022-02-01,[[1460.192]],2022,2
50,2022-03-01,[[1457.7582]],2022,3
51,2022-04-01,[[1453.4092]],2022,4
52,2022-05-01,[[1449.761]],2022,5
53,2022-06-01,[[1447.2117]],2022,6
54,2022-07-01,[[1443.303]],2022,7
55,2022-08-01,[[1439.9209]],2022,8
56,2022-09-01,[[1437.4823]],2022,9
57,2022-10-01,[[1434.1772]],2022,10
58,2022-11-01,[[1431.1649]],2022,11
59,2022-12-01,[[1428.7987]],2022,12
60,2023-01-01,[[1425.862]],2023,1
61,2023-02-01,[[1423.141]],2023,2
62,2023-03-01,[[1420.8842]],2023,3
63,2023-04-01,[[1418.2339]],2023,4
64,2023-05-01,[[1415.7505]],2023,5
65,2023-06-01,[[1413.6427]],2023,6
66,2023-07-01,[[1411.2946]],2023,7
67,2023-08-01,[[1409.0574]],2023,8
68,2023-09-01,[[1407.091]],2023,9
69,2023-10-01,[[1404.9749]],2023,10
70,2023-11-01,[[1402.9474]],2023,11
71,2023-12-01,[[1401.1224]],2023,12
72,2024-01-01,[[1399.2052]],2024,1
73,2024-02-01,[[1397.3601]],2024,2
74,2024-03-01,[[1395.6774]],2024,3
75,2024-04-01,[[1393.948]],2024,4
76,2024-05-01,[[1392.276]],2024,5
77,2024-06-01,[[1390.7275]],2024,6
78,2024-07-01,[[1389.1592]],2024,7
79,2024-08-01,[[1387.6423]],2024,8
80,2024-09-01,[[1386.249]],2024,9
81,2024-10-01,[[1384.8518]],2024,10
82,2024-11-01,[[1383.4819]],2024,11
83,2024-12-01,[[1382.1927]],2024,12
84,2025-01-01,[[1380.8915]],2025,1
85,2025-02-01,[[1379.6261]],2025,2
86,2025-03-01,[[1378.4471]],2025,3
87,2025-04-01,[[1377.2816]],2025,4
88,2025-05-01,[[1376.1387]],2025,5
89,2025-06-01,[[1375.0359]],2025,6
90,2025-07-01,[[1373.9502]],2025,7
91,2025-08-01,[[1372.8955]],2025,8
92,2025-09-01,[[1371.8805]],2025,9
93,2025-10-01,[[1370.8801]],2025,10
94,2025-11-01,[[1369.9067]],2025,11
95,2025-12-01,[[1368.9497]],2025,12
96,2026-01-01,[[1368.0106]],2026,1
97,2026-02-01,[[1367.1249]],2026,2
98,2026-03-01,[[1366.2664]],2026,3
99,2026-04-01,[[1365.4259]],2026,4
100,2026-05-01,[[1364.6157]],2026,5
101,2026-06-01,[[1363.8275]],2026,6
102,2026-07-01,[[1363.0577]],2026,7
103,2026-08-01,[[1362.3198]],2026,8
104,2026-09-01,[[1361.5995]],2026,9
105,2026-10-01,[[1360.8978]],2026,10
106,2026-11-01,[[1360.2218]],2026,11
107,2026-12-01,[[1359.559]],2026,12
108,2027-01-01,[[1358.9158]],2027,1
109,2027-02-01,[[1358.2955]],2027,2
110,2027-03-01,[[1357.6912]],2027,3
111,2027-04-01,[[1357.1069]],2027,4
112,2027-05-01,[[1356.5419]],2027,5
113,2027-06-01,[[1355.9912]],2027,6
114,2027-07-01,[[1355.4581]],2027,7
115,2027-08-01,[[1354.9413]],2027,8
116,2027-09-01,[[1354.4381]],2027,9
117,2027-10-01,[[1353.951]],2027,10
118,2027-11-01,[[1353.4786]],2027,11
119,2027-12-01,[[1353.0197]],2027,12
