,Date,feature,year,month
0,2018-01-01,[[1967.076]],2018,1
1,2018-02-01,[[1966.9895]],2018,2
2,2018-03-01,[[1966.874]],2018,3
3,2018-04-01,[[1966.7859]],2018,4
4,2018-05-01,[[1966.7454]],2018,5
5,2018-06-01,[[1966.7478]],2018,6
6,2018-07-01,[[1966.7794]],2018,7
7,2018-08-01,[[1966.8252]],2018,8
8,2018-09-01,[[1966.874]],2018,9
9,2018-10-01,[[1966.9186]],2018,10
10,2018-11-01,[[1966.956]],2018,11
11,2018-12-01,[[1966.985]],2018,12
12,2019-01-01,[[1967.0065]],2019,1
13,2019-02-01,[[1967.0056]],2019,2
14,2019-03-01,[[1967.0054]],2019,3
15,2019-04-01,[[1967.0054]],2019,4
16,2019-05-01,[[1967.0056]],2019,5
17,2019-06-01,[[1967.0062]],2019,6
18,2019-07-01,[[1967.0066]],2019,7
19,2019-08-01,[[1967.0068]],2019,8
20,2019-09-01,[[1967.007]],2019,9
21,2019-10-01,[[1967.0072]],2019,10
22,2019-11-01,[[1967.0074]],2019,11
23,2019-12-01,[[1967.0074]],2019,12
